,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.4504,2.5407,3.3489,4.3653,11.0881,21.0662,20.7857,25.0744,22.1277,14.0479,10.5232,8.368,4.9036,3.9762,4.9503,27.4665,27.828,16.126,6.6048,3.9872,0.0193,0.0182,0.0438,0.0642,0.1303,0.3023,0.216,0.2536,0.0947,0.1446,0.2146,0.2718,0.1182,0.3474,0.4245,0.5696,0.1081,0.3526,0.5104,0.0793,0.2177,0.1823,0.38,0.394,1.0159,1.7158,2.7304,4.0316,0.169,0.1925,0.2898,0.4653,0.3467,0.4223,0.7205,1.3526,0.0169,0.1878,0.3541
long-term-debt-capital,0.0632,0.0589,0.0555,,,,,,,,,,,,,,,,0.5587,,,,,,,-0.8105,,,,,,,,-0.1298,,,,-0.4407,-0.3709,-0.2559,-0.5446,-0.6606,-0.8501,-0.9673,-3.64,3.8569,1.352,0.8898,-0.4704,-0.5499,-0.6689,-1.2537,-0.6323,-0.8142,-8.1385,2.2465,-2.663,-0.8413,-1.9443
debt-equity-ratio,0.0851,0.0784,0.0732,,,,,,,,0.0063,,,0.0325,0.0914,0.0089,0.0082,,1.2662,0.2081,-0.0082,,,,,-0.4944,,,-0.0594,-0.0885,-0.1364,-0.1562,-0.2344,-0.2298,-0.2422,-0.2645,-0.1806,-0.3059,-0.2705,-0.2038,-0.3752,-0.3978,-0.4595,-0.5654,-0.7845,-1.35,-3.8408,8.1703,-0.9834,-1.0577,-1.1874,-1.4497,-1.2401,-1.4109,-1.7556,-1.8272,-1.2474,-1.3411,-1.9301
gross-margin,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.2963,88.651,94.6895,93.4393,90.93,90.8696,96.7882,108.4337,94.1403,75.3333,38.6667,4.7619,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,
operating-margin,,,,-3736.515,-989.8187,-4549.638,-2011.864,-4069.767,-2448.402,-3889.401,-2840.86,-2278.125,-2811.956,-3137.85,-2621.277,-2908.372,-2162.807,-1463.475,-775.9691,-199.5725,-268.2204,-284.6154,-638.4615,-422.2223,-368.254,-411.349,-41.0948,-121.1731,-109.7589,-210.4348,-37.5068,-339.3575,-171.3737,-1502.0,-1432.667,-1277.551,-1807.874,-1847.619,-1610.784,-1620.192,-2736.111,-3320.635,-4778.049,-2344.594,-8234.043,-9909.091,-31700.0,-3749.02,-27516.67,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,-3626.35,-960.7373,-4435.87,-1983.051,-3930.232,-2439.726,-3815.208,-2820.968,-2735.157,-1426.087,-3132.243,-2359.149,-1088.373,-2130.877,-1458.511,-775.1938,-5103.846,-622.4576,-5063.563,-412.9808,-663.58,-83.0688,342.6124,333.4151,2137.277,-1899.082,-1536.232,-266.3037,59.8393,33.6215,-842.6666,-1266.0,1566.666,-10014.96,1704.762,1067.647,-8626.923,-2827.083,-3504.762,-5095.122,-2832.433,-8555.319,-10046.21,-31718.42,-26909.8,-32616.67,,,,,,,,,,
net-profit-margin,,,,-3626.35,-960.7373,-4435.87,-1983.051,-3930.232,-2439.726,-3815.208,-2820.968,-2735.156,-1426.087,-3132.243,-2359.149,-1088.372,-2130.877,-1458.511,-775.1938,-5396.154,-936.017,-5357.49,-761.5385,-1093.209,-475.6614,185.6531,274.0196,1903.678,-1757.865,-1599.855,-290.2558,-33.3334,-9.318,-1137.333,-1558.0,1259.864,-10370.87,1280.0,634.3138,-9061.537,-3154.167,-4271.428,-6265.854,-3487.839,-9668.086,-10437.88,-36542.11,-55801.96,-32616.67,,,,,,,,,,
asset-turnover,,,,0.0028,0.0106,0.0017,0.003,0.0012,0.0023,0.0022,0.0018,0.0023,0.0025,0.0029,0.003,0.0027,0.0032,0.0037,0.0197,0.0141,0.8429,1.0292,0.4351,0.2643,0.1731,0.1948,0.7112,0.5815,0.7058,0.2831,0.5748,0.1316,0.4689,0.0296,0.0218,0.0168,0.0557,0.029,0.0196,0.0657,0.0532,0.0268,0.0113,0.0177,0.0082,0.0191,0.0052,0.0056,0.0017,,,,,,,,,,
inventory-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4333,0.3402,0.3347,0.2242,0.6082,-0.2781,0.3177,,,,,,,,,,,,,,,,,,,,,,,,,,
