,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.5365,1.6768,1.5811,1.6236,1.4242,1.5777,1.6608,2.2607,2.694,2.9374,2.9084,4.0204,1.5597,1.4975,1.4781,1.5409,1.8154,2.3006,2.1709,1.2951,1.5212,1.853,1.7604,2.0245,1.7428,1.8161,1.8351,2.3587,1.6741,1.5337,1.5252,1.5354,1.4983,1.5235,1.3728,1.2928,1.2479,1.3558,1.1651,1.7866,1.7099,1.6299,1.5299,1.4702,1.5928,1.4112,1.4031,1.5426,1.0452,1.0274,0.9349,0.944,1.3547,1.2864,1.4816,1.5354,1.2546,1.5886,1.4049
long-term-debt-capital,0.3552,0.3731,0.3771,0.3866,0.3843,0.3918,0.401,0.4667,0.4198,0.4283,0.4296,0.4996,0.2224,0.2244,0.2229,0.2159,0.2191,0.2022,0.2124,0.1355,0.1392,0.1255,0.126,0.1182,0.1252,0.132,0.1326,0.4028,0.3078,0.3282,0.3171,0.3293,0.3466,0.323,0.3364,0.3549,0.3754,0.3868,0.3411,0.327,0.3513,0.3634,0.3937,0.3322,0.3238,0.3356,0.3346,0.3474,0.2933,0.3011,0.3136,0.3328,0.3244,0.3499,0.2233,0.2408,0.1761,0.2471,0.2489
debt-equity-ratio,0.5964,0.6018,0.6121,0.6369,0.7624,0.6717,0.6927,0.8979,0.7457,0.756,0.7599,1.0622,0.4073,0.4286,0.4121,0.4221,0.3938,0.3788,0.4049,0.3618,0.361,0.3107,0.3306,0.2597,0.3474,0.3538,0.3131,0.7637,0.6006,0.7361,0.6517,0.6285,0.6773,0.6883,0.7598,0.831,0.8713,0.9243,0.8246,0.7097,0.7341,0.7901,0.8804,0.7056,0.6038,0.7913,0.7354,0.6852,0.7844,0.8039,0.8713,0.8831,0.6042,0.6866,0.4357,0.4602,0.4615,0.3989,0.5062
gross-margin,58.42,58.9046,58.0624,58.9054,58.6468,57.7443,58.498,56.7532,57.8855,51.9512,51.6654,55.3347,56.9031,57.1161,56.1924,57.4788,56.466,57.0986,57.5046,56.3667,54.3414,54.7558,52.1767,51.0729,53.2643,53.2685,54.7787,47.279,52.7253,55.3939,55.35,63.0144,59.5255,59.7509,57.3162,59.4191,56.8723,59.8468,56.6777,56.9492,56.7061,58.2515,56.3001,60.0217,55.2811,57.3463,56.2334,56.2176,55.0861,55.9803,56.4043,51.9755,57.0987,56.5796,61.5851,53.5406,50.2751,52.3546,53.1362
operating-margin,14.8341,15.1147,9.8076,15.0032,12.9963,11.3557,8.2273,8.5782,11.2608,5.8159,-3.82,14.7947,16.9181,15.301,10.7267,15.7093,13.8447,14.1006,12.4566,15.478,14.3335,13.3874,7.6761,10.4291,9.8031,11.513,11.4355,-0.7337,5.8885,10.6185,9.6369,20.0636,6.0599,18.4422,14.3919,18.3585,13.6167,18.1958,19.1013,21.2034,21.1272,22.3008,15.7889,21.9224,18.626,19.2314,16.9658,21.021,14.5303,18.6224,15.9384,-3.4084,12.3645,9.8667,22.7654,21.5103,15.4287,19.8218,21.1023
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.6578,13.8113,8.3875,12.1958,9.3783,10.0039,5.8322,7.5636,9.1668,4.4448,11.618,16.4073,-3.3761,13.4071,0.0409,15.9985,13.8641,19.0716,13.3347,15.0112,14.0776,13.0117,7.1714,10.1048,9.9689,11.0356,10.3012,-45.2976,4.3935,9.9656,8.7699,18.8301,5.1096,17.4137,11.8217,17.7353,12.2671,17.6602,17.1752,20.7378,24.1115,20.9081,28.7641,21.2094,18.3129,22.3723,17.1563,20.5353,14.0107,19.6627,14.1394,-3.232,13.031,11.9455,24.3069,23.1494,16.6358,20.7551,21.8823
net-profit-margin,11.8871,12.6081,8.9184,8.4224,7.3537,9.4374,5.6563,-10.9105,8.83,4.264,6.614,14.9634,-6.2052,11.532,6.4688,14.7841,11.2621,15.1644,46.8042,16.8969,10.5926,9.215,7.8864,14.7206,20.0207,8.7404,10.1153,33.0421,36.9019,32.4584,23.5087,15.6018,3.0884,20.203,9.5546,14.4549,10.2676,14.6346,13.029,17.5052,19.0736,17.1865,21.4135,19.323,14.466,18.0751,13.8623,16.6593,11.2441,15.5204,11.7321,-6.9816,12.8431,11.1294,18.882,16.1462,12.6432,15.8777,15.5664
asset-turnover,0.1178,0.1166,0.1114,0.1156,0.1069,0.1135,0.1042,0.0995,0.0945,0.0933,0.0894,0.1013,0.1342,0.1339,0.1232,0.1258,0.1234,0.1172,0.1136,0.13,0.1195,0.1219,0.1141,0.0933,0.1093,0.1269,0.126,0.0474,0.0832,0.0859,0.0847,0.1722,0.1646,0.1551,0.1466,0.1646,0.1512,0.1653,0.1443,0.1672,0.1557,0.1574,0.1479,0.1874,0.1796,0.1659,0.1643,0.1818,0.1695,0.1715,0.1639,0.1885,0.1674,0.1615,0.1605,0.2075,0.1867,0.1986,0.1865
inventory-turnover,0.7646,0.7534,0.7736,0.8406,0.8373,0.8837,0.8016,0.9114,0.8257,0.8851,0.7665,0.9786,0.8745,0.813,0.7681,0.8488,0.8515,0.811,0.7934,0.8842,0.8602,0.8105,0.8195,0.7282,0.8042,0.9339,0.8973,0.4431,0.6525,0.6736,0.6647,1.1686,1.2153,1.1138,1.1347,1.2685,1.1307,1.1184,0.9778,1.1591,0.982,0.8887,0.9294,1.145,1.0815,0.9869,0.9628,1.0712,0.9792,1.3067,1.1923,1.1672,0.8741,0.9074,0.7275,1.1053,0.9967,1.0364,0.9445
