,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,10.9579,6.8471,6.3535,8.8325,6.0783,6.1181,7.3773,7.6173,11.1217,10.8461,10.8197,12.866,15.4152,14.6061,21.8896,9.9986,13.6931,14.1084,18.0109,20.5013,30.3088,38.4253,46.4111,26.9895,25.2446,26.5896,18.0834,18.2495,3.8917,3.2212,4.1018,5.1823,5.7362,6.8968,7.5823,6.3516,2.6574,2.9512,3.1193,3.2959,3.7253,3.2582,4.2224,5.6449,6.743,6.7037,8.1777,6.8053,8.4495,10.9516,4.1897,4.1776,4.7096,4.4519,2.8111,2.7706,3.4537,6.4452,3.7334
long-term-debt-capital,0.0092,0.017,0.0159,,,,,,,,,0.0003,,0.0005,0.0005,,0.0011,,0.0008,,0.0001,,,0.0,0.0,,,,,,,,,,,,-0.3083,0.0159,0.0091,0.008,0.5576,0.0086,0.0084,0.008,0.0084,0.0089,0.0094,0.01,0.0096,0.0099,0.0258,0.0201,0.0144,0.0093,0.0181,0.0222,0.0185,0.0132,0.0257
debt-equity-ratio,0.0093,0.0173,0.0161,,,,,,,,,0.0003,,0.0005,0.0005,,0.0011,,0.0008,,0.0001,,,0.0,0.0,,,,0.0002,0.001,0.0013,0.0014,0.0013,0.0012,0.0012,0.0026,-0.8736,0.0672,0.0502,0.0382,1.2843,0.0298,0.0263,0.0231,0.0208,0.0199,0.019,0.0187,0.0175,0.0172,0.0448,0.0354,0.0261,0.0187,0.0386,0.0453,0.0377,0.0274,0.0525
gross-margin,97.4457,96.4449,95.3144,95.2611,93.4157,93.7578,95.5943,94.3644,93.9991,92.7022,85.1956,85.7549,83.9598,-442.268,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
operating-margin,-48.0209,-68.6149,-139.1922,-112.9324,-105.0871,-112.2952,-112.1777,-160.7112,-184.5073,-223.2518,-580.4069,-653.996,-1374.317,-74147.42,-1256550.0,-268029.4,-99994.88,,-1013800.0,-60755.34,-166626.7,-77582.14,-59860.0,-32878.41,-4504.584,-2030.377,-1478.177,-1794.473,-69.2065,-906.3439,-1384.667,-903.7418,-872.089,-1431.304,-1347.356,82.2732,-184.3546,-187.0266,-257.6653,-491.8078,-360.3286,-704.4505,-4055.615,-4372.614,-5705.319,-10758.76,-2187.965,-1181.618,-914.3076,-613.2846,-686.3775,-764.7285,-645.3423,-683.8915,-398.108,-437.9453,-348.8429,-258.2107,-249.4624
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-44.6599,-65.5922,-134.8957,-109.9159,-105.9292,-110.4867,-109.7835,-158.17,-181.5195,-219.9934,-574.1071,-646.6728,-1359.396,-73527.83,-1244050.0,-267376.5,-99758.97,,-1009375.0,-60353.19,-165240.0,-76767.86,-59426.67,-32564.89,-4456.25,-2013.526,-1468.345,-1792.104,-69.0627,-904.6746,-1381.778,-901.3606,-869.1781,-1425.217,-1340.92,82.3099,-183.7027,-186.6783,-257.2433,-490.8474,-358.4394,-699.3406,-4010.963,-4296.309,-5536.879,-10331.64,-2032.258,-1076.311,-819.8773,-523.2604,-640.5102,-699.774,-579.6706,-630.8878,-375.1675,-417.6013,-335.0395,-240.0795,-240.3871
net-profit-margin,-44.3808,-66.0309,-135.4914,-109.9394,-106.574,-110.8704,-111.1075,-158.0988,-183.3942,-221.2994,-574.6631,-657.8834,-1359.396,-73527.83,-1244050.0,-269317.7,-99758.97,,-1009375.0,-60353.19,-165240.0,-76767.86,-59426.67,-32564.89,-4456.25,-2013.526,-1468.345,-1792.104,-69.0627,-904.6746,-1381.778,-901.3606,-869.1781,-1425.217,-1340.92,82.3099,-183.7027,-186.6783,-257.2433,-490.8474,-358.4394,-699.3406,-4010.963,-4296.309,-5536.879,-10331.64,-2032.258,-1076.311,-819.8773,-523.2604,-640.5102,-702.6521,-579.6706,-630.8878,-373.1573,-417.6013,-335.0395,-240.0795,-240.3871
asset-turnover,0.1235,0.1805,0.1256,0.1103,0.2188,0.1812,0.1392,0.1133,0.086,0.0668,0.0304,0.0213,0.0085,0.0002,0.0,0.0001,0.0002,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0002,0.0012,0.0022,0.004,0.0035,0.1464,0.0274,0.017,0.0183,0.0158,0.0111,0.0093,0.9221,0.0644,0.0586,0.0493,0.0356,0.0416,0.026,0.0074,0.005,0.0036,0.0018,0.0071,0.0118,0.0132,0.0128,0.0259,0.0198,0.0193,0.0163,0.0399,0.0391,0.0523,0.0342,0.0506
inventory-turnover,0.4986,0.7735,0.6455,0.6936,0.8831,0.752,0.3856,0.4678,0.3857,0.3705,0.5831,0.4081,0.1965,0.1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
