,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,7.2603,8.4452,9.1113,9.2727,9.3172,8.1497,9.1018,8.4571,10.6145,13.3299,12.5228,11.5815,11.1134,10.2194,10.0643,13.6646,13.6734,14.738,3.3632,2.8321,,,,
long-term-debt-capital,0.2813,0.2439,0.2225,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.4122,0.3387,0.2996,,,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
operating-margin,-511.3148,-411.3543,-632.6562,-1015.301,-813.0917,-975.9379,-342.508,-747.4973,-771.2968,-403.9885,-668.3458,-648.2982,-631.1544,8.3558,-645.9801,8.2179,2.2198,-96.4485,-76.0601,-11.5152,-215.2856,-665.1776,-24352.0,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-483.5174,-380.7897,-595.7847,-966.6063,-768.2338,-925.9189,-324.6567,-721.0063,-748.3922,-391.8878,-651.2195,-630.9952,-616.2625,9.6667,-635.2605,8.7299,2.9615,-265.7088,-173.5534,-9.3939,-188.4151,-368.1218,-31136.0,
net-profit-margin,-436.5909,-380.0736,-594.8959,-954.3146,-755.6644,-924.479,-324.3398,-695.7134,-646.2836,-327.8689,-578.2609,-762.4033,-923.8534,5.8904,-715.3101,9.0179,2.9615,-265.7088,-173.5534,-9.3939,-188.4151,-368.1218,-31136.0,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,21.6171,3.5862,5.57,0.2291,0.1717,0.1424,0.3642,0.2032,0.2738,1.7231,3.5992,3.4077,3.5928,28.164,2.1585,7.0937,6.0839,8.1409,18.0301,3.1399,,,,
days-sales-in-receivables,4.1634,25.0962,16.158,392.7954,524.2213,632.1827,247.1299,442.9073,328.7112,52.2326,25.0053,26.4105,25.0501,3.1956,41.6948,12.6873,14.7932,11.0554,4.9916,28.6636,,,,
roe,-25.5369,-18.385,-20.3026,-19.4515,-14.6777,-13.8278,-10.9129,-11.0038,-9.5627,-7.527,-9.5242,-13.0121,-14.0238,0.9336,-11.9974,1.1849,0.2331,-10.9104,21.5083,1.5172,,,,
return-on-tangible-equity,-37.7588,-27.2849,-28.3202,-25.844,-19.3613,-17.6939,-13.7655,-13.2213,-11.3001,-8.8392,-11.2955,-15.4202,-16.5358,1.1054,-14.3389,1.3855,0.2331,-10.9104,-18.9443,-1.1822,,,,
roa,-6.6873,-5.4966,-6.5883,-7.3622,-6.2722,-6.1239,-5.0837,-5.8704,-5.2716,-4.185,-5.0086,-6.7408,-7.5058,0.4885,-6.1595,0.6434,0.1238,-5.5571,-11.9742,-0.7354,,,,
roi,-18.3522,-13.9006,-15.7844,-19.4515,-14.6777,-13.8278,-10.9129,-11.0038,-9.5627,-7.527,-9.5242,-13.0121,-14.0238,0.9336,-11.9974,1.1849,0.2331,-10.9104,-18.9443,-1.1822,,,,
book-value-per-share,1.019,1.2611,1.445,1.7005,1.9868,2.2316,2.5097,3.0549,3.3321,3.4983,3.2833,3.3455,3.7241,3.8018,3.7218,4.1143,3.9045,3.8657,169.3243,217.3094,,,,
operating-cash-flow-per-share,-0.5414,-0.3447,-0.1407,-0.8724,-0.8556,-0.5703,-0.2644,-1.2189,-0.8589,-0.6204,-0.3347,-1.3202,-0.9296,-0.3622,-0.3662,3.4628,2.1994,3.2994,-20.363,60.3115,-17.5008,13.4271,-16.8326,
free-cash-flow-per-share,-0.5562,-0.3495,-0.146,-0.9019,-0.8808,-0.5807,-0.2916,-1.2896,-0.9039,-0.6408,-0.3456,-1.6865,-1.2287,-0.5096,-0.3876,3.4142,2.1741,3.2773,-21.1178,57.8816,-18.9541,12.522,-17.259,
