,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.9519,0.8811,0.9138,1.0074,1.061,1.2082,1.6295,1.4468,1.3286,1.2122,1.3219,1.1851,1.0618,0.9459,0.882,1.0004,1.2642,0.9565,0.888,0.8351,0.7455,0.7916,0.6268,0.6571,0.705,0.9518,0.8993,1.0049,1.0103,0.9645,0.9427,1.0464,0.9805,0.949,1.3968,1.3592,1.291,1.2188,1.0942,0.9509,0.8638,0.7972,1.0079,0.9498,1.0392,0.9891,1.0619,1.6171,1.5852,1.9868,2.3003,2.1876,1.053,0.9237,0.9253,0.9545,1.0564,2.1917,2.2888
long-term-debt-capital,0.3233,0.3652,0.4082,0.0118,0.1096,0.2325,0.1212,0.1315,0.1356,0.1443,0.1504,0.16,0.166,0.173,0.1806,0.1825,0.1963,0.1802,0.1905,0.2079,0.2108,0.2624,0.0764,0.0814,0.087,0.0774,0.0851,0.1284,0.1061,0.1112,0.1143,0.1766,0.1895,0.1209,0.1309,0.1412,0.1532,0.164,0.1719,0.1884,0.2073,0.2345,0.3098,0.3372,0.3743,0.4042,0.4452,0.0282,0.0305,0.0198,0.0067,0.0058,0.1361,0.1537,0.1686,0.1827,0.2323,0.0122,0.014
debt-equity-ratio,0.5369,0.6353,0.7504,0.0153,0.1258,0.3046,0.1569,0.172,0.1752,0.1852,0.1912,0.2017,0.2108,0.2209,0.2692,0.2354,0.2538,0.2513,0.2679,0.2926,0.2984,0.3888,0.1184,0.1259,0.1876,0.1609,0.1706,0.2261,0.2136,0.2372,0.2583,0.2796,0.2993,0.1756,0.1905,0.2067,0.2272,0.2467,0.2593,0.2922,0.3253,0.376,0.5197,0.5845,0.6809,0.7646,0.8911,0.0538,0.0558,0.0383,0.0167,0.0147,0.2068,0.2335,0.3007,0.2763,0.3548,0.0339,0.0372
gross-margin,41.6316,41.022,41.0977,39.6261,40.1586,41.0685,40.3126,39.8841,39.1848,41.1806,40.6767,38.5484,41.3366,42.7561,42.1367,43.1142,42.787,44.072,43.3101,42.9757,43.3334,43.4372,40.7483,40.9101,41.8381,43.7397,43.4979,43.7693,43.1936,44.2016,43.7736,46.4433,45.4228,48.5848,47.8718,51.7171,49.021,50.4455,50.5871,52.5698,52.7068,52.781,51.7201,52.3696,53.0036,52.4248,52.7104,51.9501,53.3138,52.9143,53.4135,44.4983,56.3072,57.3666,56.1512,55.8296,56.3049,58.7265,59.5937
operating-margin,9.4705,9.0776,9.4843,8.386,9.5578,10.4052,9.0179,7.4746,6.2544,0.064,6.9009,3.8954,3.971,5.0889,3.1716,4.9343,5.1202,4.9425,-19.2671,4.9283,5.4109,4.1183,-6.5519,-3.4142,-51.1894,1.3451,1.6333,-44.3761,4.2158,4.2298,3.3592,4.8409,-149.8523,10.8736,8.3832,15.5605,9.164,13.2897,14.9847,18.8425,15.6427,15.7558,13.7255,13.782,13.5707,12.3942,13.0642,13.451,14.2259,14.1871,13.473,13.2505,13.2552,11.8042,10.001,9.9585,12.5074,15.8891,16.3437
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,8.9449,8.9958,9.0835,8.4247,9.9136,10.7232,9.2378,7.3093,6.4289,0.6844,6.8891,4.1896,5.0316,5.0132,3.0684,6.6898,4.6071,5.8695,-18.7096,4.8312,4.6473,4.0501,-6.6449,-4.4669,-49.114,1.0593,1.4327,-44.9021,3.7791,3.7605,3.0019,4.3228,-150.3967,10.3104,7.7971,14.9775,8.8344,12.5557,14.6203,18.1738,15.2113,15.2364,12.9661,12.2921,12.0099,10.7855,12.769,13.8397,16.9128,14.3187,14.1359,12.4637,12.5904,11.1293,9.3579,9.3487,11.417,16.345,16.6574
net-profit-margin,6.9005,6.8444,6.6983,6.3219,7.5184,8.1022,6.8023,-0.9669,3.8956,1.1898,4.1491,2.5616,3.1624,2.965,1.7812,3.8157,2.5854,3.3859,-11.6088,3.0397,2.8104,2.498,-4.1565,-3.1727,-30.2269,0.5827,0.8153,-31.1776,2.7233,2.1709,1.4616,1.3463,-114.4304,5.878,4.2548,6.1201,5.346,7.6245,8.8738,10.0407,9.2568,9.2839,7.9049,7.7452,7.3059,6.5193,7.7264,8.6166,11.1746,8.8028,8.6371,7.8876,7.705,6.8114,5.727,6.1416,6.9183,9.9049,10.0941
asset-turnover,0.408,0.4088,0.3946,0.6057,0.5749,0.5464,0.474,0.4892,0.4674,0.4653,0.482,0.4742,0.501,0.5073,0.4943,0.4963,0.4898,0.4867,0.4838,0.4487,0.4402,0.4294,0.4107,0.4178,0.3993,0.4512,0.4613,0.4689,0.416,0.423,0.4335,0.3733,0.4373,0.2748,0.2707,0.2778,0.3202,0.3328,0.3378,0.3211,0.3433,0.3488,0.3147,0.3178,0.306,0.3058,0.2053,0.3304,0.3203,0.3267,0.3179,0.3105,0.3702,0.3823,0.3746,0.3497,0.3393,0.3437,0.3235
inventory-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.411,10.2303,10.0285
