,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.6047,0.7856,0.8162,0.8458,0.8709,0.5484,0.7518,0.7433,0.8333,0.7853,0.951,1.3475,1.2079,1.0568,0.9467,1.4068,1.68,1.7113,9.9396,10.7414,5.4539,2.7016,2.6354,2.1487,3.2422,3.4768,2.9943,2.5972,2.4565,2.4202,3.2274,2.7482,3.6602,4.039,4.8845,2.4133,2.2182,2.3868,2.2427,2.4354,2.4312,2.774,3.2495,4.2,5.93,4.7695,4.4093,4.379,2.4642,2.3565,1.844,2.1433,2.2018,4.8617,6.0241,7.7751,2.0868,3.7044,2.4324
long-term-debt-capital,0.5348,0.6777,0.6729,0.6694,0.6551,0.713,0.718,0.7625,0.7439,0.7302,0.7303,0.7413,0.7107,0.7049,0.7015,0.7175,0.7014,0.6977,0.3929,0.3868,0.4626,,,,,,,,,,,,,,,,,0.0068,0.0833,0.1213,0.1481,0.2157,0.1751,0.1484,0.1303,0.0635,,,,,,,,,,,,,
debt-equity-ratio,1.4716,2.5075,2.6087,2.5693,2.4155,3.0336,3.0673,3.6973,3.1935,2.9781,3.1424,2.8661,2.4565,2.3888,2.6842,2.5403,2.3492,2.3081,0.6473,0.6308,0.8607,,,,,,,,,,,,,0.001,0.0093,0.0939,0.1542,0.2312,0.3933,0.3763,0.3746,0.5117,0.357,0.2754,0.2102,0.0814,,,,,,,,,,,,0.0003,0.4606
gross-margin,95.9327,96.2869,95.5549,98.3474,96.161,95.6491,90.6202,81.2482,81.7677,80.3647,80.3487,81.7151,81.6845,82.0324,77.5253,81.1041,80.0546,75.8053,90.3363,98.332,93.1572,93.0978,95.1636,94.6611,95.3257,94.3664,94.3303,91.2896,94.7028,89.7803,96.9231,94.8978,93.0396,89.9142,98.0325,94.5537,87.5838,87.7923,90.3581,87.6908,94.0601,89.4125,89.5462,86.1733,83.0203,84.7664,78.7932,81.1163,98.6304,84.2295,92.0084,96.9098,66.6319,52.5079,94.4602,71.2908,100.0,100.0,100.0
operating-margin,-18.3745,6.3248,5.303,-30.7097,12.4243,-6.6773,39.9816,-34.6214,1.2975,-4.0495,-7.369,14.4491,1.1382,8.2798,-4.1172,-23.9018,3.0852,-18.2151,-30.5841,81.1014,32.4366,39.1912,46.6973,18.42,18.2541,1.7755,-21.1393,-14.6339,-4.6301,-113.2743,-53.0918,-105.5472,-56.3491,-28.259,118.9023,5.8107,9.5494,17.3144,-24.3294,-28.0717,6.1528,-82.6154,-103.1503,-130.9237,-3.7772,46.4292,-141.7997,459.754,83.1044,-260.8925,-294.4894,-191.1999,-1368.613,-474.6497,-621.9507,-143.7523,-931.8838,-1830.131,-35808.91
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.9304,-21.7891,-24.3246,-69.1824,71.1226,-33.4545,26.0888,-35.9857,-17.2985,-26.7856,-29.3421,-1.9837,-17.1329,-13.8813,-25.6833,-43.9454,-18.4415,-41.5125,-49.1072,78.0295,20.2952,31.0725,38.8874,7.4887,17.5654,1.7955,-21.3151,-14.3443,-4.4589,-111.8285,-52.2424,-107.9376,-54.0128,-26.7603,118.9143,8.1456,9.4003,16.9008,-24.9089,-27.2707,5.8964,-82.848,-102.8566,-128.8927,-1.8921,55.1069,-127.7144,474.3046,84.3114,-248.2539,-283.7817,-184.0894,-1317.31,-448.1699,-577.6298,-123.7101,-876.3017,-1589.86,-36135.66
net-profit-margin,6.0402,-23.7837,-24.6871,-56.6633,62.2895,-33.2649,26.3419,-35.0652,-16.7608,-26.5377,-29.5654,-35.8064,-11.6662,-9.034,-19.9628,-27.5852,-11.2392,-22.9123,-36.124,48.6239,12.5357,18.8183,23.4362,102.9378,17.3892,1.5953,-20.9368,-13.9231,-4.4919,-111.8356,-52.2958,-114.0455,-51.9066,-26.765,118.9119,8.1791,9.3953,16.8967,-24.9154,-27.2858,5.9659,-82.8308,-102.8667,-128.8927,-3.2173,52.2565,-130.7841,464.56,83.5131,-253.0488,-288.1431,-189.0205,-1334.515,-455.4903,-590.492,-130.659,-903.7582,-1638.937,-37168.5
asset-turnover,0.0729,0.0704,0.0656,0.0457,0.0788,0.0694,0.1281,0.0909,0.0901,0.0925,0.0767,0.1011,0.0884,0.0936,0.0784,0.0819,0.077,0.0714,0.0457,0.2737,0.0693,0.1477,0.1633,0.0798,0.239,0.2236,0.1936,0.1877,0.2297,0.0986,0.1108,0.0738,0.0962,0.1171,0.4583,0.2397,0.2249,0.2862,0.1824,0.1445,0.2337,0.1236,0.0936,0.0917,0.1455,0.0755,0.077,0.0655,0.9401,0.0788,0.1035,0.0957,0.019,0.0421,0.0218,0.0476,0.0113,0.0196,0.0005
inventory-turnover,0.6768,0.7068,0.8369,0.2073,0.6992,0.5531,2.2437,1.3574,1.6703,1.8906,1.4862,1.7384,1.7981,2.0089,2.1696,2.0018,1.842,2.2036,0.4821,0.3839,0.4831,0.6007,0.4358,0.2137,0.2239,0.2336,0.1697,0.2416,0.2262,0.1796,0.079,0.1147,0.3493,0.4268,0.4719,0.7231,2.5977,2.0196,0.5366,0.6351,0.6346,0.5194,0.3556,0.423,0.7965,0.2712,0.5481,0.3059,0.188,0.1295,0.0697,0.0347,0.1344,0.8607,0.1041,,,,
receiveable-turnover,1.2699,1.6672,1.3321,1.1448,1.7647,1.5012,2.0568,1.3025,1.228,1.2763,1.3338,1.2078,1.0847,1.3515,1.3588,1.4245,1.1798,1.2704,1.1532,6.0609,1.0431,1.2252,1.6059,1.823,2.3295,2.0269,1.7099,1.9419,2.2334,1.2959,1.5849,0.9663,2.2112,2.6709,4.953,3.2863,2.1712,5.4739,2.4474,2.6827,4.1973,2.4604,2.4692,2.3714,3.4233,1.6246,1.9471,1.4587,17.2971,2.0819,3.5386,0.5546,0.141,2.8574,0.7757,1.6166,1.0242,1.0458,
days-sales-in-receivables,70.8729,53.983,67.5641,78.6167,50.9992,59.9521,43.7566,69.0985,73.29,70.515,67.4779,74.5133,82.9726,66.5933,66.2348,63.1818,76.2849,70.8427,78.0468,14.8494,86.2783,73.4569,56.0442,49.3683,38.6356,44.4038,52.6335,46.3455,40.2975,69.4486,56.7853,93.138,40.7021,33.6959,18.1709,27.3866,41.4518,16.4417,36.7734,33.5477,21.4422,36.5799,36.4485,37.9518,26.2901,55.3967,46.2235,61.6973,5.2032,43.2289,25.4341,162.2803,638.5239,31.4977,116.0218,55.6723,87.8774,86.0616,
roe,1.3408,-6.8907,-6.8575,-10.9551,19.9126,-11.008,16.4123,-19.5295,-8.0505,-12.6109,-11.6157,-17.6914,-4.435,-3.5479,-6.9784,-9.7339,-3.4494,-6.2563,-3.2308,25.9634,2.4496,7.1077,11.1875,30.4193,7.0641,0.5764,-6.8281,-4.4105,-1.7455,-18.4775,-8.8898,-13.0629,-7.2526,-4.5136,79.0707,7.3747,9.2574,23.2826,-29.9898,-22.962,7.581,-64.5086,-42.9332,-33.8733,-0.8636,11.1883,-27.084,73.7979,579.4084,24.0977,21.9535,23.8024,40.5855,51.3443,71.9286,74.4696,321.3572,-156.2322,-62.414
