,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,12.7192,12.1629,11.3199,11.9633,10.097,11.028,9.6174,11.976,8.8596,10.9744,9.8364,10.3013,8.3503,10.347,7.44,8.4044,7.0947,8.2324,9.7309,7.4614,8.8355,8.92,7.7316,9.6453,7.7089,7.5347,7.2305,7.8728,8.3063,8.0893,9.2337,8.3383,6.6108,6.3507,5.5058,6.7055,5.3421,4.7888,7.4324,8.411,7.2149,7.9364,7.2118,7.9039,6.1567,5.0299,4.8489,4.7507,3.6588,4.5557,4.039,4.4284,3.3749,3.4335,3.1348,3.4006,3.2461,3.7492,3.6092
long-term-debt-capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0299,,,,,0.0569,0.0807,0.1385,0.1447,0.1422,0.0977,0.0393,0.0315,0.054,0.0723
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0308,,,,,0.0603,0.0878,0.1608,0.1692,0.1657,0.1083,0.0409,0.0325,0.0571,0.0779
gross-margin,46.0124,46.3606,44.944,44.6802,45.8293,49.4839,48.0978,47.0962,48.5582,48.9271,48.3872,45.732,46.5812,47.6303,48.502,47.2276,49.1801,49.8845,48.3353,47.9705,49.2505,49.7045,47.7443,46.0833,50.0558,47.9497,46.9023,44.717,48.6177,47.8119,47.2964,49.7825,50.2216,52.8437,50.8418,48.3778,47.7832,46.7343,44.6993,45.0437,44.534,46.2713,44.2728,44.6037,43.6469,45.8089,43.4111,41.3788,42.7164,44.4804,41.9325,41.3509,38.8129,42.0788,37.6763,42.2371,37.9594,39.8078,40.8742
operating-margin,26.8755,27.3446,26.5223,23.8161,27.3896,29.001,28.847,24.374,30.2852,28.1357,29.4177,22.86,29.0102,27.8726,28.8969,25.7344,30.9596,29.5313,29.9708,26.4093,30.6512,29.2848,29.3803,26.1718,31.4681,29.1213,28.0656,24.7008,31.586,29.2189,27.1658,29.9032,32.8463,33.5175,33.0053,29.1251,29.4705,29.339,26.1616,21.6859,26.0638,27.0643,24.3902,23.7728,24.6366,25.2908,22.1689,20.1868,27.1874,23.3889,20.5626,18.5939,16.5163,19.7851,15.6489,17.8664,16.9648,17.2964,18.332
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,28.488,29.1948,28.4279,24.6893,28.6118,29.0087,27.682,25.1381,31.0424,29.1588,29.8047,23.2624,29.293,28.2074,28.2839,18.7039,31.31,30.4023,30.4326,27.2872,31.3393,30.3241,30.2068,27.1609,32.3787,30.1825,29.1106,26.0589,32.9275,30.3887,28.1644,31.1219,33.9167,34.6158,34.0776,30.3267,30.6378,30.1029,26.7601,22.4604,26.7069,27.5528,24.7974,24.3069,24.9691,25.4971,22.3153,20.3202,27.0795,23.1001,19.9896,18.084,16.2208,19.7372,15.7002,17.8958,16.9157,17.2301,18.3427
net-profit-margin,24.6766,24.098,22.6799,22.1898,23.4786,22.6453,21.5401,25.4115,21.03,27.7237,25.8415,16.7357,20.1242,20.6126,19.1771,18.6884,20.8635,19.8486,19.8361,18.4749,20.9829,19.6488,19.7727,18.1093,22.5385,19.954,19.8101,17.1737,23.6936,19.8736,18.3898,21.1098,22.2412,22.5409,22.4198,20.368,19.8851,19.4792,17.4597,14.7195,17.704,17.9109,16.505,16.4646,17.0155,17.0572,14.8606,14.9698,19.2822,15.5955,13.6129,13.9302,13.9762,14.3172,10.7983,12.65,12.2205,12.5511,12.3036
asset-turnover,0.1514,0.1612,0.1727,0.1511,0.1724,0.1776,0.1856,0.167,0.1875,0.1877,0.205,0.183,0.2095,0.2089,0.2128,0.197,0.2294,0.2358,0.241,0.1906,0.2047,0.2032,0.2079,0.1851,0.1967,0.1948,0.2069,0.1829,0.1762,0.1847,0.1793,0.1576,0.1933,0.2052,0.2123,0.1978,0.199,0.211,0.214,0.1838,0.1948,0.2082,0.2067,0.2045,0.2024,0.2219,0.2355,0.2113,0.2198,0.2381,0.2409,0.2232,0.2024,0.2266,0.2301,0.2167,0.2399,0.244,0.2622
inventory-turnover,0.5479,0.6219,0.6985,0.5755,0.6613,0.6038,0.6838,0.6132,0.6516,0.6164,0.6547,0.6227,0.6724,0.6073,0.6121,0.5738,0.6505,0.6874,0.7403,0.607,0.6543,0.6475,0.7229,0.6538,0.6419,0.6739,0.7396,0.6625,0.6422,0.6432,0.6009,0.5213,0.6473,0.6963,0.8013,0.7901,0.7689,0.8174,0.8197,0.7181,0.7406,0.7436,0.7173,0.6479,0.6186,0.6494,0.7744,0.7077,0.6888,0.7588,0.7774,0.7326,0.6457,0.6825,0.699,0.5548,0.6631,0.6242,0.7304
receiveable-turnover,2.0716,1.9689,1.9592,2.0528,1.8913,2.1264,1.9123,1.9925,1.9353,1.8367,1.862,1.9395,1.8801,1.9191,1.6676,1.9478,1.9068,1.7722,1.7903,1.9274,1.9906,2.1348,1.9536,2.2487,2.1037,1.9038,1.9267,2.183,2.1014,2.0568,2.3612,2.2738,2.2305,2.099,2.055,2.3114,2.0878,2.362,2.0872,2.2132,2.16,2.2016,1.8905,2.1692,2.002,2.0008,2.0051,2.1861,2.0452,2.0054,2.0797,2.0279,2.0218,2.1036,2.0347,2.0509,2.0473,2.2288,2.1845
