,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-10-31,2012-09-30,2012-07-31,2012-06-30,2012-04-30,2012-03-31,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
current-ratio,21.9313,19.9912,25.3595,22.8829,35.2622,27.1115,27.7922,17.7528,21.2324,23.0231,13.4024,19.4371,20.6071,23.559,24.1179,25.2829,11.4686,16.4942,17.042,24.11,35.239,35.408,23.1816,37.0651,108.35,15.5561,26.5327,,9.7093,,,,4.6348,,5.1087,7.0022,,6.512,7.668,8.2054,,1.9525,1.5716,3.4951,,4.003,5.3267,5.6839,,6.3423,2.9726,4.4728,,10.0025,10.7285,15.2265,,13.8898,15.7073,16.1942,,26.4427,30.1229
long-term-debt-capital,0.9276,0.8279,0.7406,0.6767,0.6034,0.549,0.4822,,,,,,,,,,,,,0.0002,0.0007,0.0011,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,12.8496,4.818,2.8614,2.0928,1.5213,1.2172,0.9313,,,,,,,,,0.0001,0.0012,0.0018,0.0021,0.0024,0.0027,0.0029,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,50.8146,49.7785,47.6571,28.7596,49.8155,57.6241,38.5768,69.3396,76.9324,80.6867,95.0944,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,94.2615,97.967,,82.2145,97.4785,84.7383,,75.6667,74.217,83.9191,,58.8015,86.4552
operating-margin,-777.3228,-1001.495,-1075.543,-1084.468,-1429.446,-1206.56,-2600.0,-761.132,-2091.184,-2349.499,-2700.0,-41087.16,-72566.67,-89445.0,-9307.975,-59831.82,-12181.52,-64568.43,-63650.0,-10444.3,-55168.75,-62807.69,-41050.0,-43216.66,-29207.69,-53971.42,-15937.5,,-20192.15,-35955.6,,-5042.304,-3106.058,-3448.581,-4126.261,-212.8178,,-55.7015,-15.19,10.7157,,-1939.767,-784.8104,-2722.831,,-81.0489,-32.0791,-59.199,,-604.8328,-266.8054,-833.7916,,-2294.252,-584.9077,-1097.994,,-4263.313,-1531.314,-948.4501,,-494.9502,-148.598
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-910.3039,-1151.606,-1228.571,-1230.077,-1620.0,-1366.667,-2575.281,-755.8018,-2056.763,-2329.328,-2679.245,-40687.18,-72079.16,-89330.0,-9247.854,-59831.83,-12158.7,-64484.21,-63550.0,-10427.85,-55087.5,-62707.7,-40921.43,-42991.66,-29207.69,-53957.14,-15931.25,,-20051.22,-75001.84,,-4946.226,-2940.736,-3256.518,-3880.751,-212.9985,,-51.6057,-8.4065,14.4201,,-1817.26,-766.3206,-2649.566,,-75.0114,-42.341,-74.5377,,-608.8444,-252.9421,-754.2488,,-2100.485,-535.9547,-959.3376,,-3984.167,-1415.651,-893.6866,,-468.6255,-130.0571
net-profit-margin,-899.7799,-1152.547,-1241.2,-1217.947,-1630.849,-1372.636,-2598.252,-768.6791,-2062.198,-2354.364,-2679.245,-41371.8,-72079.16,-89330.0,-9247.854,-59831.83,-12158.7,-64484.21,-63550.0,-11094.94,-55087.5,-62707.7,-37157.14,-42991.66,-29207.69,-53957.14,-15931.25,,-20051.22,-75001.84,,-4946.226,-2940.736,-3256.518,-3880.751,-212.9985,,-51.6057,-8.4065,14.4201,,-1817.26,-766.3206,-2649.566,,-75.0114,-42.341,-74.5377,,-608.8445,-252.9421,-754.2487,,-2100.485,-535.9547,-959.3376,,-3984.167,-1415.651,-893.6866,,-468.6255,-130.0571
asset-turnover,0.0154,0.0114,0.0102,0.0098,0.0068,0.0078,0.0038,0.0169,0.0061,0.0047,0.0071,0.0005,0.0002,0.0002,0.0013,0.0002,0.0021,0.0004,0.0002,0.0011,0.0002,0.0002,0.0003,0.0003,0.0003,0.0002,0.0005,,0.0005,,,,0.0023,,0.0014,0.0323,,0.0378,0.0487,0.0727,,0.0044,0.0111,0.0032,,0.0517,0.0667,0.0536,,0.0103,0.0241,0.0111,,0.0035,0.0121,0.0076,,0.0023,0.006,0.0086,,0.0106,0.0203
inventory-turnover,0.1417,0.1093,0.1065,0.1676,0.0723,0.0634,0.0486,0.0806,0.026,0.0236,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0771,0.0121,,0.1385,0.0732,0.3772,,0.1925,0.5585,0.5099,,2.0532,0.9991
