,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.2302,2.1941,2.1238,2.1764,2.2403,2.2239,2.2203,2.5907,2.6033,2.6329,2.455,2.4317,2.2923,2.2714,2.2621,2.2209,2.0506,2.0775,2.4141,2.3448,2.2946,2.3316,2.2004,2.2077,2.1226,2.0966,1.9862,1.9209,1.8134,1.612,1.6143,1.5799,1.2715,1.2943,1.2806,1.2641,1.6126,1.5365,1.6072,1.6167,1.571,1.52,1.5741,1.5792,1.5151,1.4906,1.3065,1.8423,1.6319,1.6424,1.5977,1.5105,1.5286,2.3716,2.3593,2.1321,2.4201,2.5072,2.4374
long-term-debt-capital,0.3997,0.387,0.2975,0.2628,0.2144,0.2075,0.2064,0.3617,0.3937,0.3608,0.3446,0.361,0.3297,0.3249,0.2844,0.2657,0.2389,0.2393,0.3291,0.3146,0.3036,0.2861,0.2897,0.2941,0.3124,0.317,0.3263,0.3213,0.2999,0.2749,0.2687,0.2599,0.0634,0.0871,0.1214,0.141,0.1603,0.1976,0.2078,0.2165,0.2438,0.2749,0.3671,0.3689,0.3657,0.3626,0.369,0.0134,0.0705,0.0734,0.096,0.1067,0.1328,0.0915,0.0914,0.0985,0.0954,0.1039,0.11
debt-equity-ratio,0.6663,0.6317,0.4263,0.3769,0.2916,0.2809,0.2791,0.5666,0.6494,0.5645,0.526,0.594,0.5206,0.5116,0.4262,0.3627,0.4836,0.475,0.4914,0.46,0.4368,0.4017,0.4086,0.4175,0.4557,0.4656,0.486,0.4751,0.4843,0.5002,0.4827,0.485,0.5163,0.4562,0.5169,0.5707,0.2457,0.3071,0.3187,0.3288,0.4051,0.5073,0.6837,0.7157,0.7269,0.7841,1.4584,0.0696,0.1639,0.1487,0.1602,0.2336,0.3196,0.1448,0.1452,0.151,0.1584,0.1609,0.1977
gross-margin,48.7239,47.0012,46.5323,49.2775,47.7068,46.2475,46.1895,48.2941,45.6612,44.4685,45.8301,47.4591,47.017,45.7627,44.4326,44.2283,42.2873,42.7778,45.3182,42.4803,39.8523,43.8347,42.4121,42.7278,44.0091,44.3174,44.3569,46.5301,46.9183,44.735,46.9428,45.8219,45.2677,45.7627,45.3221,47.08,47.2276,44.9651,45.4807,50.3275,44.9642,44.0396,44.5553,47.684,45.8901,41.6051,47.8389,49.3178,45.958,41.9209,45.5574,47.9576,44.0383,46.0008,46.1289,46.6457,45.0713,42.7993,41.8884
operating-margin,16.849,10.9139,9.0811,19.2197,14.8093,10.9984,8.8256,17.9642,11.7769,8.5081,9.7688,17.3294,11.6527,5.4883,9.057,14.7846,7.1194,7.9798,4.2999,8.7599,1.1672,7.7394,4.8619,11.0487,7.1754,9.5625,3.1012,7.5778,13.4658,5.2532,8.4813,11.3029,8.9627,9.6461,7.1989,12.4009,12.6693,12.5955,9.6867,20.7969,9.8076,8.0,6.2039,15.514,6.2371,9.1172,6.6303,19.2562,12.3329,9.1411,9.4967,16.6142,6.6597,2.8602,5.1299,10.02,5.7461,1.2765,3.3894
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,15.9662,9.7103,8.3225,18.0997,14.0163,9.7588,8.2928,16.7012,10.8815,7.2789,8.2099,18.7965,10.9165,4.7888,7.5653,14.0736,5.9581,6.4141,3.3098,8.563,2.1439,7.2366,3.7055,9.7446,6.1048,7.8479,2.1098,6.6692,12.8629,4.5876,6.6322,11.0293,9.4168,8.2253,5.7983,12.4009,12.3146,11.1997,9.5787,19.9782,9.1286,6.8515,6.2473,13.2297,6.5675,10.2729,1.5107,19.6205,12.9864,10.07,9.858,16.8279,6.1915,5.181,6.902,9.0085,5.9941,2.0527,3.2158
net-profit-margin,11.7636,7.4459,6.6753,14.1077,9.3013,7.0318,6.2543,-0.6409,8.494,5.6399,5.6118,14.6715,11.805,3.901,6.2866,12.8398,2.979,5.5303,1.8388,5.1378,1.3101,3.5855,2.0533,6.3757,3.7813,5.0341,1.3726,2.4744,8.8656,2.3532,3.7229,8.2298,4.7323,5.5085,3.1653,7.0416,8.833,7.5108,5.7976,11.8723,6.1863,5.1089,3.6443,8.3122,7.3523,6.9663,-0.3357,11.6666,11.032,7.4083,6.9145,11.9064,2.8378,2.5258,3.4357,4.9697,2.4265,0.3979,0.5567
asset-turnover,0.2215,0.2086,0.2058,0.2601,0.247,0.2457,0.2358,0.2723,0.2221,0.2169,0.2092,0.2601,0.2191,0.216,0.2158,0.2764,0.2149,0.2175,0.1994,0.2724,0.2197,0.2283,0.209,0.2777,0.2267,0.2525,0.2171,0.2787,0.2488,0.2404,0.2257,0.2778,0.2505,0.236,0.2198,0.2685,0.2429,0.2638,0.2395,0.3125,0.2358,0.2322,0.2176,0.2824,0.2247,0.2659,0.1705,0.263,0.4851,0.5176,0.4482,1.2724,0.2562,0.2646,0.2564,0.3307,0.2444,0.2039,0.2039
inventory-turnover,0.4554,0.4369,0.4553,0.551,0.4705,0.4682,0.4485,0.5642,0.4593,0.4561,0.4377,0.5611,0.432,0.428,0.4534,0.632,0.4779,0.466,0.4079,0.6121,0.4455,0.4197,0.3932,0.5361,0.3889,0.4209,0.3521,0.4523,0.3756,0.3748,0.3321,0.4467,0.3808,0.3517,0.3415,0.4309,0.3356,0.3901,0.3511,0.4305,0.3289,0.3238,0.304,0.3879,0.2868,0.3731,0.243,0.3914,0.7091,0.8148,0.7169,2.1327,0.4401,0.5259,0.5031,0.6353,0.475,0.4151,0.4208
