,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.2096,2.5233,2.5768,2.4087,2.6315,2.8472,2.9457,3.0145,2.7656,2.3906,2.1908,1.9155,2.4132,2.3724,2.2278,2.3498,2.149,2.4217,2.4123,3.7029,3.331,2.83,3.1311,2.7508,2.9106,2.8298,3.018,3.0865,3.5197,3.5706,3.5883,3.4243,3.7699,3.7422,3.8237,3.7461,3.5014,3.6664,3.7425,3.2011,3.3,3.0861,2.7377,2.517,2.7936,2.6739,2.5971,2.841,2.7958,2.6764,2.6147,2.4058,2.5465,2.5891,2.5616,2.5054,1.8475,1.7871,2.17
long-term-debt-capital,0.1906,0.1804,0.0788,0.0818,0.0797,0.0825,0.0822,0.0972,0.1025,0.1076,0.1147,0.1204,0.1113,0.1187,0.1239,0.1271,0.1299,0.128,0.132,0.0173,0.0249,0.0286,0.0313,0.0341,0.0408,0.0431,0.0446,0.046,0.0499,0.0467,0.0423,0.0362,0.043,0.0383,0.0354,0.0344,0.049,0.0504,0.0523,0.057,0.0732,0.0793,0.0778,0.0782,0.1122,0.1225,0.131,0.1356,0.1501,0.1522,0.1619,0.1689,0.1794,0.1842,0.1936,0.2035,0.1146,0.1237,0.1754
debt-equity-ratio,0.2354,0.2202,0.0856,0.09,0.0871,0.0904,0.0909,0.1101,0.1172,0.1248,0.1338,0.1435,0.1338,0.1442,0.152,0.1564,0.1644,0.1612,0.1688,0.0365,0.0432,0.0477,0.0494,0.0523,0.0594,0.0616,0.0629,0.0692,0.0729,0.0686,0.0625,0.0548,0.0606,0.0538,0.0501,0.0487,0.0658,0.0681,0.0716,0.0762,0.0955,0.1039,0.1067,0.1078,0.1372,0.151,0.1627,0.1694,0.1896,0.1935,0.2135,0.2251,0.2408,0.2517,0.2759,0.2932,0.1897,0.2372,0.2486
gross-margin,80.9869,81.2256,81.7823,82.6491,82.812,82.5416,82.1112,82.5595,84.0985,82.735,84.213,82.9072,84.5537,83.0952,84.5719,83.0497,83.1027,82.9199,83.0678,81.335,83.3286,80.9373,83.5493,82.1312,83.5708,82.2206,81.2907,78.4467,77.8888,76.8576,75.3579,78.5509,78.9266,81.2137,81.5565,81.025,82.8937,82.8485,84.2156,82.9948,83.0297,83.4354,83.2966,81.194,82.8928,82.1783,83.2693,82.541,84.499,79.0573,80.1934,76.6389,79.7937,80.5815,78.8254,77.1735,77.8343,78.5465,78.8949
operating-margin,6.2107,9.1622,14.2418,12.0181,15.4586,15.2287,15.0995,16.6733,19.4283,19.3026,19.3676,16.8568,20.4486,19.8454,18.9299,19.3258,19.0936,15.2519,16.7567,22.1692,22.3953,22.4984,22.6825,10.5301,23.2524,23.5253,23.0239,22.5856,21.833,21.3511,19.8747,22.373,21.0608,20.5968,19.0575,20.6583,20.3146,18.9368,17.5399,19.9776,17.271,16.3831,15.7983,21.7821,16.0271,13.2128,14.6755,14.8433,14.5247,12.4629,11.802,13.2312,12.7013,12.0739,9.96,14.2345,12.6253,12.3132,8.6286
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.1575,10.7698,14.8485,12.5792,15.9767,15.711,15.4757,16.8715,19.6249,19.5085,19.2791,17.1499,20.4134,20.0485,19.0776,19.3936,19.1217,15.1561,16.7776,22.5129,22.6549,22.8198,23.0635,10.8767,23.7345,23.9116,23.4715,23.6071,22.3283,21.7926,20.2839,22.7352,21.5463,21.1462,19.4666,20.889,20.3344,18.9206,17.9356,20.0952,17.3142,16.3997,15.7684,22.0011,16.0761,13.3374,14.8878,15.0129,14.366,12.4652,11.7468,13.3719,12.688,11.9091,10.4058,13.8929,12.2696,11.8385,7.9765
net-profit-margin,5.732,8.8724,11.9593,9.6158,12.6397,12.3824,12.3757,25.6251,13.9046,13.9074,13.7418,11.9008,14.3496,13.6891,13.2111,14.1333,13.0582,10.2166,11.137,15.9684,15.3547,15.149,15.2309,7.552,15.8477,15.9572,16.1817,15.7391,14.6178,15.3491,13.8344,14.8129,13.791,13.743,13.1301,14.1217,13.1563,12.166,11.6582,12.973,11.8203,10.8332,10.4073,15.3607,10.6485,8.7604,9.5687,10.4768,8.3752,6.9451,7.5744,10.2802,7.7371,7.2217,6.271,8.4011,9.0136,7.1281,4.7689
asset-turnover,0.206,0.1967,0.1986,0.2036,0.1975,0.2095,0.1985,0.2031,0.2047,0.2132,0.2172,0.2234,0.1991,0.2104,0.2034,0.2113,0.2042,0.2053,0.1861,0.2044,0.1913,0.1997,0.1872,0.1941,0.1835,0.1841,0.1806,0.1918,0.1949,0.1932,0.2042,0.2052,0.201,0.1927,0.1919,0.2065,0.1962,0.2031,0.1994,0.217,0.1995,0.2045,0.2055,0.2476,0.2314,0.2259,0.223,0.2334,0.2285,0.2461,0.2403,0.2545,0.2411,0.2407,0.2392,0.2499,0.2579,0.2563,0.2543
inventory-turnover,11.7373,11.5992,10.5047,9.4672,9.3086,15.561,16.1722,14.5489,12.9345,15.3308,10.4662,14.586,9.2855,12.3132,7.7768,12.6182,8.0408,6.7168,7.4784,7.2657,4.8967,5.1204,4.5687,4.4,4.2352,5.278,5.7554,6.4656,6.1534,6.5494,11.1738,5.6682,9.805,7.5315,6.6398,8.6003,9.8223,8.5234,6.737,7.0538,5.5441,5.3112,5.2029,8.6753,6.3615,5.6343,5.2537,6.4107,4.4949,6.5066,5.5758,4.9191,3.8548,3.5526,5.5313,7.7592,7.5901,5.3685,6.6837
