,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
free-cash-flow-per-share,15.7327,9.8013,7.8068,12.9563,13.4004,11.4128,7.8197,14.1725,12.5133,8.0679,5.7281,13.7302,10.8449,3.9037,3.1182,9.2981,5.5274,3.6025,2.3809,6.2732,4.2198,2.8379,1.4319,0.6744,-1.0827,-3.2464,-3.0734,6.7074,4.2363,5.7443,2.9758,3.8979,3.4992,1.4373,-0.0803,5.2418,3.9364,2.3528,1.2298,1.5907,0.1847,-0.0873,0.044,5.0172,3.1466,1.5288,1.0408,4.0051,2.3096,1.3207,1.2114,1.5016,0.8839,0.0399,-0.3183,1.6871,0.5681,0.9339,0.6228
long-term-debt-capital,0.4323,0.457,0.4697,0.4906,0.6168,0.2606,0.2678,0.2749,0.2691,0.2411,0.2451,0.2573,0.2548,0.2638,0.2742,0.2942,0.3002,0.3086,0.316,0.3158,0.3101,0.3144,0.3221,0.3215,0.3377,0.3398,0.3408,0.3379,0.3435,0.3559,0.3682,0.3843,0.2709,0.2764,0.291,0.2556,0.279,0.2953,0.2756,0.3097,0.3203,0.3512,0.3521,0.3674,0.3105,0.3054,0.3027,0.2738,0.2974,0.3089,0.3015,0.2301,0.1945,0.1683,0.1897,0.1998,0.1913,0.1854,0.2013
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,5.5063,5.572,5.8768,3.9091,9.8804,10.1132,11.4606,10.5011,7.8558,10.8777,8.4972,7.0595,7.5101,8.1627,8.2861,6.9165,9.3514,9.8609,9.0208,8.1989,9.3411,10.3172,10.04,6.5759,9.9058,9.6115,0.9043,8.1234,9.8047,7.9224,8.1729,8.0944,4.8663,10.75,10.7004,8.9932,8.8112,8.201,8.1076,10.9577,10.7815,14.0374,5.7197,-7.0168,4.8021,8.4927,1.6196,8.7747,11.3755,7.4869,9.4422,8.2996,10.7808,9.9561,12.8561,7.3159,9.5226,10.6404,15.305
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,4.5726,4.5287,4.712,1.5944,9.0163,9.5993,10.672,7.2759,7.8558,10.8777,8.4972,5.9818,7.5101,8.1627,8.2861,6.9165,9.3514,9.8609,9.0208,8.1989,9.3411,10.3172,10.04,6.5759,9.9058,9.6115,0.9043,8.1234,9.8047,7.9224,8.1729,8.0944,4.8663,10.75,10.7004,8.9932,8.8112,8.201,8.1076,10.9577,10.7815,14.0374,5.7197,-7.0168,4.8021,8.4927,1.6196,8.7747,11.3755,7.4869,9.4422,8.2996,10.7808,9.9561,12.8561,7.3159,9.5226,10.6404,15.305
net-profit-margin,3.504,3.6271,3.6051,1.007,6.7382,7.0209,8.0172,2.5533,5.3389,7.7986,5.7094,3.7769,4.6154,5.1205,5.2509,4.471,5.826,6.1947,5.6301,5.2307,6.098,6.5613,6.2147,4.4289,6.8559,6.3283,0.6966,5.3675,6.3635,5.0795,5.493,5.1152,3.262,7.1001,7.6326,7.4472,5.8299,5.4922,5.4371,7.1182,7.2836,9.6925,4.3578,-4.3388,3.5243,5.5933,1.2694,5.9022,8.271,4.5195,6.6072,5.5172,7.2033,6.6618,8.5707,4.9881,6.4396,17.531,10.0345
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,3.0292,3.2179,3.2349,0.3582,4.9759,5.4806,6.46,1.9473,3.9731,5.5682,4.1675,2.7246,3.2327,3.7638,4.0524,3.4706,4.6153,5.1668,4.8458,4.2821,4.7517,5.2228,5.0052,3.4023,5.6006,5.1765,0.6108,4.1662,4.8898,4.2119,4.3336,3.4151,2.3579,5.1802,5.8941,5.9433,4.7487,4.9241,4.8839,6.0969,6.3854,9.671,5.4195,-5.8366,3.6838,5.7425,1.1633,5.6024,8.5694,5.4128,6.6715,5.358,7.0942,5.8159,6.577,3.9179,4.5776,6.3106,8.2125
return-on-tangible-equity,-3.6747,-3.6769,-3.3908,-0.3461,8.2113,9.3997,11.4268,3.7073,6.9008,9.477,7.1905,4.8277,5.6677,6.8463,7.7235,6.9378,9.4658,11.0984,10.773,9.625,10.2668,11.6284,11.6546,7.9086,14.4048,13.3545,1.6076,10.8015,12.7601,11.4734,13.0864,5.6522,3.9397,8.8622,10.6454,11.1738,9.1476,9.4794,9.673,12.9651,14.3979,26.8187,21.6216,-29.1667,9.5906,14.241,1.8482,8.9713,14.7441,9.5679,11.4795,8.9437,11.9085,8.8867,9.437,5.618,6.4141,8.711,11.8189
