,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
current-ratio,12.3758,15.9589,18.7146,13.6382,14.9919,21.2608,17.7759,13.5066,12.3967,0.5981,0.9133,1.9075,,,,
long-term-debt-capital,0.2026,0.1855,0.1716,0.1633,0.1482,0.141,0.2151,0.1501,0.1133,,,,,,,
debt-equity-ratio,0.259,0.2315,0.2101,0.1979,0.1739,0.1642,0.274,0.1766,0.1277,,,,,,,
gross-margin,-18.908,25.7353,78.344,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.1461,100.0,13.7931,5.6604,
operating-margin,-360.3977,-2326.47,-4791.72,-431397.4,-28514.82,-3822.449,-39054.55,-3662.903,-29425.0,-1452.915,-5070.909,-5135.955,-2366.667,-2148.276,-2416.038,
ebit-margin,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-359.5888,-2304.657,-4697.452,-423397.6,-27714.81,-3865.306,-39727.27,-3682.258,-29327.27,-1522.422,-5149.091,-5141.573,-2387.619,-2118.104,-2423.585,
net-profit-margin,-359.5888,-2304.657,-4697.452,-423397.6,-27714.81,-3865.306,-39727.27,-3682.258,-29327.27,-1522.422,-5149.091,-5141.573,-2387.619,-2118.104,-2423.585,
asset-turnover,0.0308,0.0039,0.0014,0.0,0.0002,0.0015,0.0002,0.0026,0.0006,0.0132,0.0036,0.0054,,,,
inventory-turnover,1.488,2.7297,0.0897,,,,,,,,,,,,,
receiveable-turnover,2.2753,0.5037,1.2661,,,,,,,,,0.8091,,,,
days-sales-in-receivables,39.5551,178.6765,71.0828,,,,,,,,,111.236,,,,
roe,-14.7916,-11.7259,-8.4091,-9.0667,-7.4657,-7.1311,-8.1136,-11.9163,-20.7754,-44.7653,-27.1759,-34.8807,,,,
return-on-tangible-equity,-14.7916,-11.7259,-8.4091,-9.0667,-7.4657,-7.1311,-8.1136,-11.9163,-20.7754,-44.7653,-27.1759,-34.8807,,,,
roa,-11.0663,-9.0784,-6.6639,-7.1285,-6.0044,-5.8801,-6.0807,-9.4905,-17.0749,-20.0449,-18.7649,-27.5281,,,,
roi,-11.7942,-9.5511,-6.9664,-7.5862,-6.3596,-6.1253,-6.3687,-10.1281,-18.4222,-44.7653,-27.1759,-34.8807,,,,
book-value-per-share,2.1946,2.4404,2.6827,2.8606,3.0876,3.2855,1.9267,2.0735,2.2429,0.3869,1.3026,0.6693,,,,
operating-cash-flow-per-share,-0.7512,-0.4848,-0.2857,-0.66,-0.42,-0.2958,-0.2357,-0.5522,-0.2337,-0.2073,-0.0871,-0.4709,-0.3229,-0.1124,-0.2034,
free-cash-flow-per-share,-0.8284,-0.5251,-0.2963,-0.7202,-0.4456,-0.3125,-0.2372,-0.5858,-0.297,-0.2383,-0.103,-1.0026,-0.8482,-0.6329,-1.0509,
