,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30
current-ratio,17.9066,17.7332,11.5735,16.9122,10.0328,7.7338,9.0243,7.8549,9.7233,7.3629,6.2232,2.7323,1.8529,2.2684,1.901,2.5143,3.6549,1.78,,0.4593,0.2542,0.3287,,0.5572,0.9631,0.2437,,0.9439,2.7129,5.3713,,1.3821,2.1185,2.4051,,1.1729,1.8541,1.3435,,0.0446,0.0565,0.0796,,0.4379,0.5819,0.9257,,2.2676,0.4464,0.8807,,0.2049,0.2534,0.2235,,0.4367,0.7039,
long-term-debt-capital,0.147,0.1465,0.296,0.2767,,,,,,,,,,,0.1518,,,,,,,,,-10.3986,1.8085,-0.7622,,1.7016,0.6347,0.377,,0.6909,0.3587,0.2568,,1.7692,1.0506,2.2344,,-0.0823,-0.0707,-0.1047,,-1.8095,-1.7201,6.1908,,0.6479,-6.5779,-29.6139,,-2.6351,-3.5431,-2.4747,,-5.8093,-14.1936,
debt-equity-ratio,0.1777,0.1768,0.431,0.3831,,,,,,,0.0351,0.1148,0.2,0.1698,0.3059,0.1968,0.1424,0.4738,,-1.4791,-0.9655,-1.2682,,-1.2597,-2.403,-1.1842,,-2.5996,1.8716,0.6476,,3.6707,1.138,0.855,,-3.9943,-28.8881,-2.0934,,-0.3632,-0.2739,-0.2505,,-1.425,-1.7402,-2.941,,2.8466,-0.9958,-1.0922,,-0.8268,-0.8706,-0.7857,,-0.8807,-0.956,
gross-margin,48.2823,51.2595,51.9156,49.4858,51.7658,54.1107,54.2943,51.5729,53.5026,47.7548,46.2164,42.211,40.3088,40.7783,37.4021,26.3466,30.3622,34.0944,,24.0504,27.2676,36.2331,,22.0593,12.4351,11.198,,-20.0688,-47.4505,-84.8509,,-138.9549,-228.3716,-186.2846,,-157.6334,-204.011,-160.4879,,-539.4843,-1990.906,-988.6448,,-1705.181,-2155.984,-781.8384,,-948.1401,-154.9049,-1132.756,,-61.2581,-307.0367,-113.0863,,-323.2784,-366.366,-17.5218
operating-margin,-128.8878,-27.2272,-32.1746,-39.0073,-40.8915,-53.2781,-44.6985,-68.3677,-66.2121,-63.8894,-65.2345,-89.8166,-109.3082,-103.217,-168.6945,100.0,-126.7723,-112.9349,,100.0,-166.6702,-124.6801,,100.0,-221.9191,-258.2317,,100.0,-665.1764,-805.3063,,100.0,-1754.083,-1583.891,,100.0,-1191.735,-863.8987,,100.0,-12279.41,-6943.793,,100.0,-16952.78,-5779.09,,100.0,-1875.132,-12378.78,,100.0,-13202.22,-1317.809,,100.0,-1988.454,-301.716
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-130.0869,-29.7612,-35.8911,-39.608,-40.5192,-53.1243,-66.6622,-68.2949,-65.9305,-63.7716,-65.8122,-192.1837,-110.3582,-205.0636,-174.2273,-189.2375,-168.7833,-134.232,,-144.3576,-167.8496,-245.1093,,-243.0035,-2580.019,-271.2372,,-510.1728,-664.0077,-808.058,,-1441.6,-1833.669,-1658.374,,-1462.941,-1213.595,-876.2736,,11834.98,-84745.48,-2552.164,,-15793.21,-26233.58,-61246.13,,-12576.91,-1938.762,-13425.52,,-1429.766,-13511.29,-1460.14,,-2569.88,-2077.802,-319.148
net-profit-margin,-130.1066,-29.8749,-35.8776,-39.682,-40.559,-53.4014,-66.6824,-68.3224,-65.9305,-63.7716,-65.9682,-192.1976,-110.5038,-205.1932,-179.0783,-205.6711,-185.4418,-461.6919,,-204.6756,-385.8982,-327.441,,-243.0035,-2580.019,-271.2372,,-510.1728,-664.6926,-808.058,,-1441.6,-1833.669,-1659.667,,-1462.941,-1213.595,-877.3299,,11834.98,-84764.36,-2552.164,,-15793.21,-26233.58,-61252.09,,-12584.35,-1938.762,-13454.39,,-1429.766,-13521.03,-1460.14,,-2569.88,-2077.802,-319.148
asset-turnover,0.071,0.0636,0.1113,0.1005,0.1652,0.1668,0.1604,0.1639,0.1523,0.1697,0.1435,0.2748,0.33,0.2493,0.2671,0.1956,0.1612,0.356,,0.5224,0.6845,0.7069,,0.4587,0.33,0.2935,,0.1768,0.0823,0.0452,,0.0342,0.0172,0.0143,,0.0241,0.0232,0.0445,,0.0105,0.0035,0.0073,,0.0042,0.0025,0.0041,,0.0023,0.0544,0.0071,,0.1089,0.0326,0.0688,,0.0293,0.0368,
inventory-turnover,14.1237,13.4618,14.087,13.0364,19.5654,21.8245,15.0815,14.014,15.4692,20.9883,20.5572,14.3918,14.3567,13.593,13.9502,20.3155,12.6305,8.9992,,11.0614,10.2041,15.472,,19.6703,11.7244,8.1969,,6.6499,6.1596,7.4436,,7.3139,8.5182,7.8794,,4.2852,6.2798,,,,,0.291,,0.3117,0.3203,0.607,,0.6717,0.594,0.4634,,0.296,0.1908,0.2205,,0.2502,0.5519,
receiveable-turnover,1.2783,1.3884,1.5809,1.6059,1.6531,1.2786,1.6862,2.0437,2.0508,2.3325,1.8478,1.8644,1.9764,1.8887,1.5236,2.3648,2.0444,1.8894,,2.3933,2.0217,1.9003,,1.1914,1.4957,1.3642,,1.5271,1.3711,1.3214,,1.7233,0.9939,1.6295,,2.7717,2.1108,4.6154,,2.0645,1.1657,1.8138,,1.9094,1.3374,6.5451,,0.297,1.1377,2.372,,10.8935,1.8775,2.0965,,0.2347,0.439,
days-sales-in-receivables,70.4084,64.8221,56.93,56.0421,54.4429,70.3918,53.3734,44.0376,43.8852,38.5846,48.7076,48.2723,45.5378,47.651,59.0725,38.0585,44.0226,47.6354,,37.6044,44.5178,47.3611,,75.5444,60.1735,65.9746,,58.9359,65.6392,68.1077,,52.2254,90.5479,55.2323,,32.4716,42.6384,19.4998,,43.594,77.2081,49.6205,,47.1359,67.2969,13.7508,,303.0502,79.1075,37.9426,,8.2618,47.9365,42.9282,,383.4521,204.9935,
