,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.8846,0.8225,0.7791,0.936,1.1541,1.1212,1.2274,1.2356,1.4677,1.6358,1.5817,1.5607,1.5698,1.3591,1.3697,1.2796,1.4545,1.2319,1.1369,0.938,1.3134,1.1963,1.2483,1.2217,1.1506,1.1387,1.206,1.4895,1.3751,1.1151,0.9955,0.8976,0.7915,0.7414,1.302,1.3221,1.3521,1.6387,1.5283,1.5855,1.4843,1.3079,1.1723,1.2221,1.2504,1.2534,1.228,1.0668,1.2047,1.2205,0.7954,1.0349,1.0546,1.1019,1.0644,0.9711,0.9663,1.2174,1.1148
long-term-debt-capital,0.3606,0.3652,0.3696,0.3943,0.3875,0.393,0.4233,0.4307,0.4378,0.4409,0.4441,0.4444,0.4483,0.4563,0.4449,0.4256,0.4359,0.451,0.4634,0.4268,0.4699,0.4758,0.4809,0.4399,0.4464,0.4421,0.4267,0.4448,0.4457,0.4566,0.4635,0.4757,0.4872,0.4913,0.5261,0.3945,0.4222,0.4297,0.4284,0.4227,0.4222,0.4332,0.4656,0.4592,0.452,0.4667,0.491,0.504,0.5106,0.5264,0.2902,0.291,0.2876,0.2994,0.3021,0.3124,0.11,0.1833,0.1913
debt-equity-ratio,0.7322,0.7482,0.8208,0.7391,0.6893,0.7055,0.7617,0.7637,0.7796,0.7896,0.8001,0.8013,0.8142,0.8409,0.8354,0.7747,0.8074,0.86,1.1077,0.8642,0.9178,0.9609,0.9818,0.8387,0.8696,0.8877,0.8046,0.8036,0.8411,0.9506,1.006,1.0834,1.1858,1.2542,1.3045,0.7376,0.8162,0.7968,0.7928,0.7746,0.7571,0.8186,0.8726,0.8505,0.8383,0.8888,0.9787,1.0651,1.131,1.2266,0.662,0.5154,0.5071,0.5279,0.5348,0.5763,0.3021,0.3072,0.3238
gross-margin,35.3783,35.2279,34.2147,32.8439,35.3097,35.2267,34.9257,35.9786,35.8836,37.2318,35.8833,25.641,38.6207,39.4019,38.5937,37.8042,38.1915,38.5974,36.7591,37.1216,38.1303,38.2755,36.9416,40.1481,39.094,39.7245,38.892,39.5281,40.6605,41.3356,41.8889,40.6506,41.4304,41.9718,39.7776,39.4412,41.4656,42.4465,40.9376,42.0952,42.1481,42.1495,41.732,42.1807,41.2503,41.0479,40.6811,41.1048,41.9039,40.972,38.9477,40.655,41.0224,41.4625,41.0111,39.7339,41.2927,42.021,40.8798
operating-margin,16.002,15.7194,13.1148,11.963,16.0932,15.8937,14.4374,14.4236,16.056,17.1137,15.355,17.6923,17.0822,22.1406,13.795,12.9259,33.5638,15.6364,12.398,13.6484,13.4454,13.775,11.9129,15.3759,38.5347,15.9229,12.7029,14.9481,16.7213,17.7471,15.6033,18.0106,16.8932,16.6485,1.6996,16.456,18.0659,19.5172,16.5362,17.8758,18.3581,18.8964,17.7579,17.6113,17.3511,16.7649,15.7041,17.6261,17.3164,16.5986,13.1614,18.0196,18.498,18.7815,16.6581,19.0282,18.3934,18.9581,17.4245
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.8037,13.5689,11.2639,9.081,14.0815,13.7572,12.155,12.5469,13.9009,15.6652,13.5388,15.5128,15.3316,20.0944,9.2324,11.1412,31.4894,10.3896,5.7096,10.8338,11.2395,12.04,10.0802,12.1868,36.745,14.1047,11.0241,13.0326,14.8745,15.85,14.0453,16.1855,14.8588,14.5963,0.1613,15.0178,16.6797,17.5915,15.3189,15.8182,17.1962,16.9215,15.9024,15.0696,14.7225,14.7359,13.426,15.828,14.019,14.248,11.6056,16.0043,16.8814,16.5998,16.436,17.6862,17.135,18.1003,16.6797
net-profit-margin,10.9918,11.5719,8.6727,6.7428,11.2758,11.4122,9.3949,13.4585,8.6746,10.3541,9.0259,9.7436,10.1857,10.2309,5.5287,10.0054,18.1915,6.1299,3.317,10.0903,6.7752,6.9926,5.9565,8.1435,22.651,9.0909,7.6105,3.1617,8.952,9.4607,8.3365,10.7831,9.0142,8.572,-2.9568,9.6637,10.6226,10.381,8.9974,9.8248,10.132,9.8958,9.2423,9.4325,6.0627,8.7778,7.8227,-0.2966,5.5439,8.6117,6.9383,9.6359,10.1391,8.3367,9.3127,9.3186,9.9366,10.8229,9.9744
asset-turnover,0.1627,0.1661,0.1584,0.1671,0.1719,0.1786,0.1762,0.1776,0.1778,0.1833,0.1797,0.1545,0.1853,0.1885,0.1845,0.1856,0.1866,0.198,0.1733,0.191,0.1943,0.1949,0.1828,0.1962,0.2003,0.2009,0.192,0.1911,0.1955,0.2,0.2019,0.1891,0.2044,0.2018,0.1975,0.2011,0.2204,0.221,0.212,0.2158,0.2268,0.2316,0.2166,0.2142,0.2132,0.2145,0.2064,0.2067,0.2059,0.1932,0.2467,0.2737,0.2775,0.2906,0.2858,0.2636,0.3002,0.3056,0.3039
inventory-turnover,11.2857,12.0476,12.6939,12.4748,12.8632,13.6593,13.0426,12.5684,11.9,14.0964,15.1299,14.1463,14.1098,14.4375,13.9512,13.6905,13.5116,10.844,10.9717,10.7636,10.6126,10.7706,11.1212,11.5495,12.7836,12.2314,12.1581,11.5365,11.438,12.2303,12.5667,11.7246,13.1433,12.5546,15.2911,13.5654,14.9132,13.7568,13.4199,11.7112,13.5738,13.8018,12.1789,10.1927,10.8596,11.0187,10.873,10.9491,11.1047,10.0036,10.6226,11.7027,12.077,12.9675,11.7582,10.8146,10.2219,10.4725,10.2292
