,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.8121,1.1198,1.1208,1.7223,1.8392,1.8992,2.9427,2.8592,1.4031,1.4509,1.6363,1.4736,1.6145,1.6995,1.7186,1.877,1.9655,2.0481,1.6051,1.7409,1.6086,1.5955,1.4447,1.4103,1.3784,1.414,1.3724,1.4318,1.7397,1.7629,1.9116,1.9689,1.9654,2.4269,2.707,2.8375,2.0346,2.0246,2.3497,2.1993,2.0732,2.0142,1.9788,1.8299,1.8367,1.7306,1.8851,1.8189,1.8439,1.7583,1.6759,1.5371,1.5962,1.6611,1.8543,1.6716,2.1851,2.134,2.2222
long-term-debt-capital,0.8098,0.6553,0.6731,0.6765,0.6769,0.6458,0.6599,0.6521,0.6419,0.6283,0.6255,0.6484,0.6367,0.6437,0.646,0.639,0.6363,0.6299,0.6184,0.6076,0.6193,0.6286,0.6253,0.6387,0.6483,0.6579,0.6766,0.6801,0.6779,0.6366,0.647,0.6608,0.6796,0.6839,0.6638,0.6751,0.5788,0.5824,0.6022,0.6168,0.6245,0.6351,0.6517,0.6647,0.6565,0.6726,0.6711,0.6802,0.6943,0.7114,0.7332,0.7496,0.769,0.7907,0.8076,0.8277,0.6379,0.6647,0.6877
debt-equity-ratio,4.4546,2.8354,3.2929,2.5847,2.5376,2.2174,1.9791,1.9108,1.831,1.7248,1.7019,1.8774,1.7824,1.8354,1.8526,1.7958,1.7713,1.7225,1.6435,1.5706,1.6505,1.7752,1.7289,1.8273,1.9023,1.9795,2.1497,2.1853,2.149,1.7937,1.87,1.9862,2.161,2.2023,2.0089,2.1151,1.4149,1.4359,1.5563,1.6554,1.71,1.7854,1.9144,2.0226,1.9445,2.084,2.0605,2.1402,2.277,2.4709,2.7733,3.0108,3.3351,3.782,4.202,4.8873,1.7669,1.9887,2.2127
gross-margin,31.4353,31.1306,28.3684,28.1468,27.5191,28.3297,28.562,30.1781,29.4192,29.8116,29.6135,-61.3579,27.6887,28.1529,27.8907,-70.5398,29.0626,28.7817,28.1436,28.8928,28.4545,29.1869,28.3624,30.5358,30.1459,29.8555,30.7003,31.0912,31.7857,32.0796,32.4481,33.3444,32.3235,29.9836,28.69,23.4371,30.6193,30.0178,30.5646,30.2251,30.3738,30.7537,30.5155,30.7777,30.5077,30.8404,30.8253,31.543,32.4745,32.1255,31.0274,31.4361,30.7178,30.2068,29.6955,29.4732,32.514,33.036,33.0284
operating-margin,13.0278,16.2481,12.4132,13.7501,10.1512,15.1783,14.4129,5.406,14.296,14.492,33.2894,-160.4848,21.9579,8.8516,10.1892,-79.3245,14.4474,13.9913,-1.9512,13.5843,13.4551,15.2655,14.5007,15.8062,12.5709,18.1783,5.897,15.661,17.5182,12.9253,17.3494,20.2261,18.131,14.8458,15.0632,17.7023,15.5645,15.2728,15.5613,15.2603,15.5663,15.5331,15.2389,15.2709,15.3249,15.5215,15.3029,17.8589,16.1116,19.8987,15.1246,14.8129,17.5495,14.22,13.9337,14.0104,16.328,16.5992,17.0853
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,9.4276,11.3872,7.8716,9.1848,5.8693,11.1015,10.5899,1.6838,10.4657,10.6713,29.4733,-128.0792,19.2048,6.1703,7.3994,-41.9386,11.5828,9.6237,-4.9295,10.6479,10.3453,8.8986,11.0619,12.406,9.0268,14.3662,2.1785,11.3874,13.9376,9.7957,14.0868,16.7433,14.7149,11.2737,11.3665,9.0599,13.2165,12.3084,12.7557,12.4302,12.7367,12.517,11.9544,11.5923,11.7299,11.8028,11.2721,13.6281,11.8308,15.6897,9.9863,9.5487,12.3247,8.8001,8.2093,7.7468,12.6153,12.5558,14.5977
net-profit-margin,4.9334,9.6229,5.4423,-5.3089,-4.8044,9.2581,6.2709,10.9099,-7.7566,4.7048,17.0146,-48.999,15.3149,1.4359,2.7208,2.2556,6.1229,4.9635,-3.3643,6.2506,5.6621,4.6551,6.0237,6.9299,4.5549,8.8581,1.066,6.2893,7.4373,4.9836,7.576,8.4621,7.7005,6.0205,6.0489,4.8478,7.2375,6.7964,7.0169,7.0334,7.048,6.9662,6.6461,6.7327,6.4894,6.747,6.4648,6.3266,7.1645,9.5239,5.9916,5.8249,7.668,5.2356,4.9406,5.6603,8.5622,8.5795,9.7358
asset-turnover,0.1664,0.1426,0.1213,0.1476,0.1471,0.1485,0.1504,0.1466,0.1454,0.1396,0.1357,-0.0172,0.1971,0.1989,0.1934,-0.0144,0.1866,0.1813,0.179,0.1889,0.1796,0.177,0.1749,0.1791,0.1783,0.1745,0.1724,0.1547,0.1798,0.2067,0.202,0.1966,0.2019,0.2028,0.1877,0.1755,0.2163,0.2094,0.2027,0.2064,0.2088,0.2041,0.2001,0.2005,0.2018,0.1996,0.1924,0.1951,0.1944,0.1968,0.1955,0.196,0.195,0.1905,0.1879,0.1805,0.2248,0.2243,0.2184
inventory-turnover,20.1861,20.2208,18.8508,18.8774,22.6534,18.3545,16.2127,10.6804,12.6382,9.5064,10.6342,-3.2378,13.4503,13.5319,13.4016,-2.4445,14.4526,15.3501,16.2111,17.3897,20.2877,22.5443,21.545,23.9607,24.6803,25.8256,25.6051,21.8552,16.9476,16.7257,17.2843,15.4066,16.2313,16.9482,15.9976,14.3412,16.5986,16.0054,15.9145,15.5413,15.8788,16.0951,14.0973,12.0149,12.1906,11.983,12.111,11.5688,11.774,12.7543,12.6934,9.7909,8.6278,9.0291,9.266,11.5621,12.0785,11.6467,11.1686
receiveable-turnover,1.2143,1.1141,1.1036,1.1769,1.2616,1.2351,1.2579,1.2854,1.0277,1.0003,1.0783,-0.1796,1.6146,1.5277,1.5036,-0.1198,1.6279,1.4823,1.5665,1.6552,1.7914,1.5761,1.59,1.6607,1.7005,1.5566,1.5586,1.4222,1.3067,1.2987,1.2469,1.1854,1.2491,1.1763,1.1514,1.0216,1.1985,1.2186,1.1735,1.1393,1.1416,1.1208,1.1281,1.0848,1.1246,1.1107,1.1744,1.2025,1.134,1.1595,1.2142,1.177,1.1981,1.214,1.1689,1.1681,1.2824,1.2594,1.2234
days-sales-in-receivables,74.118,80.7832,81.5529,76.4701,71.3365,72.8694,71.5455,70.0168,87.5711,89.9723,83.4658,-501.0606,55.7425,58.9118,59.8559,-751.1815,55.2863,60.7182,57.4521,54.373,50.241,57.102,56.6052,54.1952,52.9255,57.8199,57.7457,63.2841,68.8736,69.3025,72.1818,75.9224,72.0494,76.5128,78.168,88.1,75.0968,73.8558,76.6915,78.9988,78.8341,80.2964,79.7781,82.9616,80.0262,81.0278,76.6378,74.8429,79.3633,77.6166,74.1235,76.4648,75.1217,74.1343,76.9954,77.045,70.182,71.4607,73.5682
roe,8.2997,5.8393,3.8951,5.3057,2.8559,5.2765,4.8308,4.0338,4.0015,3.5309,9.2471,7.1454,11.9575,1.9058,2.8071,1.7297,5.0327,3.8859,-1.4727,4.6711,4.2664,3.66,4.3769,5.3039,3.8273,6.617,1.1752,4.7042,6.4621,4.7709,6.8688,8.4573,7.8976,6.1873,5.3639,4.4423,6.0163,5.2568,5.3911,5.7056,5.9051,5.8173,5.6271,6.0072,5.6506,6.0582,5.3387,7.6537,5.8045,8.3313,5.6554,5.9497,8.1174,6.1686,6.0029,6.6318,6.5905,7.0071,8.4038
return-on-tangible-equity,-4.771,-9.033,-5.6228,-6.7935,-4.1527,-10.3136,-11.7274,-10.7229,-3.3714,-3.0612,-8.8205,-27.9656,-10.4825,-1.5664,-2.2132,-1.4911,-4.2682,-3.4789,1.2352,-4.2297,-3.5501,-2.8705,-3.2928,-3.6834,-2.51,-4.1359,-0.6492,-2.572,-6.0931,-4.1083,-5.8437,-6.7582,-5.7758,-4.9468,-5.2058,-4.0822,-7.9393,-6.9451,-7.1305,-6.6106,-6.5203,-5.9795,-5.0656,-4.9646,-5.0935,-4.8507,-4.4619,-5.9756,-4.1295,-5.3129,-3.0588,-2.8233,-3.4161,-2.2795,-2.0105,-1.8932,-8.9736,-7.6324,-8.3582
roa,1.1949,1.2431,0.7042,1.0851,0.5944,1.2175,1.2196,1.0387,1.0458,0.9624,2.5472,1.8476,3.2345,0.5056,0.7462,0.475,1.383,1.0966,-0.4146,1.4213,1.2142,1.0121,1.217,1.4286,1.0093,1.722,0.2833,1.1506,1.5942,1.2928,1.8017,2.1544,1.8889,1.4697,1.3772,1.1152,1.8746,1.635,1.6251,1.6563,1.6752,1.6077,1.4964,1.5062,1.5022,1.5296,1.3734,1.9093,1.3928,1.874,1.1713,1.1419,1.4674,1.0144,0.9335,0.8983,1.7749,1.7491,1.9613
roi,1.5787,2.0127,1.2735,1.7164,0.9228,1.8691,1.6428,1.4034,1.4328,1.3125,3.4633,2.5121,4.3441,0.6791,0.9938,0.6243,1.8306,1.4381,-0.5619,1.8331,1.6241,1.3592,1.6402,1.9164,1.3459,2.2639,0.3801,1.505,2.0813,1.7339,2.4249,2.8691,2.5302,1.9557,1.8036,1.4431,2.5338,2.195,2.1447,2.1862,2.2175,2.1227,1.9599,2.0139,1.9412,1.9832,1.7558,2.4479,1.7745,2.4047,1.5089,1.4896,1.875,1.2913,1.1552,1.1428,2.3867,2.3497,2.6242
book-value-per-share,18.7657,25.798,24.5599,23.4898,24.275,26.2528,26.7959,26.7785,26.2595,27.5727,27.4445,24.9275,25.4978,23.9662,23.8464,24.2387,24.6064,24.8156,24.0432,24.8576,23.974,23.0809,22.601,21.6057,20.8651,20.1538,18.7155,18.5639,14.0035,13.2714,12.7784,12.1108,11.1426,10.4092,11.0841,10.6099,11.7264,11.4863,11.1695,10.6448,10.3568,9.8879,9.3036,8.804,9.0978,8.5389,8.4187,8.0848,7.6284,7.1022,6.436,5.9536,5.5161,5.034,4.6591,4.1723,3.801,3.4019,3.0926
operating-cash-flow-per-share,9.1994,4.5036,0.8472,10.2785,8.264,5.3104,1.9938,9.9983,8.1927,5.2326,4.4304,9.6246,7.1572,4.5453,2.0632,7.2009,5.1711,2.029,1.9218,6.7276,7.0403,3.1446,1.9392,8.2572,6.6037,3.1931,1.7709,5.6182,4.6599,2.7811,1.7334,6.1122,5.4081,2.735,1.6761,4.0738,3.4566,2.67,1.2497,3.2002,2.4574,1.6677,0.6429,2.8965,1.9661,1.207,0.4985,2.7047,1.4397,0.9996,0.4124,2.4556,1.5552,1.1005,-0.1118,2.3329,1.4478,1.0477,0.54
free-cash-flow-per-share,31.1195,25.3542,-0.2618,5.4228,4.8538,3.2557,0.8174,5.75,4.85,3.5381,3.5705,5.8942,4.3777,2.8215,1.2303,4.0181,3.038,0.6923,1.3528,3.8117,4.9987,1.8591,1.3536,5.6714,4.7446,1.9904,1.2258,2.8287,2.6992,1.4764,1.146,4.429,4.0848,1.9418,1.3329,2.7464,2.6425,2.1944,1.0464,1.919,1.4744,1.0028,0.2923,1.3958,0.906,0.5205,0.1997,1.4376,0.6212,0.509,0.1808,1.214,0.6988,0.5545,-0.3395,1.5576,0.9805,0.7304,0.4158
