,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
current-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,76.8687,77.3876,77.1311,76.5467,77.6354,78.2927,78.2296,76.7909,75.75,75.5896,77.1515,74.2714,76.8133,76.1937,77.3674,75.65,75.9643,75.609,75.6033,75.7859,76.4949,76.5939,77.8373,76.7677,76.3824,76.8608,77.6296,80.5473,80.0853,80.8506,80.5832,77.8698,79.6594,78.6634,80.9668,,
operating-margin,21.4362,22.0362,20.2676,22.0743,22.6317,24.3039,26.1641,27.472,23.5891,24.5233,25.874,23.5649,27.7551,27.5789,30.7696,39.2722,29.6915,27.7233,29.2696,30.7793,29.6493,27.7821,28.2305,27.5474,27.5248,10.4589,27.8343,28.9548,28.5552,31.8462,29.623,26.9146,31.481,29.4171,29.7807,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,23.8269,24.2075,22.7667,24.3072,25.1702,29.0131,27.5654,28.7445,24.6184,25.9577,27.2218,24.0629,28.6434,27.883,31.3153,39.4377,29.8762,28.0535,29.006,30.6504,29.544,28.0683,28.445,27.6107,27.7086,10.2524,28.1,28.9389,28.5077,31.5294,29.8605,26.7067,31.2769,29.3862,29.7858,,
net-profit-margin,19.523,19.6172,18.1528,18.7564,20.8041,25.9407,22.6694,13.8473,16.8646,18.8116,18.429,16.0288,19.3342,18.7695,20.1129,26.3706,19.3303,18.0085,18.7289,21.4579,19.5786,18.1795,18.5089,18.209,18.9482,6.9396,18.9406,20.6563,17.398,19.7975,18.5563,15.4217,20.0107,16.1844,15.1727,,
asset-turnover,0.1351,0.1399,0.1369,0.1506,0.1366,0.1452,0.1547,0.1632,0.1463,0.1532,0.1622,0.1634,0.1504,0.1581,0.1658,0.1709,0.1711,0.1747,0.1769,0.1831,0.1822,0.1838,0.1905,0.2035,0.2043,0.2148,0.2217,0.2248,0.2278,0.2613,0.267,0.2671,,,,,
inventory-turnover,0.2426,0.2542,0.2918,0.3501,0.3043,0.328,0.3529,0.3769,0.3301,0.3348,0.3149,0.3461,0.2721,0.3135,0.2998,0.3298,0.3115,0.3224,0.3245,0.3429,0.3576,0.3481,0.3491,0.3806,0.3556,0.347,0.3513,0.3139,0.3309,0.346,0.3733,0.4117,,,,,
receiveable-turnover,1.2452,1.2395,1.3011,1.3573,1.2822,1.2631,1.4218,1.4039,1.445,1.4448,1.6526,1.5826,1.4649,1.5303,1.8371,1.6512,1.6005,1.6703,1.7856,1.5862,1.8205,1.6284,1.7744,1.7693,1.7307,1.4949,1.6164,1.7156,1.628,1.8011,1.7469,1.7576,,,,,
days-sales-in-receivables,72.2771,72.612,69.172,66.3069,70.1893,71.254,63.3005,64.1091,62.2825,62.2925,54.4584,56.867,61.4391,58.8123,48.9913,54.5055,56.231,53.8814,50.4033,56.7401,49.4359,55.2681,50.7218,50.8684,52.0031,60.2033,55.6799,52.4597,55.2827,49.9685,51.5198,51.2049,,,,,
roe,2.8613,2.9641,2.6843,3.1,3.0854,4.0993,3.8503,2.5188,2.7362,3.1666,3.3047,2.9202,3.2374,3.3105,3.7402,5.2565,3.9294,3.7402,4.0133,4.7208,4.1641,3.9081,4.2104,4.4426,4.5297,1.7592,4.8717,5.3731,4.5261,5.9076,5.8302,4.8048,,,,,
return-on-tangible-equity,3.3965,3.5595,3.2266,3.7714,3.7957,5.006,4.8032,3.1855,3.5136,4.0807,4.0942,3.6569,4.147,3.9424,4.4883,6.3718,4.8295,4.6651,5.069,5.5528,4.5548,4.2955,4.6532,4.944,4.7922,1.8685,5.187,5.744,4.8609,6.2372,6.1804,5.1162,,,,,
roa,2.6379,2.7441,2.4859,2.8255,2.8428,3.7674,3.5062,2.2602,2.4674,2.8811,2.9897,2.6193,2.9085,2.968,3.3346,4.508,3.3074,3.1457,3.3123,3.9284,3.5674,3.3409,3.5266,3.7056,3.871,1.4909,4.1998,4.6445,3.9628,5.1731,4.9537,4.1197,,,,,
roi,2.8613,2.9641,2.6843,3.1,3.0854,4.0993,3.8503,2.5188,2.7362,3.1666,3.3047,2.9202,3.2374,3.3105,3.7402,5.2565,3.9294,3.7402,4.0133,4.7208,4.1641,3.9081,4.2104,4.4426,4.5297,1.7592,4.8717,5.3731,4.5261,5.9067,5.8292,4.8039,,,,,
book-value-per-share,13.4684,12.9952,12.4994,12.0268,11.5908,11.1675,10.5684,10.0124,9.7052,9.4019,9.0435,8.6738,8.4558,8.1498,7.8419,7.5044,7.077,6.765,6.4717,6.1818,5.8626,5.5985,5.3374,5.0551,4.8096,4.5481,4.4413,4.2347,3.9973,4.42,4.147,3.8947,,,,,
operating-cash-flow-per-share,1.1525,0.6084,0.3867,1.7928,1.3492,0.8429,0.5204,1.6249,1.1673,0.812,0.5502,1.5329,1.259,0.8175,0.577,1.2908,0.8102,0.498,0.3615,0.8294,0.8089,0.4355,0.3071,0.9923,0.6441,0.2901,0.1953,0.8299,0.5586,0.3822,0.2514,0.8458,0.5947,0.4077,0.2985,,
free-cash-flow-per-share,0.6142,0.1861,0.109,1.253,0.9706,0.6048,0.3972,1.1008,0.7802,0.5558,0.4315,1.1087,0.9823,0.6086,0.4797,0.7624,0.4294,0.2364,0.2861,0.5701,0.6449,0.3074,0.2424,0.7409,0.4484,0.1522,0.1229,0.5622,0.3749,0.2524,0.182,0.597,0.4211,0.2462,0.2198,,
