,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
current-ratio,13.6385,17.796,19.7912,11.3686,,,,,
long-term-debt-capital,0.0864,0.0797,0.0215,,,,,,
debt-equity-ratio,,,,,,,,,
roe,-12.1593,-10.0801,-6.7903,32.3098,,,,,
return-on-tangible-equity,-12.1593,-10.0801,-6.7903,32.3098,,,,,
roa,-10.3246,-8.7737,-6.3206,-16.2034,,,,,
roi,-11.109,-9.2769,-6.6445,32.3098,,,,,
book-value-per-share,6.5405,7.3006,8.0005,-14.9136,,,,,
operating-cash-flow-per-share,-1.6574,-1.0717,-0.7648,-7.8469,-4.0512,-1.8129,-0.6395,,
free-cash-flow-per-share,-1.7304,-1.1335,-0.8019,-11.1076,-7.3034,-3.6959,1.1999,,
