,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.568,1.4457,1.3008,1.2286,1.2916,1.2582,1.2508,0.7926,0.8473,0.8638,1.8115,1.4709,1.3395,1.2992,1.5159,1.3417,1.3697,1.3563,2.1991,2.5271,2.3957,2.2963,1.9529,1.4923,1.3911,1.5909,1.0699,2.3634,2.7553,2.5109,2.8086,2.636,2.5855,2.849,2.717,2.4867,2.6618,2.2448,2.5983,2.486,2.6787,2.5886,2.3675,2.0347,2.2883,2.3966,3.0067,2.2349,2.1155,2.2744,1.8144,1.7416,2.8907,3.9135,3.6656,4.0957,3.4116,3.601
long-term-debt-capital,0.5591,0.5663,0.5415,0.5288,0.5283,0.5303,0.4653,0.4408,0.4377,0.4466,0.5399,0.5873,0.6019,0.6024,0.5992,0.6077,0.5938,0.6076,0.6447,0.6681,0.6724,0.6788,0.6841,0.686,0.592,0.6035,0.5867,0.6267,0.3392,0.3388,0.3372,0.3364,0.3356,0.3371,0.3424,0.3491,0.3362,0.3358,0.3496,0.3571,0.4466,0.4642,0.3125,0.3178,0.2665,0.2802,0.3061,0.0113,0.01,0.0106,0.0092,0.0101,0.0273,,,,0.0006,0.0013
debt-equity-ratio,1.3873,1.4502,1.3154,1.3698,1.335,1.3797,1.05,1.202,1.1326,1.1828,1.491,1.5613,1.6753,1.6659,1.6768,1.7373,1.7622,1.8167,1.8811,2.0687,2.1023,2.1582,2.2054,2.4754,1.6701,1.6735,1.6875,1.7006,0.5133,0.5125,0.5087,0.5069,0.5053,0.5087,0.5211,0.5367,0.507,0.5229,0.5489,0.5694,0.8173,0.8806,0.4623,0.4741,0.3638,0.3898,0.4418,0.0139,0.0137,0.0134,0.0751,0.1058,0.038,,,,0.003,0.0038
gross-margin,52.1821,5.1808,52.2571,51.764,52.9126,52.5909,53.6595,52.0488,50.8126,54.3332,55.1198,55.8751,54.7951,55.5315,54.5311,53.9841,54.5756,51.2586,51.8689,52.2253,49.4467,45.136,49.8939,46.7073,49.4809,45.5921,44.6136,46.607,52.0258,47.9896,52.7532,52.0719,51.9996,50.3104,51.9531,22.5695,49.8913,51.0961,52.4781,51.3468,52.3777,52.131,53.5744,54.2993,56.989,55.5943,45.1844,48.1401,47.0369,46.1157,45.4789,42.145,41.4923,42.0152,41.2593,39.6878,40.6331,38.6686
operating-margin,17.046,-39.4917,16.9135,12.1819,16.1529,-76.5489,16.9511,13.6256,14.2662,139.754,19.8802,20.2256,19.4313,19.6308,18.1387,17.8999,16.7171,16.7506,15.8548,13.9268,12.0455,8.032,10.0082,-166.524,9.7588,0.9046,10.0147,-7.4291,17.1251,2.1508,14.1226,15.7203,16.3864,35.4241,16.5799,-33.3195,18.7248,14.8049,17.4492,18.7977,19.5341,-563.3764,21.8345,-19.9978,25.0577,24.617,-86.8987,22.9551,20.8517,19.2196,16.247,4.908,15.5241,16.2321,8.8749,14.5861,12.7625,10.3716
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.4092,-43.2185,12.5557,8.7646,12.7791,-87.5459,12.1097,9.0049,9.242,135.253,15.8088,14.8046,14.0926,13.2555,16.4989,3.6426,6.7301,9.2754,6.7555,5.8583,3.5726,-1.888,-0.2286,-177.5704,-1.118,-12.0373,-1.1646,-16.6531,11.6979,-12.439,8.4415,8.9084,9.8483,29.3689,2.8964,-40.2964,10.8742,7.3564,9.9632,10.788,10.9315,-571.7192,13.2199,-35.5837,22.0982,20.2957,-94.8197,23.5633,21.1681,18.9324,15.891,4.8853,16.0563,17.2441,10.3074,15.4888,13.7172,10.9104
net-profit-margin,11.016,-33.3089,11.8695,6.2077,13.7015,-86.3297,51.4094,10.3002,7.3812,73.6371,11.7783,12.6858,11.8205,9.938,12.2123,3.5857,4.2369,7.2921,4.473,4.2537,1.7863,-2.688,-0.8653,-179.0194,-1.7569,-8.3413,0.4939,-13.2088,5.0176,-8.5475,4.4027,5.9029,8.0243,18.7951,2.5291,-31.9809,6.5245,4.9312,6.3269,6.0998,7.6282,-574.6364,8.8898,-39.3988,14.2911,12.9883,-96.544,15.8517,12.9229,11.9468,9.8559,-0.9568,10.0405,11.0551,6.4987,12.1149,11.0164,8.7352
asset-turnover,0.1307,0.1254,0.1198,0.1125,0.1162,0.1091,0.0983,0.1006,0.0993,0.0822,0.1001,0.0993,0.0982,0.0952,0.0905,0.092,0.0853,0.0816,0.0808,0.0785,0.0752,0.0747,0.0722,0.0691,0.0606,0.0594,0.0603,0.0562,0.078,0.0779,0.0782,0.0777,0.076,0.0752,0.0764,0.0761,0.0734,0.0728,0.0726,0.0709,0.0705,0.0695,0.0527,0.0544,0.055,0.0553,0.047,0.19,0.2051,0.2078,0.188,0.1799,0.2984,0.3033,0.299,0.2795,0.2857,0.2871
inventory-turnover,0.8711,1.7501,0.9474,1.0216,1.0472,1.034,1.0235,1.161,1.1106,0.8508,1.276,1.1675,1.1562,1.0814,1.1037,1.1424,1.0685,1.0714,1.0126,0.9546,0.9697,1.1026,1.0172,1.1457,1.0336,1.0417,1.0127,0.8557,0.9873,1.0456,0.9254,0.9709,0.9299,1.0034,1.0212,1.7229,1.1201,1.045,1.0086,1.0893,1.0468,1.0754,1.0986,1.1578,1.0349,1.2085,1.3568,0.9977,1.096,1.0559,0.9005,0.9535,0.8167,0.962,1.0443,1.0596,1.0547,1.1449
