,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
current-ratio,2.6638,3.2683,3.5217,4.7941,5.579,6.5853,5.7167,7.6532,8.148,9.9838,8.9753,1.9137,2.5616,,,,,
long-term-debt-capital,0.7168,0.439,0.3907,0.3373,0.3224,0.3094,0.29,0.2729,0.2656,0.2677,0.2583,2.277,1.8231,,,,,
debt-equity-ratio,2.683,0.8842,0.6413,0.509,0.4758,0.4686,0.4271,0.3927,0.3784,0.3656,0.3482,-1.7831,-2.215,,,,,
gross-margin,75.9521,75.1557,75.6019,73.8899,73.2442,71.8273,72.6538,72.3587,71.728,70.439,69.0654,68.5221,67.2302,63.7545,,59.8887,,
operating-margin,-21.2297,-16.8954,-26.7617,-25.5826,-32.9274,-34.8176,-37.6894,-23.8986,-24.8218,-22.1346,-23.2464,-15.888,-23.4969,-37.8948,,-58.8613,,
ebit-margin,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-21.4734,-16.959,-33.9914,-26.8843,-34.4132,-36.3717,-39.5593,-26.0595,-27.0143,-24.7376,-33.5009,-24.2849,-28.1937,-47.6583,,-61.494,,
net-profit-margin,-21.5016,-16.9844,-34.0934,-26.8843,-34.4132,-36.3717,-39.5593,-26.0595,-27.0143,-24.7376,-33.5009,-24.2849,-28.1937,-47.6583,,-61.494,,
asset-turnover,0.2573,0.4029,0.3605,0.3202,0.2933,0.2499,0.2117,0.1873,0.1775,0.1614,0.1354,0.6129,0.5477,,,,,
inventory-turnover,4.6233,4.6845,5.1062,4.2884,4.3773,4.637,4.5793,5.2664,5.4785,5.4818,4.1626,3.1591,3.5412,,,,,
receiveable-turnover,1.8304,1.6712,1.9636,1.8619,1.8604,1.7807,2.1758,2.0795,2.1983,1.952,1.9885,1.8028,1.7048,,,,,
days-sales-in-receivables,49.1708,53.8544,45.8332,48.3374,48.3761,50.5431,41.3643,43.2798,40.9403,46.1063,45.2598,49.9237,52.7908,,,,,
roe,-23.5908,-16.1274,-27.035,-16.0168,-17.8276,-15.3078,-14.0146,-7.6403,-7.3708,-5.9376,-6.7695,3.5457,3.987,,,,,
return-on-tangible-equity,-24.0167,-16.4119,-27.4701,-16.2356,-18.0549,-15.4917,-14.1681,-7.7182,-7.4442,-5.9955,-6.8332,21.7984,29.5202,,,,,
roa,-5.5317,-6.8431,-12.2905,-8.6092,-10.0944,-9.0884,-8.375,-4.8812,-4.7955,-3.9932,-4.5355,-14.8831,-15.4419,,,,,
roi,-6.6808,-9.0472,-16.4721,-10.6142,-12.0803,-10.5719,-9.9506,-5.5551,-5.4133,-4.348,-5.0213,-29.1822,-25.7757,,,,,
book-value-per-share,1.9572,2.0189,2.2333,2.6485,2.8617,3.0783,3.403,3.716,3.8705,4.0316,4.1809,-12.2557,-9.7421,,,,,
operating-cash-flow-per-share,-0.6787,-0.6987,-1.2169,-1.0275,-0.8263,-0.5647,-0.659,-0.4904,-0.3309,-0.2889,-3.15,-10.8067,-9.3129,-6.7148,,-8.8028,,
free-cash-flow-per-share,-0.8594,-0.7655,-1.4338,-1.1807,-0.9201,-0.6119,-0.8164,-0.6067,-0.4257,-0.3419,-3.6727,-12.0592,-10.0578,-7.1812,,-9.883,,
