,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30
current-ratio,7.7744,8.8648,9.5861,9.7919,13.1572,21.6347,22.5492,33.021,28.0784,50.1004,22.7722,36.8579,3.8512,23.0539,51.7353,77.1542,49.3179,22.817,16.2065,12.4075,38.4282,51.5498,37.4194,5.5969,6.0619,0.0015,0.1555,,
long-term-debt-capital,0.082,0.0742,0.0674,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0994,0.0889,0.0822,,,,,,,,,,0.313,,,,,,,,,,,,,-0.282,,,
gross-margin,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0
operating-margin,,,,,,,,-647047.5,-77255.63,-16226.56,-29126.91,-28635.38,-691985.2,-13808.15,,-95805.32,,-37795.65,-675738.8,-23225.93,-5227.391,-2103.46,-2726.351,-970.6991,-716.4192,-1251.126,-902.7327,,-587.8556
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,,,-618538.8,-74378.73,-15478.95,-28264.07,-27837.97,-674752.6,-13497.54,,-94043.88,,-37482.7,-672302.4,-23074.8,-5156.58,-2067.862,-2707.769,-969.4873,-735.322,-1286.78,-942.4753,,-586.0944
net-profit-margin,,,,,,,,-597600.3,-74365.66,-15478.95,-28265.75,-28076.03,-693840.6,-13497.54,,-94049.11,,-37482.7,-672302.4,-23077.23,-5156.58,-2067.862,-2707.769,-971.6626,-735.322,-1286.78,-942.4753,,-588.2721
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,4.8746,1.8526,1.3972,1.0377,,2.3254,,1.0,,6.2941,1.0,1.2763,1.0,1.0,1.0,2.4606,2.6581,,,,
days-sales-in-receivables,,,,,,,,,18.463,48.5803,64.4159,86.7308,,38.7034,,90.0029,,14.299,90.0,70.5151,90.0,90.0,90.0,36.577,33.8589,,,,
roe,-15.366,-14.5817,-12.07,-12.8254,-11.7421,-9.5742,-8.384,-6.6475,-7.1595,-5.2289,-7.6293,-7.3195,-7.5792,-7.2388,-6.1495,-6.0546,-6.4083,-10.5673,-10.0222,-12.6077,-4.7866,-3.2709,-3.1832,-25.4333,-12.4152,25095.94,25513.02,,
return-on-tangible-equity,-15.366,-14.5817,-12.07,-12.8253,-11.7421,-9.5742,-8.384,-6.6475,-7.1595,-5.2289,-7.6293,-7.3195,-7.5793,-7.2388,-6.1495,-6.0546,-6.4083,-10.5673,-10.0222,-12.6077,-4.7866,-3.2709,-3.1832,-25.4333,-12.4152,25095.93,25513.02,,
roa,-12.4276,-12.0832,-10.157,-11.4074,-10.7688,-9.0703,-7.9616,-6.4071,-6.8435,-5.0812,-7.2345,-7.0673,-5.5781,-6.8888,-6.0047,-5.9563,-6.2676,-10.0801,-9.3987,-11.5925,-4.6621,-3.2075,-3.0983,-20.9128,-10.3761,,-138535.1,,
roi,-14.1058,-13.5003,-11.2565,-12.8254,-11.7421,-9.5742,-8.384,-6.6475,-7.1595,-5.2289,-7.6293,-7.3195,-7.5792,-7.2388,-6.1495,-6.0546,-6.4083,-10.5673,-10.0222,-12.6077,-4.7866,-3.2709,-3.1832,-25.4333,-12.4152,25095.93,25513.02,,
book-value-per-share,4.1066,4.6527,5.2351,5.7877,6.4632,7.1368,7.7373,8.3233,7.3558,7.8221,8.1313,8.6735,9.229,9.8489,10.4722,11.0354,11.6683,5.8092,6.3594,4.0867,4.5594,4.7234,4.8843,1.4267,1.7873,-0.0066,-0.0044,,
operating-cash-flow-per-share,-1.6833,-1.1413,-0.6465,-2.16,-1.627,-1.1079,-0.4935,-1.7429,-1.2827,-0.9509,-0.378,-2.1105,-1.4521,-0.7666,-0.4549,-2.8357,-1.9033,-1.3346,-0.5104,-0.7961,-0.5651,-0.4161,-0.2637,-1.3088,-0.7966,-0.6263,-0.1569,,-2.6353
free-cash-flow-per-share,-1.7077,-1.1618,-0.6477,-2.1671,-1.633,-1.1137,-0.4989,-1.7586,-1.2875,-0.9532,-0.3786,-2.1116,-1.4532,-0.7676,-0.455,-2.8595,-1.9266,-1.355,-0.5274,-0.7965,-0.5653,-0.4164,-0.2639,-1.3107,-0.7985,-0.6269,-0.1573,,-2.6423
