,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30
current-ratio,3.8945,3.708,3.1537,3.5718,4.2908,3.7561,2.9986,3.2941,3.0985,2.6459,1.9168,2.9062,3.1961,5.4291,3.1859,5.5491,3.8653,5.5289,5.0001,4.6856,3.9265,2.7553,2.1735,4.2377,3.9834,3.9826,2.6562,2.8797,2.1561,1.5622,3.128,3.7664,2.6443,1.6735,1.5436,1.2423,0.771,0.57,0.5542,0.6238,0.7647,0.6518,0.199,0.2536,1.0491,0.9985,1.5958,3.1499,4.623,5.0955,,,,
long-term-debt-capital,0.3608,0.3662,0.3864,0.3618,0.3402,0.3519,0.3555,0.3622,0.3847,0.4263,0.4672,0.515,0.5558,0.4028,0.4163,0.4186,0.4285,0.4805,0.5056,0.4929,0.4983,0.4811,0.4842,0.2959,0.3049,0.3175,0.2648,0.2758,0.3296,0.3482,,,,,0.2551,0.4463,1.0289,1.9944,7.3769,4.9848,3.5042,4.4261,,,1.5061,1.4562,0.9011,0.5773,0.4013,0.3663,,,,
debt-equity-ratio,0.5754,0.5891,0.6419,0.579,0.5265,0.5546,0.5678,0.5827,0.6398,0.7596,0.9454,1.0811,1.2724,0.6967,0.7366,0.7434,0.8249,0.9445,1.0297,0.979,1.0001,0.9346,0.9464,0.4245,0.4431,0.4699,0.3883,0.4074,0.5218,0.5628,,,,0.3612,0.6775,1.5726,-64.6149,-3.4335,-1.7471,-1.7062,-1.4357,-1.4565,-1.3432,-1.318,-3.0613,-3.3635,9.3672,1.4288,0.6935,0.6024,,,,
gross-margin,94.1603,94.8185,93.4068,94.4723,94.3384,93.0639,92.3711,94.2145,92.4238,92.73,93.3347,91.5143,93.5029,93.7087,93.0243,92.9506,91.6728,93.4642,90.851,91.2209,91.1952,89.4613,87.4761,89.1239,89.5538,87.9804,86.129,85.9758,81.4096,90.1079,92.4471,95.3769,94.6775,94.7806,94.4793,91.036,93.0932,93.0791,91.8062,92.7333,92.4113,93.0928,91.1986,83.1335,68.8662,82.0066,84.2968,78.7879,90.9751,88.2291,85.7822,,82.2199,84.1611
operating-margin,24.7541,38.2457,26.3177,38.8398,40.219,30.6105,19.7491,32.3569,20.9914,41.8481,36.2023,41.7285,36.4137,44.2687,36.0591,31.2801,38.5869,45.9333,37.7491,39.5923,18.9299,25.5094,-26.9963,40.0803,43.315,37.0061,34.7473,36.6777,31.5073,31.7369,34.8571,45.0872,45.9853,52.4401,44.4252,47.8461,32.2727,26.1374,20.5527,29.8036,12.0387,21.5504,-32.7188,-263.9399,-156.3394,-303.0697,-299.3577,-379.5566,-82.8816,-299.7266,-138.295,,-179.1928,-190.3197
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,21.2402,34.4701,22.6708,34.7265,36.027,25.8614,14.7261,27.2514,15.7915,35.8334,30.802,38.1505,31.0994,41.0887,32.1868,28.3116,34.5892,35.5838,33.2228,35.1202,16.3052,21.6104,-31.0272,37.0512,40.3791,31.5915,31.1149,31.2711,26.4655,30.3515,34.8698,44.8585,44.318,51.4226,42.8981,45.83,29.5913,-15.7783,4.1623,14.766,-5.427,5.8235,-58.8331,-290.5843,-162.3408,-333.8696,-319.1882,-387.8011,-90.1509,-279.4658,-139.0119,,66.6058,-217.9339
net-profit-margin,19.0209,49.0324,16.7657,33.47,31.8118,18.4465,10.3441,53.2098,15.4244,26.7768,23.005,29.4208,24.0066,30.0403,22.5624,24.2786,25.8044,26.4014,22.8578,24.8709,8.4042,14.9912,-37.5224,23.4517,32.4815,20.2567,22.1289,109.1713,18.9209,21.8504,26.998,44.8585,44.318,51.4226,42.8981,45.83,29.5913,-15.7783,4.1623,14.766,-5.427,5.8235,-58.8331,-290.5844,-162.3408,-333.8696,-319.1882,-387.8012,-90.1509,-279.4658,-139.0119,,66.6058,-217.9339
asset-turnover,0.0973,0.0973,0.0962,0.0916,0.0856,0.0936,0.0841,0.0852,0.0824,0.0821,0.0781,0.0826,0.0759,0.1105,0.0951,0.1023,0.0984,0.0984,0.0955,0.0983,0.0916,0.0923,0.0772,0.1053,0.1062,0.0995,0.0976,0.0934,0.1016,0.0732,0.1145,0.3294,0.3527,0.3338,0.33,0.3932,0.4144,0.4162,0.3296,0.3565,0.3015,0.3434,0.2008,0.1668,0.0987,0.0833,0.0612,0.0746,0.083,0.0515,,,,
inventory-turnover,0.4416,0.4011,0.5519,0.4973,0.6118,0.7521,0.7313,0.5838,0.7547,0.723,0.6657,0.9884,0.7515,0.7203,0.9239,1.2354,0.9456,0.7087,0.922,0.9591,0.7177,0.9273,0.8361,0.8945,0.9752,0.8898,1.1923,0.9713,1.0769,0.2541,0.4557,0.988,0.9078,0.7116,0.5599,0.9481,0.6906,0.6326,0.8183,0.812,0.5159,0.6141,0.4386,0.7697,0.882,0.4496,1.0445,1.4835,0.5998,0.5221,,,,
