,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,16.6704,20.3244,21.8136,32.9053,32.9312,33.477,,,,,
long-term-debt-capital,0.0618,0.059,0.0568,,,,,,,,
debt-equity-ratio,,,,,,,,,,,
roe,-10.5761,-9.2154,-7.4815,-5.3145,-4.962,-5.677,,,,,
return-on-tangible-equity,-10.5761,-9.2154,-7.4815,-5.3145,-4.962,-5.677,,,,,
roa,-9.3804,-8.2818,-6.7595,-5.0418,-4.7087,-5.3911,,,,,
roi,-9.9223,-8.6719,-7.0565,-5.3145,-4.962,-5.677,,,,,
book-value-per-share,4.5187,4.9445,5.3429,5.692,5.9727,6.2456,,,,,
operating-cash-flow-per-share,-1.187,-0.7556,-0.3518,-2.0255,-0.8082,-5.2422,-4.9749,,-10.3392,-7.5835,
free-cash-flow-per-share,-1.2178,-0.783,-0.3536,-2.1337,-0.8606,-5.6849,-5.2325,,-10.8583,-7.5835,
