,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.1693,1.1349,1.1212,1.7286,1.9106,1.4042,1.4083,1.321,1.3759,1.3942,1.242,1.3745,1.6181,1.5447,1.5958,1.5279,1.5135,1.4998,1.4075,1.2245,1.5988,1.7738,1.9662,1.4697,1.6347,1.5032,1.6232,1.5542,2.0169,1.862,1.923,1.5954,1.773,1.7343,2.0066,2.1424,2.3263,1.9711,2.1657,1.9011,1.9464,1.5646,1.3945,0.9499,1.9887,2.4106,3.0003,2.2653,2.5675,2.1036,2.2267,1.9063,2.5165,2.2794,2.289,1.8886,2.3464,1.695,2.0918
long-term-debt-capital,0.8034,0.8327,0.8463,0.4574,0.4521,0.4411,0.3917,0.46,0.3989,0.4105,0.3513,0.3728,0.358,0.3721,0.3322,0.3533,0.3462,0.352,0.3316,0.2574,0.2304,0.2276,0.2226,0.1923,0.2015,0.2197,0.2286,0.272,0.2555,0.2777,0.2671,0.2876,0.2658,0.267,0.2692,0.3529,0.3601,0.4014,0.389,0.4106,0.406,0.4386,0.4707,0.4065,0.2335,0.2357,0.2377,0.2538,0.2593,0.2835,0.2862,0.2414,0.2586,0.3186,0.3243,0.3481,0.3406,0.3021,0.2731
debt-equity-ratio,4.5376,5.701,6.4223,0.944,0.8958,1.0515,0.8019,1.1696,0.9,0.8689,0.7265,0.7319,0.5987,0.6367,0.5407,0.5468,0.5301,0.544,0.55,0.5213,0.317,0.2952,0.2869,0.2955,0.3127,0.3488,0.3651,0.3744,0.3438,0.3851,0.3652,0.5162,0.4702,0.4713,0.4788,0.558,0.5753,0.6731,0.6386,0.6994,0.7463,0.9022,1.0969,1.5528,0.3356,0.3131,0.3166,0.3708,0.3842,0.4358,0.4646,0.3382,0.3744,0.5295,0.5429,0.6021,0.5719,0.4554,0.3958
gross-margin,78.5451,80.0433,77.6383,66.9172,78.2755,77.8997,76.5381,73.3001,71.9636,73.0148,74.2192,73.5926,73.0165,72.8945,72.8063,74.1573,75.061,75.5278,74.3213,75.5316,74.0135,75.8955,73.8912,76.131,79.2451,80.3498,79.3235,79.0462,77.8884,79.5258,78.6166,78.1414,78.2349,80.3608,79.79,80.0841,82.5352,82.189,79.537,75.8805,81.0877,82.1002,83.8241,82.5283,77.8251,76.6834,76.8845,75.474,77.0079,78.4302,78.1714,75.997,77.7335,77.7445,78.289,76.8452,76.5155,76.244,75.4389
operating-margin,26.1239,26.5812,12.6684,12.4897,25.3067,-0.0877,26.1131,2.7952,9.5741,20.6051,-0.3271,11.7802,18.1732,17.083,14.713,6.0923,19.3822,17.5829,11.3075,6.0278,12.2713,17.9634,18.4963,15.134,26.7592,25.347,25.7694,16.9739,20.934,21.4652,24.6573,16.4109,25.7958,25.411,23.3148,21.5936,30.9914,31.0018,30.2525,9.2717,30.3164,30.1693,34.7553,-61.0291,27.3366,24.5204,24.5798,21.5508,26.3779,19.9719,19.027,24.9099,27.168,25.695,27.5796,25.2997,25.9226,24.2086,24.1837
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,25.6692,26.0064,14.3573,12.0368,25.2709,0.7466,27.5132,4.6115,10.456,21.6421,1.1706,15.4848,18.6972,17.4752,11.6503,8.2707,21.1263,13.6522,13.3033,10.0287,13.4445,19.0534,19.0216,15.6642,26.217,25.5477,34.8286,16.9957,34.4405,21.1706,23.8361,17.2295,24.4392,24.4898,21.8164,22.7833,29.5554,30.2068,31.133,19.1635,19.2287,27.7301,33.3545,-64.1265,-4.4688,23.4215,21.9715,20.2771,25.6911,20.0108,17.0228,5.0644,28.6173,26.9079,28.4464,23.0646,28.283,-3.8198,27.0029
net-profit-margin,22.8956,23.5457,83.296,12.931,21.6605,-4.6535,24.5256,-26.8947,9.8197,17.3068,-2.1192,13.3982,14.9855,13.834,9.0461,8.8995,16.124,12.0674,11.4001,8.367,10.2675,14.8614,15.5431,12.5241,20.8416,20.3417,27.633,13.8869,24.3713,16.4908,18.0489,14.1931,20.1093,19.1482,18.083,18.9042,23.0406,23.4644,22.7527,15.4258,16.9328,21.8882,26.0174,-69.7371,-8.9375,18.616,22.1379,16.4637,20.1949,14.3295,12.0371,3.1164,22.6081,21.2573,22.4729,18.0609,22.0599,-6.8708,21.0614
asset-turnover,0.1445,0.1458,0.134,0.1981,0.1189,0.1318,0.1119,0.137,0.1315,0.1422,0.139,0.1484,0.1381,0.1482,0.1402,0.1511,0.1366,0.1382,0.1303,0.1411,0.1407,0.1409,0.1347,0.1648,0.17,0.1785,0.1734,0.1732,0.1586,0.1761,0.1738,0.1796,0.1861,0.1908,0.1842,0.1996,0.1891,0.2074,0.2017,0.2161,0.205,0.1965,0.1898,0.1782,0.188,0.1856,0.1766,0.1931,0.1837,0.1925,0.1781,0.1934,0.1616,0.1582,0.1538,0.1578,0.1452,0.1566,0.1505
inventory-turnover,0.3789,0.3536,0.3727,0.929,0.28,0.297,0.2515,0.369,0.36,0.3616,0.334,0.4271,0.3609,0.3896,0.3537,0.4032,0.3619,0.3705,0.4002,0.4573,0.4454,0.3729,0.4118,0.4734,0.4028,0.4275,0.4495,0.4722,0.4714,0.4941,0.4941,0.5747,0.5324,0.4278,0.4265,0.4894,0.3686,0.4709,0.4543,0.5022,0.3363,0.3158,0.3203,0.3647,0.5471,0.4716,0.4283,0.5043,0.4222,0.4287,0.405,0.4488,0.3911,0.41,0.4096,0.4783,0.4337,0.4381,0.3908
receiveable-turnover,0.9889,1.0084,0.9834,1.506,0.9388,1.0011,0.9418,1.1707,1.1283,1.1752,1.1332,1.2086,1.1483,1.2029,1.1618,1.3203,1.2193,1.2153,1.2141,1.3473,1.3414,1.3147,1.2501,1.444,1.4448,1.4071,1.3904,1.5321,1.4341,1.4849,1.425,1.4268,1.5004,1.4062,1.3959,1.4879,1.4594,1.5737,1.4707,1.5487,1.5969,1.5895,1.5972,1.588,1.5985,1.4812,1.4265,1.4008,1.5608,1.6456,1.5614,1.5756,1.5597,1.5364,1.4912,1.4046,1.4895,1.4912,1.3546
days-sales-in-receivables,91.0074,89.2544,91.5164,59.76,95.8628,89.9049,95.5645,76.874,79.7641,76.5841,79.4237,74.467,78.3801,74.8185,77.4632,68.168,73.8135,74.0543,74.1303,66.8028,67.0921,68.4555,71.9927,62.3282,62.2919,63.9594,64.7303,58.7416,62.7551,60.609,63.1591,63.0786,59.9854,64.0009,64.4744,60.4864,61.6701,57.1903,61.1961,58.1143,56.3576,56.6224,56.3485,56.6746,56.3029,60.7619,63.0895,64.25,57.6618,54.6919,57.6404,57.121,57.7043,58.5772,60.3521,64.0749,60.4215,60.3525,66.4385
