,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.7722,5.9663,4.0874,5.047,2.4081,2.5948,2.5628,3.2099,2.3104,0.8462,1.0369,2.6733,3.4612,3.586,1.3065,1.559,1.2967,3.1645,2.5089,1.545,3.9873,3.3675,3.8,3.3942,4.0134,4.1671,3.9703,5.5942,4.998,5.6069,3.4732,3.1152,3.3433,3.7519,3.9104,3.8025,3.8504,3.4348,3.3066,2.8022,3.5752,3.0687,3.1235,3.5383,4.0454,4.4517,4.2997,3.4942,3.9793,6.9634,6.5596,5.9893,5.7968,6.0343,6.3805,5.9014,4.9117,5.1295,5.471
long-term-debt-capital,1.1468,0.9555,1.1028,1.0289,1.0413,0.969,0.9065,0.963,0.7736,0.6812,0.3696,0.4889,0.4478,0.4247,0.3282,0.299,0.2567,0.3689,0.3598,0.2114,0.2113,0.2095,0.2088,0.2093,0.2118,0.26,0.2718,0.2783,0.286,0.2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,-13.8949,21.4476,-10.727,-35.6069,-25.2117,31.2181,9.6953,26.0576,3.4174,4.4501,1.3266,1.0389,0.8807,0.8014,0.8898,0.7756,0.6218,0.5845,0.562,0.2681,0.2679,0.2651,0.2638,0.2646,0.2688,0.3514,0.3732,0.3857,0.4005,0.4156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,,,,,126.9697,-75.8248,64.7793,-137.7894,45.5135,-14.9986,42.8686,17.7406,44.7406,72.173,62.6347,81.9682,14.016,66.7789,81.3486,90.7348,59.933,53.3737,62.2721,75.2027,62.2485,63.0044,63.5872,67.2531,68.0033,68.548,69.4629,66.7196,67.328,68.3672,68.2799,70.4259,70.1465,69.521,71.8194,69.4395,71.345,70.8635,71.4797,73.1179,74.9348,74.7046,75.9628,75.8344,74.0204,73.2371,73.3221,77.597,75.9282,73.9776,75.4691,78.0175,80.8693,74.182,75.6782
operating-margin,,,,,1479.546,-3153.629,-827.2166,-1862.56,-804.029,-3520.247,-340.1889,-406.6039,-201.4336,-168.5042,-161.5712,22.6176,-185.2533,-102.7671,-13.1599,1.3304,-7.3381,-17.3507,8.3228,-5.8843,13.0668,16.733,-14.5352,22.8296,11.0296,14.4375,9.4645,15.1296,7.7923,11.5435,13.2401,13.202,20.5319,15.057,10.1099,-24.5199,0.6671,5.8824,-7.1671,-2.6227,-23.7195,7.1739,7.9595,-1.1508,-45.3538,-2.2039,3.3775,8.935,15.2048,15.7078,-38.794,-20.0113,-23.3227,0.7594,3.5615
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,2051.545,-4009.958,-1335.118,-1935.823,-938.6629,-3619.05,-406.3441,-475.6038,-229.272,332.1938,-179.5273,3.8685,-191.6355,-87.6112,7.5793,25.2344,-13.0405,-15.5637,9.6426,-5.0728,13.6641,17.2937,-14.3593,23.0246,11.2848,16.2157,9.5135,15.3867,8.2709,11.5945,30.0008,12.9329,20.9886,14.9507,9.8053,-29.2945,0.8199,6.587,-5.9879,-2.6451,-22.5053,9.2551,10.9572,2.5658,-41.0703,2.6171,7.2531,12.9312,18.6371,18.2527,-34.8941,-15.9196,-19.7358,3.1429,5.5572
net-profit-margin,,,,,1685.879,-3251.17,375.0997,-2074.02,-383.5155,-3657.748,-587.8615,-704.8712,-229.4157,333.3431,-183.7713,-390.9651,-183.7779,-62.5237,4.5716,-4.2137,-9.7076,-2.8062,-2.8189,0.984,4.4715,10.4695,-7.4304,12.9557,6.7734,10.1362,5.9798,14.8089,60.1244,9.5659,21.6173,48.9409,20.0533,14.0065,9.2391,-72.0116,-3.2362,3.6583,-3.3744,-4.4699,-14.9978,4.6765,6.11,2.0817,-38.0168,1.4486,4.5749,89.887,17.9121,18.3824,-34.9691,-15.9079,-19.5238,2.9369,5.3651
asset-turnover,,,,,-0.0045,0.0021,0.009,0.0098,0.0078,0.0094,0.011,0.0102,0.0212,0.0295,0.0315,0.0294,0.0276,0.0361,0.048,0.067,0.0942,0.0995,0.1018,0.0699,0.1128,0.1503,0.141,0.1641,0.1435,0.1511,0.1865,0.1909,0.1897,0.222,0.2194,0.2524,0.2489,0.2732,0.2706,0.2723,0.2413,0.2467,0.2451,0.2423,0.24,0.2357,0.2227,0.2,0.1817,0.1691,0.2016,0.1895,0.2439,0.2688,0.1783,0.1539,0.1426,0.1878,0.1976
inventory-turnover,,,,0.8067,1.0277,0.7945,0.5754,3.6766,0.0638,0.1749,0.1391,0.5033,0.2941,0.2055,0.2746,0.1472,0.4305,0.1937,0.1612,0.1482,0.9189,0.9928,0.7775,0.3466,0.7191,0.737,0.673,0.684,0.7021,0.9042,0.7737,0.9748,1.2969,1.2973,1.099,1.3966,1.0656,1.181,1.1555,1.2072,1.4562,1.1867,1.1681,0.8939,0.8663,0.742,0.577,0.4926,0.5549,0.4514,0.4725,0.3248,0.4071,0.3835,0.187,0.1471,0.1432,0.2733,0.3124
