,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.34,1.3877,1.3693,1.424,1.3929,1.4566,1.4561,1.4597,1.5123,1.5519,1.6267,1.5264,1.5239,1.523,1.5909,1.4248,1.4633,1.5748,1.2778,1.2512,1.3411,1.3842,1.7481,1.62,1.575,1.7197,1.7331,1.5378,1.5099,1.6462,1.7235,1.6707,1.7061,1.9402,2.1304,2.1116,1.2982,1.306,1.3023,1.3061,1.528,1.6718,1.8076,1.579,1.5501,1.601,1.6603,1.5258,1.5245,1.6697,1.737,1.7425,1.8946,2.1052,2.2661,2.2652,1.6336,1.7163,1.6461
long-term-debt-capital,0.7195,0.6834,0.6423,0.6254,0.6504,0.6571,0.6358,0.6369,0.6719,0.6723,0.6822,0.668,0.6227,0.5849,0.5565,0.4977,0.5065,0.4805,0.3805,0.3182,0.3007,0.2756,0.3274,0.2975,0.3123,0.3536,0.3452,0.2956,0.322,0.3578,0.3554,0.379,0.4019,0.4257,0.4621,0.4649,0.2455,0.2217,0.2226,0.2226,0.3286,0.4026,0.4732,0.4674,0.4926,0.4606,0.4577,0.3985,0.4022,0.3658,0.3554,0.354,0.3659,0.3952,0.4011,0.4024,0.254,0.282,0.2371
debt-equity-ratio,2.6759,2.2611,1.891,1.7535,1.965,2.0143,1.7719,1.7904,2.0843,2.0986,2.1909,2.0555,1.6939,1.4518,1.287,1.0158,1.0621,0.9606,0.7864,0.6281,0.5713,0.5141,0.5044,0.4417,0.4729,0.5692,0.5497,0.4699,0.5207,0.592,0.587,0.6465,0.7099,0.7562,0.8878,0.8829,0.4437,0.4114,0.4167,0.4128,0.5057,0.684,0.9169,0.9023,1.0178,0.8806,0.8793,0.6824,0.6963,0.6025,0.5718,0.5638,0.5893,0.6664,0.6829,0.6831,0.3472,0.4038,0.3255
gross-margin,57.71,57.3636,57.1518,58.3877,57.0533,57.1506,56.7375,58.5806,57.3806,57.4633,57.7545,59.2864,56.793,57.1402,55.5719,58.0144,56.1991,55.4777,55.7783,56.5481,54.6099,53.9024,53.1475,54.8567,53.8415,53.3703,53.2384,54.2815,53.2634,52.4315,51.7561,53.39,52.3057,52.7887,52.4308,53.409,52.2334,52.6359,52.3042,52.7648,51.6913,50.6168,50.2359,51.8432,48.8473,50.2344,50.3815,50.7845,49.4824,49.9584,49.3803,50.5325,48.8417,49.4492,49.2085,50.6005,48.9853,48.9438,48.2842
operating-margin,24.3924,22.6173,19.9601,27.8443,23.1489,21.789,19.3412,26.3798,21.6118,20.9831,19.5921,25.4371,21.9165,19.7969,17.3418,25.8631,20.9392,19.0146,16.759,24.1831,18.9957,17.3553,15.2299,23.0964,18.4905,17.3842,15.3162,22.4895,17.9802,16.7811,14.1194,19.5277,15.5914,16.0772,14.0659,20.4276,16.7464,16.2956,13.6964,20.3601,16.059,14.4455,13.2683,19.2705,14.4937,14.0695,12.7327,17.3454,14.4521,14.1275,11.8067,16.1228,13.3455,13.2201,10.2308,16.0339,13.1621,13.1248,9.7485
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,22.4654,21.2228,18.4967,28.1755,21.8227,19.8896,17.7717,24.9219,19.981,19.4058,19.1481,25.5438,20.4925,16.9611,16.0121,23.9766,19.3532,17.5321,15.4868,22.8534,17.7771,15.9975,13.8723,21.1771,16.5283,15.7035,13.185,20.6852,16.5249,14.3308,12.9451,18.1233,14.4828,14.4963,12.6869,18.5725,15.6793,14.8087,12.2822,18.5334,13.0632,9.3233,9.3651,16.7144,13.0616,12.8034,11.0187,16.2495,13.193,13.0549,10.7498,15.415,12.5985,12.7594,9.7865,15.3477,12.134,6.2495,8.8053
net-profit-margin,17.1642,17.3866,16.4552,22.152,17.2353,15.4389,14.1194,9.8937,15.0186,15.5403,15.5518,19.4133,15.5752,13.084,12.1692,18.314,14.7083,13.3246,11.7698,17.3741,13.5107,12.158,10.5428,16.0997,12.5617,11.9344,10.0207,15.9188,12.4765,10.8199,9.7734,14.5416,11.3449,10.727,9.3886,13.6398,12.6641,10.9587,9.0887,13.5705,9.5363,6.8061,9.0566,12.3456,10.3564,9.4745,8.7205,11.8749,9.8897,9.53,7.8476,11.253,11.8394,8.9314,6.8509,10.7459,7.0104,4.9672,6.1635
asset-turnover,0.286,0.2749,0.2577,0.3123,0.2873,0.2822,0.2631,0.3051,0.2798,0.2908,0.2698,0.3275,0.2929,0.295,0.2652,0.3438,0.2942,0.2776,0.2711,0.3471,0.2985,0.284,0.2579,0.3178,0.276,0.2712,0.2532,0.325,0.2807,0.2774,0.2533,0.2942,0.2619,0.2397,0.217,0.2596,0.257,0.2684,0.2429,0.2977,0.2592,0.2458,0.2307,0.3063,0.292,0.2949,0.2525,0.3175,0.2841,0.2773,0.2528,0.2913,0.2543,0.2407,0.2166,0.2463,0.2567,0.2568,0.2323
inventory-turnover,1.1346,1.089,1.0321,1.2661,1.1382,1.1456,1.0272,1.2618,1.1301,1.0958,1.0363,1.3013,1.1713,1.1141,1.0547,1.3191,1.1733,1.1607,1.0834,1.4817,1.2996,1.2504,1.1495,1.468,1.2461,1.3274,1.2286,1.5105,1.2583,1.2488,1.0845,1.2518,1.0804,0.9879,0.9598,1.2721,1.0875,1.1985,1.1224,1.4383,1.2773,1.2747,1.1766,1.4386,1.3405,1.2548,1.0897,1.5095,1.3053,1.3217,1.2223,1.5412,1.2647,1.2098,1.1237,1.3525,1.2234,1.2644,1.1147
receiveable-turnover,1.498,1.4665,1.3887,1.5273,1.4849,1.485,1.3656,1.4718,1.4463,1.4587,1.3531,1.5598,1.5692,1.491,1.3934,1.6371,1.547,1.4464,1.4009,1.6009,1.531,1.4242,1.2951,1.4661,1.4693,1.3843,1.2769,1.5028,1.423,1.4356,1.3759,1.525,1.5088,1.4685,1.3643,1.6067,1.4768,1.5111,1.37,1.6348,1.5288,1.4231,1.2949,1.462,1.4952,1.4805,1.2802,1.5027,1.4758,1.4315,1.334,1.5064,1.4677,1.4653,1.3867,1.5124,1.4583,1.4527,1.2992
days-sales-in-receivables,60.08,61.3716,64.81,58.9267,60.6111,60.6074,65.907,61.1484,62.2282,61.6973,66.5142,57.699,57.3544,60.3622,64.5883,54.9753,58.1782,62.2213,64.2423,56.2185,58.784,63.1938,69.4933,61.3859,61.2549,65.0149,70.4837,59.8898,63.2462,62.6907,65.4102,59.0154,59.6496,61.2881,65.9668,56.0159,60.9447,59.5592,65.6926,55.0534,58.8703,63.24,69.505,61.5579,60.1915,60.792,70.2989,59.8935,60.9841,62.8706,67.4647,59.7458,61.3214,61.4218,64.9021,59.5077,61.7165,61.9536,69.273
roe,29.522,25.2259,19.903,30.7062,23.8242,20.9355,16.6392,33.2418,,21.9909,21.0221,31.6768,20.2455,16.1777,12.0873,21.2507,15.1549,11.8543,9.4653,16.8389,10.012,8.1548,6.2853,11.7814,8.7686,8.5146,6.5662,12.6488,9.0427,7.9621,6.4844,12.0698,8.3226,7.1789,5.9352,10.4787,8.2167,7.1594,5.3199,9.7643,6.378,4.6899,6.5074,12.5036,10.326,8.9027,6.8477,10.8852,8.1971,7.0035,5.0693,8.2459,7.5088,5.5016,3.7361,6.7059,3.8944,2.7937,2.9701
return-on-tangible-equity,-42.8043,-52.6146,-59.5518,-111.8258,-55.7572,-49.8001,-44.6935,-82.9666,,-54.6211,-45.2652,-66.0828,-67.2212,-120.0097,-315.134,651.93,375.6556,75.9522,53.4566,74.4638,29.4933,22.0502,16.4105,30.1986,26.4006,27.6868,21.9827,40.6651,31.5489,29.3472,22.2819,44.476,28.0245,21.7191,20.2213,34.7731,30.9076,30.0105,23.5082,42.1081,33.135,41.9912,622.7685,-360.102,-217.2305,1153.51,339.5026,156.2359,-788.6864,83.2003,47.8964,54.6194,51.2944,35.286,22.4228,33.7878,20.0408,14.6085,14.4761
roa,4.909,4.7789,4.2403,6.9185,4.9519,4.3573,3.7145,7.1349,,4.5188,4.1958,6.3586,4.5625,3.8602,3.2268,6.2956,4.3272,3.6986,3.1914,6.0311,4.0331,3.4535,2.7188,5.1171,3.4667,3.2371,2.5376,5.174,3.5016,3.0017,2.4759,4.2788,2.9709,2.5707,2.037,3.5414,3.2544,2.9412,2.2075,4.0399,2.4719,1.673,2.089,3.7814,3.0236,2.7938,2.202,3.7703,2.8101,2.6428,1.9836,3.2777,3.0104,2.1499,1.484,2.6466,1.7998,1.2758,1.432
roi,8.2809,7.9876,7.1203,11.5033,8.3296,7.1783,6.0608,12.0685,,7.2058,6.6808,10.5173,7.6388,6.715,5.3602,10.6742,7.4794,6.1583,5.8635,11.4813,7.0016,5.9072,4.2275,8.2766,6.0304,5.5037,4.2994,8.9099,6.1312,5.1134,4.18,7.4955,4.9779,4.1231,3.1924,5.6074,6.1994,5.5725,4.1355,7.5911,4.2822,2.8018,3.4281,6.6598,5.2398,4.8024,3.7133,6.5477,4.9001,4.4419,3.2678,5.3268,4.7617,3.3275,2.2375,4.0073,2.9052,2.0058,2.266
book-value-per-share,17.9971,20.4838,22.6485,23.6764,21.2264,21.1166,22.0827,21.4275,20.0547,17.9959,17.034,16.7157,19.0775,18.5716,20.3047,21.427,21.4333,23.62,23.8175,25.4787,29.7383,31.4218,31.6086,31.7107,28.5536,27.0864,26.5097,27.2022,26.049,24.9782,25.6606,24.7274,25.9438,26.2955,24.5458,23.796,23.0173,21.4683,21.1567,21.0079,19.2997,17.542,15.463,14.9798,15.2317,16.0533,16.094,16.3109,14.8089,15.758,15.8919,16.4159,15.9431,15.7046,15.5702,15.9164,15.8288,15.61,16.3098
operating-cash-flow-per-share,16.1472,8.9922,3.9032,21.9156,14.2675,8.3798,2.9339,19.5622,13.3529,7.7677,2.5427,17.05,11.429,5.9823,1.5136,15.557,10.3093,5.7549,2.0372,14.1663,9.461,5.0747,1.424,11.2578,7.7637,3.7158,0.7611,10.2974,6.835,3.4973,0.6421,8.5532,5.4391,2.8337,0.196,7.8582,6.0326,3.4672,1.2884,6.7833,5.4767,3.1847,1.0257,6.3668,4.6252,2.3791,0.2265,6.0,4.4973,2.4183,0.8297,4.6969,3.4535,1.752,0.458,4.0905,2.7414,1.3186,0.1507
free-cash-flow-per-share,13.3184,7.261,3.0209,16.6971,10.8078,6.174,1.9657,15.188,10.4869,6.3183,2.1285,12.4787,9.537,4.9271,0.9953,12.6721,8.3005,4.4972,1.3941,11.1681,7.3876,3.8369,0.8747,8.5847,5.9066,2.5273,0.1508,7.3071,4.8112,2.1527,0.0727,5.6294,3.5378,1.6762,-0.33,5.7026,4.9038,2.8944,0.9866,5.093,4.4693,2.5383,0.7144,5.0058,3.9262,2.165,0.3681,4.9123,3.9274,2.0238,0.6332,3.9577,3.0439,1.5531,0.3535,3.3726,2.2711,1.0578,0.0397
