,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.8553,2.9593,3.1488,2.9726,3.1657,3.2055,3.5154,2.0527,2.3391,1.3871,1.571,4.1256,1.1746,4.3499,5.6339,5.698,5.2085,4.1281,4.2044,5.3493,4.9519,4.0,4.6866,6.7442,5.8038,7.5027,8.3494,10.0539,7.5865,9.3956,11.2995,12.3391,13.3729,12.1634,17.7822,19.1829,15.9014,17.2568,20.2827,17.65,19.547,11.3811,12.5079,7.0032,6.7465,5.1203,6.7164,6.5779,7.3651,7.179,14.5787,8.8535,10.3632,9.406,11.764,11.1016,5.6992,5.8216,6.0929
long-term-debt-capital,0.2111,0.1766,0.1958,0.2044,0.1897,0.0095,0.0681,0.0451,0.0785,0.1143,0.1826,0.2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.2798,0.2144,0.2435,0.2568,0.2341,0.0096,0.0731,0.0473,0.0852,0.129,0.2234,0.2784,0.2709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,73.3226,76.5088,77.5623,75.9686,75.4325,76.4312,75.9148,76.3704,75.9508,73.0672,77.5013,77.4046,77.4648,76.9053,78.8976,78.9964,80.109,79.8315,79.8333,79.4469,79.3247,83.5872,85.4535,87.1945,87.4147,87.2783,87.0047,86.6676,87.0149,87.25,86.7249,86.8766,86.998,88.3402,89.1252,88.0068,88.013,88.011,88.0216,88.053,87.0045,87.0061,87.0197,86.8258,86.0073,83.8594,86.6219,86.4474,84.803,77.3999,81.506,79.7253,75.837,74.8205,74.823,77.0509,76.8934,78.33,73.4633
operating-margin,-11.2185,-2.5998,2.7239,2.8137,0.5932,9.18,7.5369,3.3528,46.9799,8.6185,3.9106,8.6514,3.2113,12.8753,22.3622,23.3833,23.5967,19.1153,19.8333,19.6855,15.3436,28.1909,30.224,40.6738,40.9469,37.8488,37.0149,37.271,36.4082,35.562,35.5194,37.0203,37.5475,38.8942,40.8541,38.417,38.7457,40.0477,36.5793,37.2133,34.9052,40.0748,40.7484,39.6858,33.4296,160.0139,-12.6544,-15.396,-23.9962,201.4864,-22.1918,-30.6153,-44.7187,-43.6583,-40.102,-35.1262,-40.0295,-33.4994,-53.6546
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-11.9699,-3.5748,1.5235,1.6605,0.3955,9.2831,7.2638,2.9803,46.5324,7.6679,4.063,6.1578,2.2535,14.0878,22.6247,23.2799,23.7057,18.7467,19.7222,20.5532,15.3436,27.8073,31.348,41.2349,41.4028,38.6171,37.8605,38.2091,37.3375,36.4539,36.5866,38.0935,37.849,39.2014,41.3308,38.8829,39.3847,41.1006,37.961,39.1719,36.9,42.6376,44.1148,43.7798,35.472,165.2776,-7.4978,-8.9299,-16.5727,214.7813,-14.4911,-23.6866,-37.042,-35.671,-32.1078,-29.0962,-36.8002,-38.1361,-50.0276
net-profit-margin,-11.0574,-1.9499,3.1856,1.1993,-0.346,7.4781,4.97,16.4449,44.0716,5.3866,2.1331,3.0025,-0.6761,8.8337,18.1102,19.193,16.5123,9.8999,11.8889,13.0152,9.4787,17.8041,20.1012,24.679,27.3946,25.3435,24.2165,23.492,22.5844,21.9163,22.8199,23.0403,22.7239,24.244,27.2921,24.085,24.5357,56.6934,36.608,38.1155,35.7628,27.4631,29.2589,25.2561,20.6589,116.8682,-7.4978,-8.9299,-16.5727,-23.2006,-14.4911,-23.6866,-37.042,-35.671,-32.1078,-29.0962,-36.8002,-38.1361,-50.0276
asset-turnover,0.1171,0.1378,0.1391,0.1393,0.1286,0.165,0.1503,0.153,0.1456,0.1305,0.1553,0.154,0.1397,0.1967,0.2194,0.2218,0.2332,0.2478,0.2311,0.2358,0.2087,0.2291,0.2241,0.2697,0.259,0.2167,0.2146,0.2078,0.1898,0.1925,0.1856,0.1857,0.1782,0.1758,0.1837,0.1692,0.1504,0.1582,0.1541,0.1718,0.1723,0.1846,0.1395,0.1464,0.1317,0.1123,0.158,0.1476,0.1293,0.0896,0.1131,0.1416,0.1276,0.1158,0.1071,0.0958,0.1674,0.1642,0.1243
inventory-turnover,1.7687,1.6115,1.5235,1.5646,1.3844,1.3324,1.3204,1.1623,1.1054,1.0071,0.9346,0.8655,0.7421,1.0444,1.5889,1.3952,1.0641,1.5259,1.2364,1.8787,1.4087,1.2962,1.4074,,,4.4248,2.8495,1.8997,1.6343,1.4647,1.6593,1.5657,1.4801,1.524,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.5296,1.5541,1.4735,1.7698,1.6394,1.8771,1.4417,1.4784,1.4888,1.6455,1.6518,1.7623,1.7267,1.8232,2.0266,2.1622,2.1588,2.1653,1.891,2.1305,1.9411,2.218,2.1294,2.3295,2.2999,1.7958,1.6409,1.9482,2.0697,2.1072,2.4743,2.7867,2.429,2.1125,2.1453,2.4862,2.0775,1.9514,1.8513,1.8738,1.8996,1.9293,1.6744,1.9904,1.293,1.2344,1.4804,1.3817,1.339,1.0365,1.4849,1.3792,1.403,1.4415,1.3808,1.367,1.2732,1.4197,1.1545
days-sales-in-receivables,58.8406,57.9109,61.0803,50.8533,54.8987,47.9474,62.4249,60.8781,60.453,54.6958,54.4845,51.0687,52.1239,49.3649,44.4095,41.6244,41.6894,41.564,47.5935,42.2439,46.3655,40.5777,42.2654,38.6357,39.1317,50.1175,54.8489,46.1961,43.4855,42.7112,36.3732,32.2967,37.0529,42.6045,41.9521,36.1998,43.3216,46.1211,48.6147,48.0308,47.3789,46.6494,53.7498,45.2166,69.6074,72.909,60.7946,65.1391,67.2156,86.8267,60.61,65.2576,64.1481,62.4346,65.179,65.8386,70.6877,63.3925,77.9525
roe,-1.9172,-0.3949,0.6379,0.2443,-0.0726,1.5009,0.949,3.38,9.0397,1.0807,0.5616,0.8052,-0.1632,2.0452,4.4794,4.8132,4.4098,2.8394,3.1993,3.457,2.2467,4.6739,5.0911,7.45,8.0352,6.0577,5.6987,5.2915,4.7416,4.5844,4.5408,4.5878,4.3349,4.5945,5.3274,4.3113,3.9463,9.5504,5.8608,6.835,6.4341,8.4524,6.5534,7.0715,5.1423,21.6333,-1.3108,-1.4499,-2.3406,21.2262,-1.7504,-3.7295,-5.1799,-4.5736,-3.7285,-3.0392,-7.238,-7.3353,-6.9327
return-on-tangible-equity,219.1483,33.0768,-20.4748,-3.898,1.766,7.5403,5.5935,25.8361,116.0766,-20.9596,-6.4417,-6.6218,1.2158,4.7034,8.4331,9.1043,9.4569,6.4317,7.4311,7.3567,4.692,9.7547,10.5904,8.3064,8.9411,6.7034,6.3732,5.9227,5.3502,5.1752,5.1117,5.2048,4.9632,5.2712,5.3274,4.3113,3.9463,9.5856,5.8608,6.835,6.4341,8.4524,6.5534,7.0715,5.1423,21.6333,-1.3108,-1.4499,-2.3406,21.2262,-1.7504,-3.7295,-5.1799,-4.5736,-3.7285,-3.0392,-7.238,-7.3353,-6.9327
roa,-1.2946,-0.2752,0.4431,0.167,-0.0508,1.2337,0.7386,2.5153,6.4072,0.6866,0.3313,0.4623,-0.0944,1.7376,3.9737,4.2561,3.8501,2.4537,2.7469,3.0696,1.9777,4.0793,4.5038,6.6554,7.0958,5.4908,5.1976,4.8814,4.2864,4.2195,4.2352,4.2791,4.05,4.2632,5.0136,4.0752,3.6897,8.9671,5.6399,6.5475,6.1607,7.8694,6.1678,6.408,4.6178,18.4409,-1.1845,-1.3183,-2.1424,19.2379,-1.6394,-3.3531,-4.7276,-4.1301,-3.4392,-2.7879,-6.1599,-6.2608,-6.2187
roi,-1.5124,-0.3252,0.513,0.1944,-0.0588,1.4866,0.8843,3.2275,8.3298,0.9572,0.459,0.6299,-0.1632,2.0452,4.4794,4.8132,4.4098,2.8395,3.1993,3.457,2.2467,4.6739,5.0911,7.45,8.0352,6.0577,5.6987,5.2915,4.7416,4.5844,4.5408,4.5878,4.3349,4.5945,5.3274,4.3113,3.9463,9.5504,5.8608,6.835,6.4341,8.4524,6.5534,7.0715,5.1423,21.6333,-1.3108,-1.4499,-2.3406,21.2262,-1.7504,-3.7295,-5.1799,-4.5736,-3.7285,-3.0392,-7.238,-7.3353,-6.9327
