,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
current-ratio,2.3464,2.5367,1.847,2.1102,2.4422,1.6852,1.7965,1.7111,1.849,1.2527,1.5069,1.8059,2.2117,2.4838,2.9544,3.1156,7.0313,2.2285,,,,,
long-term-debt-capital,0.5449,0.5248,0.9543,0.6952,0.5644,1.4306,1.056,0.7419,0.708,,,,,,,,0.0936,0.3726,,,,,
debt-equity-ratio,1.7893,1.6429,30.9384,3.8402,2.1817,-5.5971,-31.8016,4.8462,4.0849,0.9826,0.6761,0.4661,0.3526,0.3011,0.2324,0.2278,0.1033,0.6486,,,,,
gross-margin,43.6779,41.0598,35.1984,36.1024,36.1535,34.9998,34.8861,29.4429,38.0934,33.9001,31.7565,15.0591,36.423,40.4182,47.7561,39.8737,32.201,42.9281,47.6273,,55.0071,46.9416,
operating-margin,-27.0752,-38.5125,-47.5069,-44.3919,-41.6146,-43.1559,-48.9525,-89.5889,-46.1259,-54.2643,-69.9648,-94.4968,-49.4628,-43.3114,-15.5165,-32.7865,-46.1722,-34.3159,-13.2328,,10.3276,-3.3625,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-29.641,-41.0477,-50.9054,-47.5696,-45.1869,-53.451,-52.565,-90.367,-49.5493,-55.4712,-67.7028,-94.8432,-48.0877,-44.5445,-14.0302,-43.3928,-39.2467,-43.6512,-21.0899,,8.0477,-1.4343,
net-profit-margin,-29.6975,-43.5963,-51.0161,-47.5487,-45.3677,-53.6302,-52.7318,-90.7147,-49.839,-55.5936,-67.798,-94.9304,-48.2789,-44.5445,-14.0302,-43.3928,-39.2467,-43.6512,-21.0899,,0.3717,-1.4343,
asset-turnover,0.2049,0.194,0.2556,0.2497,0.2354,0.3245,0.2851,0.2425,0.274,0.33,0.2805,0.2123,0.2223,0.199,0.2329,0.1995,0.1712,0.4224,,,,,
inventory-turnover,3.5065,2.8764,3.1498,3.1386,3.404,3.3264,3.4079,4.0815,3.7671,4.6962,4.0983,5.9245,3.7043,3.4829,4.8348,3.9311,2.3936,1.7585,,,,,
receiveable-turnover,1.3226,1.1807,1.1083,1.0762,1.0808,1.1064,1.2387,1.1806,7.6151,7.3566,6.6036,3.3396,5.728,8.4239,10.1396,9.0263,7.7184,8.5505,,,,,
days-sales-in-receivables,68.0467,76.2243,81.2039,83.6268,83.2679,81.3423,72.6554,76.2346,11.8186,12.234,13.6289,26.9495,15.7123,10.6839,8.8761,9.9709,11.6605,10.5257,,,,,
roe,-27.3183,-34.823,-683.7325,-99.0018,-52.3519,153.4872,848.1199,-185.7692,-92.3171,-57.0951,-45.4447,-39.886,-18.542,-14.1355,-4.7826,-12.4266,-8.5556,9.9513,,,,,
return-on-tangible-equity,-27.3184,-34.823,-683.7355,-99.002,-52.3519,153.4873,848.1151,-185.7693,-92.3171,-57.0952,-45.4447,-39.886,-18.542,-14.1355,-4.7826,-12.4266,-8.5556,-45.9718,,,,,
roa,-6.0847,-8.4565,-13.0395,-11.8734,-10.6798,-17.4027,-15.0342,-22.001,-13.6556,-18.3469,-19.0201,-20.1581,-10.7338,-8.863,-3.2681,-8.6563,-6.7196,-18.4362,,,,,
roi,-12.4324,-16.5494,-31.2501,-30.1756,-22.807,-66.0961,-47.4618,-47.9448,-26.9524,-57.0952,-45.4447,-39.886,-18.542,-14.1355,-4.7826,-12.4266,-7.7549,-28.8421,,,,,
book-value-per-share,1.1954,1.3292,0.0787,0.518,0.9173,-0.3974,-0.0714,0.4703,0.562,0.9568,1.3951,2.0218,2.6786,3.1636,3.5429,3.6699,4.1253,6.0297,,,,,
operating-cash-flow-per-share,-0.6868,-0.524,-0.5064,-1.2201,-0.9537,-0.6324,0.0193,-1.825,-1.304,-0.7232,-0.4642,-1.4358,-0.8538,-0.3925,0.0093,-1.4437,-0.7374,-2.8868,-0.471,,0.0098,-1.1607,
free-cash-flow-per-share,-0.7231,-0.5475,-0.5216,-1.2872,-0.983,-0.6549,0.0036,-2.009,-1.4752,-0.8752,-0.5836,-1.8844,-1.134,-0.5302,-0.0553,-1.7257,-0.881,-3.9856,-1.1798,,-0.1558,-2.4041,
