,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,3.6809,3.5979,3.7478,3.4448,3.4455,2.8018,2.412,3.4701,2.8541,2.3994,2.4039,2.373,2.2001,2.3596,5.405,7.0554,7.0333,5.1671,5.5534,3.0732,3.7202,3.6883,3.8666,4.5753,4.521,4.4548,4.5747,3.1274,2.675,2.7511,2.19,2.8539,2.8457,7.147,3.8218,3.4115,5.9063,6.3864,6.3214,5.7921,5.398,5.7371,4.3646,6.6388,7.8471,9.0169,9.9656,5.2225,6.1194,6.956,7.3919,8.3713,8.4805,7.012,15.0519,3.8085,4.1889,5.1002,6.1834
long-term-debt-capital,0.4407,0.441,0.4454,0.4193,0.4265,,0.4353,0.4217,0.432,0.4422,0.4488,0.4462,0.4365,0.4397,0.5067,0.3416,0.35,0.353,0.3546,0.3575,0.3608,0.3599,0.3664,0.3639,0.3721,0.3783,0.3819,0.3821,0.3823,0.384,0.3878,0.4437,0.4852,0.5531,0.3403,0.3462,0.3977,0.4104,0.4253,0.4371,0.4613,0.487,0.5467,0.5507,0.5677,0.5477,0.5586,,,,,,,,,,,,0.0002
debt-equity-ratio,0.7945,0.7963,0.8108,0.722,0.7498,0.0474,0.843,0.7292,0.8132,0.9077,0.9037,0.8938,1.0043,0.9535,1.0272,0.5188,0.5385,0.5456,0.5495,0.5564,0.5645,0.5623,0.5784,0.5721,0.5925,0.6086,0.6178,0.7566,0.7587,0.7657,0.7793,0.7975,0.9424,1.2378,0.5159,0.5295,0.6604,0.6962,0.7399,0.7764,0.8564,0.9494,1.2061,1.2258,1.3131,1.2107,1.2655,,,,,,,,,,,,0.0002
gross-margin,73.5149,73.4414,72.8892,70.128,72.6651,72.6329,71.6669,72.2349,73.4844,74.4849,75.3254,75.315,75.2989,74.7068,74.7908,76.2019,75.4825,76.1397,76.264,77.2377,74.8739,76.4859,75.6085,74.1357,74.4077,70.5826,75.489,74.543,74.5631,76.341,75.6525,75.3239,80.4222,80.8162,81.0985,82.1336,82.0558,82.4274,82.1766,83.1655,83.2757,83.9118,83.7529,89.0741,81.7754,83.3307,82.2308,90.5689,82.0233,81.1612,82.8206,83.0884,80.5311,77.614,80.2896,82.5452,78.4324,79.0976,80.2065
operating-margin,10.4919,10.3377,7.3416,8.9676,6.624,10.1444,-6.9944,10.8428,12.3254,11.1627,9.1048,11.1171,8.8304,25.4257,5.687,13.7234,14.0178,12.7461,28.8825,12.0211,8.59,2.4245,-15.4116,7.873,6.8328,0.0344,4.045,2.5019,8.4769,8.4394,4.7768,-6.471,-68.7936,8.6353,3.703,8.7654,7.931,6.9274,2.6896,3.9753,6.4099,4.9977,-4.2996,5.5414,-34.2718,-1.1826,-16.3723,-4.9947,-9.3064,-14.1614,-18.9013,-13.7595,-81.4479,-89.3637,-46.7564,-23.4007,-122.4036,-29.3015,-29.3475
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,5.4271,7.1491,3.8952,5.6644,4.9041,5.8047,-14.3013,7.0393,8.6994,7.1361,5.3282,6.6147,4.3676,21.0326,-6.1854,10.4514,10.7476,9.208,25.6166,8.6358,3.739,-1.2209,-18.9458,4.507,4.8121,-4.1063,-0.1053,-1.0413,4.1802,3.6997,0.7027,-11.1017,-72.7769,7.3688,2.8265,7.3586,6.7054,5.6563,1.4401,2.7119,5.1266,3.2075,-5.5432,4.9621,-34.49,-0.8621,-14.9539,-2.4419,-5.9265,-9.5907,-13.3052,-8.8002,-74.0295,-81.2797,-41.1786,-22.3061,-120.6793,-27.0324,-26.7857
net-profit-margin,3.7857,5.1221,3.4159,4.2164,5.8691,4.0953,-10.4145,8.656,13.5713,4.6905,4.9901,2.3679,1.6382,12.7907,-1.5658,5.3432,6.4626,5.0604,16.4048,3.6579,-0.9636,-2.1439,-10.2966,3.1491,4.4403,-3.9041,0.5335,-1.6567,1.5863,1.854,0.4437,-6.682,-50.8368,4.0461,1.8953,47.8964,7.1028,5.622,0.9974,2.1331,5.3352,3.125,-5.377,4.962,-34.49,-0.8621,-14.9539,-2.4419,-5.9265,-9.5907,-13.3052,-8.8002,-74.0295,-81.2797,-41.1786,-22.3061,-120.6793,-27.0324,-26.7857
asset-turnover,0.1581,0.1618,0.1569,0.1688,0.1619,0.1684,0.1559,0.1654,0.1517,0.1615,0.1586,0.1726,0.1465,0.1471,0.1371,0.1653,0.1577,0.1578,0.1485,0.1523,0.1496,0.152,0.1449,0.1618,0.1484,0.1495,0.1448,0.1424,0.1253,0.1323,0.132,0.1337,0.1192,0.1045,0.1543,0.1612,0.1692,0.1744,0.1637,0.1638,0.1499,0.1477,0.1523,0.153,0.1428,0.1266,0.1145,0.2079,0.1787,0.1696,0.1604,0.1554,0.1296,0.1093,0.0937,0.2633,0.2056,0.1825,0.1664
inventory-turnover,0.2494,0.2611,0.2582,0.3152,0.2733,0.2966,0.2861,0.3047,0.2631,0.2795,0.2754,0.3214,0.2782,0.2959,0.2702,0.3047,0.2982,0.2958,0.2794,0.3008,0.2988,0.2849,0.2931,0.3604,0.3077,0.3548,0.3017,0.3339,0.2839,0.2842,0.3027,0.3106,0.2122,0.2163,0.2057,0.2147,0.2184,0.2257,0.2147,0.1996,0.1848,0.1634,0.1581,0.1184,0.2088,0.1834,0.1991,0.122,0.2364,0.2507,0.2641,0.2767,0.2872,0.3169,0.2779,0.2767,0.2473,0.3413,0.4272
