,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,4.1262,2.6566,3.9178,2.6192,3.4366,4.5174,4.0316,2.7596,3.31,3.5436,4.5745,4.3344,4.6761,5.1294,6.8204,3.7553,12.4674,12.3084,12.1662,5.5152,10.3021,9.5316,9.3965,8.0014,10.871,4.0303,5.5898,4.3176,3.4943,3.7124,3.3723,3.4449,3.8945,3.1591,2.6044,3.2473,3.9683,3.2376,3.6626,5.5442,6.1865,3.1437,0.9929,1.2662,1.5465,4.2429,5.1695,7.8982,9.8481,11.2454,12.5249,14.4862,22.1516,20.9494,25.247,7.7135,2.2736,1.4747,2.2142
long-term-debt-capital,2.4556,2.3801,1.8912,2.1103,1.6593,1.3801,1.4543,1.4709,1.3048,1.2289,1.1012,1.0178,0.8639,0.7414,0.6297,,0.0001,0.0004,0.0006,0.0017,0.0027,0.0031,0.0055,0.0049,0.0086,0.0262,0.0191,0.0122,0.0167,0.0065,0.0073,0.0055,0.0055,0.0053,0.0056,0.0054,0.005,0.0062,0.006,0.0058,0.0064,0.0075,0.0122,0.0104,0.0036,0.3158,0.2801,0.2554,0.2328,0.2134,0.2045,0.1928,0.1851,0.1786,0.1717,0.3741,0.6424,0.657,0.5953
debt-equity-ratio,-1.687,-1.7246,-2.122,-1.9007,-2.5168,-3.6311,-3.2014,-3.1235,-4.2805,-5.3681,-10.8834,-57.0391,6.348,2.8676,1.7015,0.0013,0.0015,0.0018,0.0021,0.0043,0.0061,0.0064,0.0105,0.0093,0.0119,0.036,0.0253,0.015,0.0205,0.0065,0.0075,0.0059,0.0062,0.0064,0.0071,0.0068,0.0063,0.0076,0.0073,0.0069,0.0107,0.0951,0.6015,0.5036,0.393,0.4686,0.4081,0.3607,0.3145,0.2794,0.272,0.2467,0.2293,0.2211,0.2124,0.6121,1.8196,1.9505,1.5093
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,280.696,50.974,38.225,59.5149,164.2359,52.6031,53.7808,55.3352,57.293,33.4258,27.9459,18.4403,44.5851,56.27,58.9803,58.8729,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.5258,146.7593,89.154,89.3843,1.9279,-38.379,5.3722,68.0481,42.7959,12.4406,-105.7173
operating-margin,-597.8061,-1092.225,-1010.121,-759.1317,-541.6936,-389.7986,-450.7718,-458.9416,-498.4195,-616.028,-718.7676,-1001.019,-1959.394,-3053.812,-1784.305,-1348.308,-508.7969,-148.7639,-246.1577,-470.9399,-240.918,-216.14,-192.7767,-162.8986,-318.1799,-365.279,-261.0227,-207.9282,-118.8031,-82.43,-160.8574,-72.8828,-79.2332,-197.3009,-890.8873,-13790.19,-6022.286,-135257.1,-10412.73,-19127.03,-4110.448,-27000.0,-33985.71,-13157.15,-5013.402,-2398.83,-1576.419,-1691.919,-990.2949,3551.389,-1700.434,-1274.098,-477.2842,-838.8558,-386.416,298.9305,-119.8179,-225.7019,-874.948
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-719.7048,-1179.714,-1085.334,-805.1905,-576.212,-412.9955,-480.1824,-488.3116,-534.0876,-660.5021,-772.0775,-1057.77,-2050.573,-3167.704,-1831.484,-1346.651,-507.5862,-147.4779,-246.7349,-469.1551,-240.1632,-216.2974,-185.071,-160.6012,-318.6172,-357.6324,-260.3444,-175.9527,-125.1865,-83.3451,-158.0353,-63.4046,-64.1374,-152.6491,-893.6451,-12941.18,-5918.857,-126528.6,-9402.728,-21522.98,-3746.269,-29448.28,-39757.14,-12910.0,-5324.742,-2430.994,-1550.873,-1627.525,-954.5454,3305.555,-1569.414,-1127.176,-420.285,-764.124,-421.7191,274.287,-146.0632,-246.9115,-923.7006
net-profit-margin,-719.7048,-1179.714,-1085.334,-805.1905,-576.212,-412.9955,-480.1824,-488.3116,-534.0876,-660.5021,-772.0775,-1057.77,-2050.573,-3167.704,-1831.484,-1346.651,-507.5862,-147.4779,-246.7349,-469.1553,-240.1631,-216.2974,-185.071,-160.6355,-318.6172,-357.774,-260.7879,-175.9527,-125.1865,-83.3451,-158.0353,-63.4046,-64.1374,-166.3779,-893.6451,-12325.49,-5841.143,-126528.6,-9402.728,-21522.98,-3746.269,-29448.28,-39757.14,-13631.43,-4042.268,-2740.351,-1693.231,-2327.525,-1101.474,3793.519,-1819.523,-1305.52,-420.285,-764.124,-421.7191,274.287,-146.0632,-246.9115,-923.7006
asset-turnover,0.0152,0.0177,0.018,0.0295,0.0309,0.0377,0.035,0.0344,0.025,0.0189,0.0157,0.0137,0.007,0.0048,0.0071,0.0152,0.0161,0.033,0.0225,0.0244,0.0281,0.0265,0.0341,0.0372,0.0196,0.038,0.0388,0.0446,0.0716,0.0923,0.0676,0.0878,0.0747,0.0433,0.0119,0.0007,0.0022,0.0001,0.0015,0.0009,0.0026,0.0004,0.0003,0.0009,0.0022,0.0042,0.0053,0.0043,0.0082,-0.002,0.004,0.0039,0.0095,0.0064,0.0096,0.0266,0.0308,0.0384,0.0144
inventory-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241,0.2275,0.068,0.4348,1.3,1.5337,1.5808,0.8963,0.6469,1.4479,0.8343
