,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.6868,3.4247,3.5243,2.8477,3.1897,3.7133,4.037,3.1711,2.8812,3.0506,2.9719,2.3295,2.2245,2.3056,2.9488,2.5888,3.1241,3.6238,3.3864,3.296,3.322,3.5223,4.4969,3.7684,4.2681,4.1412,5.2352,4.6015,2.6555,2.7141,2.4186,2.8913,2.6199,2.5981,2.4512,3.7325,3.944,3.7544,3.5999,3.4013,3.1677,3.3931,3.604,3.6622,4.0533,4.2152,3.737,3.8302,3.3365,3.5048,3.7737,3.833,3.7091,4.3871,4.3445,2.6548,3.1403,3.9851,3.6353
long-term-debt-capital,0.0635,0.0566,0.0573,,,,,,,,,,,,,,,,,,,0.0615,0.0624,0.0633,0.059,0.0548,0.0508,0.0531,0.0503,0.1015,0.3534,0.3956,0.3884,0.4031,0.4252,0.4095,0.427,0.4476,0.4651,0.5091,0.5288,0.5452,0.5651,0.5787,0.5788,0.3902,0.3958,0.4044,0.4149,0.4248,0.4319,0.4428,0.4641,0.0001,0.0001,0.0001,0.1054,0.1392,0.1616
debt-equity-ratio,0.0687,0.0608,0.0618,,,,,,,,,,,,,,,,,,,0.0655,0.0665,0.0676,0.0627,0.0579,0.0536,0.0562,0.0537,0.1143,0.6098,0.719,0.6874,0.7253,0.783,0.7312,0.7715,0.8325,0.8901,1.06,1.153,1.2282,1.3188,1.3994,1.4196,0.6655,0.6872,0.7066,0.7361,0.7672,0.775,0.8035,0.883,0.0096,0.0005,0.0414,0.1468,0.1947,0.2264
gross-margin,78.065,77.7195,78.2719,78.8351,78.4975,79.5288,77.7875,79.8436,77.4654,78.7254,78.0208,78.5143,79.8166,78.3656,77.5667,79.5349,76.4066,78.297,78.4553,78.6037,74.9807,74.8339,73.2307,67.7738,72.699,77.5871,74.7348,83.4837,77.3923,75.713,80.3756,81.1196,79.6652,80.1269,76.0277,77.281,76.7713,76.1371,76.4492,74.4822,76.3246,73.1661,74.5639,73.7497,62.8789,73.0481,73.2583,73.2324,74.6186,73.2373,73.6858,74.2036,74.8021,74.982,73.5453,72.6852,73.3644,73.8811,73.1027
operating-margin,-16.6363,0.3893,-4.0765,10.243,3.4975,5.3027,7.2395,15.2786,8.5836,7.3415,5.7613,6.8327,9.4125,-2.5895,7.1697,7.054,4.0919,4.8814,-8.0123,3.9418,6.444,6.6386,-0.029,-9.5187,-15.3596,7.0873,5.9328,21.8512,17.4351,12.6059,16.45,12.8456,20.1175,16.6247,-18.7267,12.129,13.674,14.8483,23.0113,15.2614,13.1394,9.9203,8.1412,7.1351,-223.9093,8.872,9.0532,-6.4377,13.0375,12.663,12.7675,11.772,-36.5332,17.786,14.3745,66.4046,18.2161,21.0372,20.5347
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-23.6496,0.5801,-4.6823,9.5748,-1.1888,1.8118,9.7499,14.2161,9.0245,7.9483,1.5729,3.4154,9.247,-2.5568,8.9887,6.8313,2.2521,5.7997,-7.5455,1.8537,4.7438,6.5109,-0.7689,-9.4725,-17.5599,5.3851,10.0607,20.656,16.0583,12.0725,13.832,10.2961,17.8448,14.4476,-21.2338,10.5851,10.2868,11.7428,18.811,11.1445,7.6959,6.7432,3.3332,-4.8873,-234.5867,6.1974,5.2292,-11.3719,8.788,8.159,7.4159,8.2142,-37.7207,18.493,15.4791,13.5503,70.6788,18.4951,21.0393
net-profit-margin,-35.6814,-0.4722,0.8221,7.3267,-1.0841,0.8292,4.8073,1.3414,3.2837,3.5367,-2.5833,-2.9815,10.047,-7.1525,3.8914,3.2202,-1.3554,3.5382,-9.3347,-5.7816,0.4476,-0.6763,-2.5076,-9.8332,-20.5172,-3.0838,3.3702,18.3104,4.6506,6.3955,8.6353,10.0678,10.5519,8.5352,-25.7256,5.5384,6.1336,7.163,12.6002,6.5694,4.5804,4.3215,2.2322,-0.5419,-183.4874,4.4664,2.8165,-8.1624,6.6281,5.8288,5.3549,6.3725,-42.4827,15.021,10.1657,8.9679,60.7028,11.8242,13.8747
asset-turnover,0.2386,0.237,0.2276,0.2595,0.2481,0.2525,0.2658,0.2884,0.2724,0.2963,0.2896,0.2917,0.2619,0.2853,0.272,0.2614,0.2513,0.2594,0.2321,0.2552,0.2457,0.2327,0.2476,0.257,0.2135,0.2125,0.215,0.2412,0.1909,0.205,0.154,0.1796,0.1788,0.1803,0.2204,0.2381,0.2325,0.2421,0.2354,0.2439,0.2295,0.2406,0.2349,0.2357,0.2234,0.1446,0.1424,0.1455,0.1317,0.1382,0.134,0.1347,0.0945,0.1794,0.1801,0.1694,0.152,0.1874,0.181
inventory-turnover,0.3074,0.3262,0.2996,0.3335,0.3006,0.2794,0.3108,0.2897,0.296,0.3055,0.3407,0.3681,0.3058,0.3671,0.3703,0.372,0.4131,0.37,0.341,0.3585,0.3932,0.3584,0.3788,0.4695,0.2501,0.2305,0.3051,0.2651,0.3017,0.3513,0.2351,0.285,0.2519,0.2366,0.3562,0.3862,0.3775,0.4078,0.3696,0.3884,0.3166,0.3919,0.3568,0.3809,0.493,0.3092,0.3284,0.3671,0.3423,0.3864,0.3942,0.4256,0.3286,0.54,0.6065,0.6673,0.5727,0.6251,0.6471
receiveable-turnover,1.4243,1.4375,1.3705,1.5573,1.5023,1.4993,1.4085,1.8427,1.7201,1.7797,1.7283,1.8762,1.8622,1.8441,1.7855,1.7484,1.8007,1.73,1.5335,1.6344,1.6158,1.5948,1.3617,1.4953,1.22,1.075,1.0598,1.0793,0.6915,0.7588,0.6961,0.8703,0.7438,0.7551,0.933,0.9643,1.0464,1.1035,1.0322,1.0095,1.0608,1.149,1.1784,1.1949,1.1178,1.0919,1.109,1.1831,1.0196,1.0465,1.0761,1.1097,0.8154,0.9391,0.9765,0.994,0.9373,0.9675,0.9821
days-sales-in-receivables,63.1909,62.6085,65.6697,57.7911,59.9065,60.0261,63.8989,48.8411,52.3229,50.5698,52.0729,47.9682,48.3301,48.8054,50.4062,51.4759,49.9804,52.0241,58.6902,55.0658,55.7008,56.4339,66.0931,60.1873,73.7717,83.721,84.9201,83.3863,130.154,118.6045,129.292,103.4102,121.0066,119.1869,96.46,93.3329,86.0114,81.5598,87.1889,89.1551,84.8444,78.332,76.3745,75.318,80.5184,82.427,81.1569,76.074,88.2709,86.0048,83.634,81.1054,110.3819,95.8343,92.1691,90.5394,96.0224,93.0268,91.6369
roe,-13.2159,-0.1573,0.261,2.6449,-0.3745,0.2892,1.6687,0.5111,1.1735,1.7097,-0.864,-1.9421,3.8012,-2.4575,1.6612,0.7254,-0.2651,1.3696,-2.663,-1.6988,0.0092,1.0701,-0.6481,-3.2579,-5.1727,0.5828,1.5871,4.1062,2.8002,2.7864,2.5404,3.9476,4.1651,3.5309,-12.9207,2.6468,2.92,3.7107,6.634,3.9377,2.7225,2.731,1.413,-0.3548,-113.0542,1.2848,0.8144,-2.4234,1.8626,1.7326,1.5504,1.885,-9.3836,3.1731,2.161,1.9513,12.6726,2.9871,3.5187
