,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
current-ratio,1.3646,1.6213,1.7272,2.4057,2.6844,3.9483,3.1946,4.1195,4.7751,2.1449,3.0256,3.7497,3.7771,2.1229,1.3882,2.2855,1.7718,2.8205,3.6409,0.4936,1.6226,3.202,5.2905,1.248,0.863,1.9515,1.4939,2.9549,1.4413,0.4939,1.051,1.3668,2.1397,2.7664,3.0138,2.846,6.6125,4.2547,5.1153,5.4702,0.4137,,,,
long-term-debt-capital,4.1435,3.6539,3.1328,2.9871,3.0843,1.7664,1.5234,1.0346,0.8999,3.0573,2.4854,1.8902,1.4792,3.3512,5.4136,2.1147,1.9031,0.7303,0.5225,-1.5802,14.552,1.5266,0.8607,-4.2737,-2.1785,3.2071,5.7554,1.4812,1.1043,-1.015,-16.7633,1.6945,0.7873,0.6236,0.5517,0.3251,0.2792,0.1406,0.147,0.1536,-1.8378,,,,
debt-equity-ratio,-1.34,-1.397,-1.49,-1.5121,-1.4861,-2.3155,-2.9283,-30.0665,9.0268,-1.4906,-1.6779,-2.1286,-3.095,-1.4292,-1.2283,-1.8999,-3.1709,3.8793,1.5071,-0.7608,-1.2239,-3.0506,6.1804,-1.115,-0.8536,-1.6558,-1.2731,-3.0781,-18.3561,-0.8061,-1.4207,-3.5013,4.9956,2.0283,1.3809,0.501,0.3902,0.3404,0.3104,0.2957,-0.9804,,,,
gross-margin,99.0689,99.7944,99.3985,99.2869,99.2188,92.9909,87.2166,96.6134,99.1504,99.0846,97.789,97.0554,96.6516,96.7313,95.5924,93.7528,92.3903,88.5472,97.165,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0
operating-margin,-37.1818,-34.9045,-88.3374,-83.9078,-769.1407,-1849.97,-1743.64,-102.6236,-23.5941,-69.6111,-103.8182,-91.8792,-106.6348,-109.2463,-262.1916,-270.2622,-592.2369,-501.004,-4621.134,-11097.22,-8005.607,-38260.0,-15684.0,-8226.034,-6854.082,-9400.0,-915.0684,-475.8689,-919.9717,-540.236,-539.5721,-861.5046,-624.5188,-428.4849,-520.5812,-876.7417,-2948.819,-1536.016,-1699.735,-1224.654,-1024.208,-1531.267,-2657.36,,-1529.74
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-55.1413,-54.0239,-111.782,-165.6175,-856.5972,-2036.012,-1892.569,-120.2835,-34.5461,-83.7211,-123.1052,-152.1271,-123.6779,-126.0696,-276.8432,-297.0188,-611.2612,-523.3762,-4811.598,-11507.22,-8564.019,-39980.0,-16642.0,-1091.718,-7076.53,-9708.571,-957.8995,-488.5661,-936.9089,-559.5675,-594.5855,-892.4758,-659.7771,-458.0953,-528.0065,-740.8812,-2974.409,-1570.221,-1762.169,-1286.175,-885.9728,-1646.631,-2782.741,,-1473.054
net-profit-margin,-55.1413,-54.0239,-111.782,-106.8947,-856.5972,-2036.012,-1892.569,-120.2834,-34.5461,-83.7211,-123.1052,-152.1271,-123.6779,-126.0696,-276.8432,-297.0188,-611.2611,-523.3762,-4811.598,-11507.22,-8564.019,-39980.0,-16642.0,-1091.717,-7076.53,-9708.571,-957.8996,-488.5661,-936.9089,-559.5674,-594.5856,-892.4758,-659.7771,-458.0952,-528.0065,-740.881,-2974.409,-1570.221,-1762.169,-1286.175,-885.9728,-1646.631,-2782.741,,-1473.054
asset-turnover,0.3271,0.2981,0.2151,0.2295,0.0609,0.0156,0.0178,0.1183,0.1726,0.2842,0.2099,0.1918,0.1551,0.217,0.2062,0.1362,0.0787,0.0544,0.0052,0.0166,0.0085,0.0011,0.0018,0.0102,0.0163,0.0061,0.0619,0.0596,0.0433,0.1516,0.0709,0.0424,0.0282,0.0282,0.0259,0.0214,0.0068,0.0111,0.0071,0.007,0.064,,,,
inventory-turnover,0.237,0.0463,0.178,1.7841,0.1682,0.4936,0.8219,1.0519,0.2238,0.1735,0.2823,0.3369,0.2708,0.1837,0.1658,0.8835,0.5573,0.5766,0.0194,,,,,,,,,,,,,,,,,,,,,,,,,,
