,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31
current-ratio,1.5178,2.0001,2.4966,4.8973,6.6457,4.3304,4.6376,3.5488,3.7505,3.7242,2.4927,3.2277,3.8145,4.0829,3.7192,2.8954,2.2245,2.3115,2.591,3.7397,3.9169,4.2871,5.866,5.6067,6.3065,8.0908,9.3145,7.8003,9.7122,10.2267,8.9314,10.3015,10.4241,11.4023,10.951,14.065,5.1188,,,,,
long-term-debt-capital,0.4572,0.367,0.3211,0.1139,0.0983,0.1418,0.119,0.1367,0.0935,0.0827,0.1613,0.1598,0.138,0.1254,0.1463,0.1689,0.2636,0.301,0.2616,0.2029,0.2078,0.1886,0.1519,0.1617,0.1362,0.1147,0.121,,0.0182,0.0174,0.0167,0.0158,0.0155,0.0151,0.0114,0.0075,0.0206,,,,,
debt-equity-ratio,1.22,0.8288,0.6676,0.1285,0.1091,0.1652,0.135,0.1584,0.1318,0.1129,0.2374,0.1902,0.1601,0.1434,0.1714,0.2033,0.3579,0.4305,0.3543,0.2546,0.2624,0.2324,0.1791,0.1929,0.1577,0.1296,0.1377,,0.0186,0.0177,0.017,0.0161,0.0158,0.0153,0.0115,0.0076,0.021,,,,,
gross-margin,31.5492,39.0439,31.1537,29.4274,17.5771,41.0696,37.6821,38.075,34.9416,39.8595,35.87,44.219,50.3145,51.3038,49.6889,72.9473,47.0719,58.1659,33.5903,26.2541,63.822,27.3611,22.9857,34.9135,16.7228,17.5099,16.6726,10.6669,6.8444,3.7718,-1.5142,12.3513,31.638,74.3086,100.0,100.0,100.0,100.0,100.0,,,
operating-margin,-128.2866,-99.0212,-183.4642,-156.8319,-135.848,-100.7739,-123.6908,-82.33,-91.6076,-121.4916,-93.5139,-69.4892,-66.6255,-87.0969,-97.0617,-2.9271,18.7828,-45.5431,-109.5381,-105.8566,-40.7943,-160.1926,-156.7171,-186.1616,-268.6295,-330.6382,-369.4335,-369.0711,-813.3645,-309.354,-274.0586,-182.3289,-279.846,-213.1985,-12950.74,-13067.5,-18498.18,-5194.753,-5554.862,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-132.8907,-99.8985,-184.621,-157.7333,-137.9075,-104.4583,-124.8786,-83.2645,-93.5273,-127.2306,-95.7937,-73.9833,-69.6473,-89.1647,-101.1763,-3.8836,13.0847,-47.8568,-114.327,-112.2515,-44.431,-167.4924,-162.223,-188.6468,-276.0679,-338.4755,-378.3435,-368.6458,-818.7679,-308.4214,-274.7559,-183.4058,-278.363,-211.4299,-12892.22,-13006.79,-18503.64,-5200.954,-5564.22,,,
net-profit-margin,-132.8907,-99.8985,-184.621,-157.7332,-137.9075,-104.4583,-124.8786,-83.2645,-93.5273,-127.2306,-95.7937,-73.9834,-69.6473,-89.1647,-101.1763,-3.8836,13.0847,-47.8568,-114.327,-112.2515,-44.431,-167.4923,-162.223,-188.6468,-276.0679,-338.4755,-378.3435,-368.6457,-818.768,-308.4214,-274.7559,-183.4057,-278.363,-211.4299,-12892.22,-13006.79,-18503.64,-5200.954,-5564.22,,,
asset-turnover,0.15,0.1443,0.0885,0.1147,0.0993,0.1574,0.1234,0.1731,0.1491,0.1128,0.1839,0.1865,0.1667,0.1286,0.1365,0.2767,0.1395,0.2577,0.1658,0.1359,0.1695,0.0891,0.0825,0.0671,0.0486,0.045,0.0399,0.0453,0.0187,0.0429,0.0515,0.057,0.0442,0.0407,0.001,0.0009,0.0017,,,,,
inventory-turnover,0.9956,0.8623,0.5755,0.7708,0.76,0.5425,0.4653,0.6695,0.8416,0.6992,1.041,0.9177,0.7576,0.7114,0.7912,0.8959,0.6339,0.871,0.8708,1.0998,0.6546,0.8791,1.0801,0.5915,0.6294,0.4852,0.4386,0.5474,0.2535,0.6831,0.862,0.7029,0.3549,0.1397,,,,,,,,
