,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.0756,2.164,2.37,2.2759,2.1545,2.2106,2.4633,2.1922,2.0599,2.1366,2.0643,2.2007,2.4466,2.8096,2.3341,2.6309,2.212,1.9752,2.0367,2.2054,1.9871,2.0442,2.1004,1.8238,2.0498,1.9941,1.6983,1.7039,2.0317,2.2847,2.3002,1.9954,2.0021,2.0486,1.9846,3.9847,3.8393,3.6507,2.0152,2.9327,2.2419,2.9005,3.0259,2.5974,2.313,2.5021,2.2532,2.239,1.9927,2.1996,2.0476,1.9288,1.8985,2.5201,2.4069,2.5719,2.6698,2.5826,2.024
long-term-debt-capital,0.6155,0.6193,0.6214,0.599,0.6137,0.6318,0.6284,0.6278,0.7002,0.7142,0.7273,0.639,0.6564,0.6814,0.6859,0.6675,0.6822,0.6945,0.7133,0.729,0.7394,0.6234,0.6239,0.6434,0.6439,0.6558,0.6701,0.6863,0.7111,0.7238,0.7362,0.5168,0.5333,0.5513,0.5737,0.5869,0.4524,0.4643,0.4723,0.4929,0.5168,0.5411,0.5601,0.4299,0.4337,0.4453,0.4597,0.4738,0.4844,0.4944,0.508,0.517,0.5328,0.5382,0.5473,0.5591,0.5534,0.5577,0.5627
debt-equity-ratio,1.6074,1.6312,1.6413,1.494,1.5888,1.7162,1.6909,1.6866,2.335,2.4989,2.667,1.7698,1.9101,2.1389,2.1836,2.0072,2.1463,2.2861,2.4876,2.6899,2.8488,1.6551,1.6586,1.8932,1.8082,1.9053,2.0314,2.1873,2.4612,2.6207,2.7907,1.0697,1.1429,1.2288,1.3458,1.4223,0.8306,0.8713,0.9851,0.983,1.081,1.1907,1.2852,0.7611,0.7729,0.81,0.8584,0.9081,0.9473,0.9856,1.0405,1.0786,1.1493,1.1742,1.2179,1.2775,1.2485,1.2707,1.2966
gross-margin,57.4418,57.7492,57.3573,57.6748,57.4339,55.3677,55.1861,54.5698,55.8463,55.9202,54.0919,57.4577,57.6442,58.0179,56.8911,58.3351,58.2049,58.4161,57.9176,56.5494,56.569,56.1873,55.1104,55.5446,55.8399,58.2576,56.0079,53.0462,55.9421,56.8746,51.112,51.8795,51.0744,52.3301,48.0527,48.5741,54.3913,53.3031,50.1902,53.0643,53.0082,53.2741,51.567,53.2104,52.7683,53.393,52.2231,51.6554,51.0288,52.5232,50.2832,54.1136,51.2022,52.1555,54.7504,51.5052,51.5318,54.3773,100.0
operating-margin,29.1294,30.7925,-63.6649,32.1195,29.6311,28.5404,-9.0231,30.9998,29.3478,30.7729,22.0568,31.9644,33.0423,5.828,31.4012,31.291,33.9204,32.5323,32.2264,28.8417,25.6624,29.3771,31.4254,27.9269,32.2034,34.6925,33.2197,29.159,31.6061,29.819,16.8333,22.24,27.8576,28.5797,19.3269,14.374,30.4407,29.0036,24.7602,31.5167,24.6925,26.0886,-405.9558,25.0302,23.292,28.8492,31.6216,28.552,23.5982,29.3928,29.0033,30.62,28.5816,30.7535,25.0806,30.9958,28.3959,28.7725,46.721
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,18.4871,19.836,-74.2783,21.1239,18.1816,18.2928,-20.5348,21.2993,19.1147,20.5353,7.8124,23.4048,23.3562,-4.2529,11.8366,21.5695,23.891,20.9075,19.7052,16.9701,15.626,19.3203,18.6665,2.8895,22.3565,23.5321,20.1888,12.52,19.4594,16.3167,0.597,14.6014,20.0135,24.8911,10.1855,5.9046,23.5789,20.9164,11.7283,23.9874,17.7037,18.1265,-416.2915,15.9865,15.3671,17.0411,19.1494,16.9268,12.6121,17.0701,16.4257,17.9447,17.0583,17.8563,13.034,19.0668,16.5737,15.361,100.0
net-profit-margin,13.9674,14.6131,-57.7838,15.8098,12.8849,13.5704,-15.5049,116.325,11.9,13.1577,4.608,14.5971,14.9708,-2.6392,6.7047,13.9839,15.4335,13.6224,12.5086,10.7755,9.0821,11.4837,11.1854,2.1605,19.6424,14.5195,12.811,7.6495,11.8897,9.9696,-0.0112,8.9506,12.2688,15.4971,6.6561,2.4038,14.0761,13.4848,4.9028,14.3326,12.2917,11.7234,-368.3681,10.284,9.9626,10.5815,15.0152,10.4946,7.8191,10.5838,10.7579,13.2832,10.389,10.8742,4.5355,11.7023,10.0539,9.3439,-0.2859
asset-turnover,0.0687,0.0671,0.07,0.0658,0.0647,0.0674,0.0681,0.0694,0.0661,0.0658,0.0615,0.0771,0.076,0.0728,0.0705,0.0758,0.0784,0.0729,0.0719,0.0737,0.0665,0.0786,0.0797,0.0777,0.0923,0.0821,0.0868,0.0925,0.0905,0.0839,0.0762,0.1016,0.1,0.0909,0.0912,0.086,0.099,0.0918,0.0847,0.0938,0.101,0.0891,0.0715,0.074,0.0818,0.0706,0.0657,0.0762,0.0823,0.0747,0.0734,0.0762,0.0796,0.0728,0.077,0.0758,0.072,0.0633,0.0786
inventory-turnover,0.8018,0.7581,0.8574,0.8489,0.8971,0.9529,0.9676,1.07,0.9535,0.9527,0.9557,0.9137,0.9298,0.9474,0.9818,1.034,1.1165,1.0786,1.0808,1.1412,0.9499,0.9647,0.9791,0.9939,1.1903,0.889,1.1037,1.3868,1.3246,1.1773,1.2816,1.1732,1.1127,1.039,1.2593,0.9726,1.4287,1.1848,1.2066,1.0163,1.5202,1.2545,1.07,1.2688,1.5924,1.1895,1.1091,1.265,1.5394,1.3091,1.2858,1.1569,1.4095,1.158,1.0699,1.1498,1.0809,1.0359,1.2767
receiveable-turnover,1.6695,1.6243,1.6199,1.7172,1.5558,1.6888,1.8169,1.7991,1.7743,1.9044,1.76,2.0765,2.3156,2.3698,2.1823,2.3529,2.256,2.2452,2.1631,2.2534,1.8376,2.5018,2.1991,2.1888,2.073,2.2993,2.0675,2.1726,1.9094,2.1176,2.2248,2.1181,2.1346,2.1754,2.1707,2.1583,2.4275,2.4957,2.1894,2.4109,2.0619,2.1508,1.5907,2.2513,2.013,1.9187,1.559,2.0582,1.8777,2.118,2.219,2.2743,2.2579,2.2199,1.9983,2.2175,2.2532,1.9531,2.1817
days-sales-in-receivables,53.9095,55.409,55.5576,52.4102,57.8484,53.292,49.5353,50.0251,50.7235,47.2585,51.1355,43.3419,38.866,37.9784,41.2414,38.251,39.8932,40.0862,41.6069,39.9395,48.9767,35.9736,40.9254,41.1188,43.4159,39.1426,43.5317,41.4254,47.135,42.5017,40.4529,42.491,42.163,41.371,41.4617,41.6993,37.0744,36.0614,41.1063,37.3299,43.6483,41.8442,56.5779,39.9763,44.7096,46.9069,57.7297,43.7278,47.9302,42.4922,40.5586,39.5724,39.8603,40.5423,45.0394,40.5854,39.9438,46.0815,41.2529
roe,2.9882,3.0795,-12.7094,3.0952,2.5846,2.9668,-3.3673,25.857,3.427,3.9321,1.3482,3.9558,4.1561,-0.75,1.8723,3.8831,4.6377,3.9493,3.7876,3.4967,2.7714,2.8562,2.8403,0.5757,6.0617,4.1382,4.0508,2.6818,4.3894,3.5056,-0.0037,2.3677,3.3079,3.9095,1.7726,0.6054,3.2472,2.7124,1.5608,3.0983,2.8356,2.6342,-72.4317,1.5328,1.6378,1.5907,1.7697,1.7937,1.48,1.8326,1.8851,2.4361,2.0613,1.9757,0.8864,2.3067,1.8655,1.5238,-0.0586
return-on-tangible-equity,-1.6981,-1.7151,6.9988,-1.8291,-1.445,-1.5855,1.7858,-13.7411,-1.1726,-1.2714,-0.4113,-1.859,-1.8312,0.3002,-0.7189,-1.6681,-1.848,-1.4888,-1.3223,-1.1654,-0.8833,-1.5565,-1.5651,-0.3004,-3.124,-1.9939,-1.8205,-1.1285,-1.7248,-1.271,0.0013,-1.79,-2.381,-2.6318,-1.107,-0.4195,-3.6811,-2.8007,-1.525,-2.8658,-2.3788,-2.0723,54.8155,-1.7444,-1.8024,-1.6776,-1.7791,-1.7223,-1.3674,-1.6266,-1.6059,-2.0202,-1.6295,-1.6029,-0.6903,-1.73,-1.4638,-1.1582,0.043
roa,0.9597,0.9803,-4.0474,1.0405,0.8341,0.9145,-1.0553,8.0759,0.7869,0.8657,0.2835,1.1257,1.1372,-0.1922,0.4726,1.06,1.2107,0.9927,0.8998,0.7943,0.604,0.9025,0.8911,0.1678,1.8136,1.1919,1.1121,0.7079,1.0765,0.8362,-0.0009,0.9093,1.2272,1.4083,0.6069,0.2036,1.4422,1.1873,0.649,1.2796,1.1103,1.0026,-26.6076,0.7351,0.7805,0.7466,0.8081,0.7992,0.6439,0.7904,0.7894,1.0115,0.8273,0.7915,0.3494,0.8868,0.7241,0.5913,-0.0225
roi,1.1488,1.1724,-4.8118,1.241,0.9984,1.0922,-1.2513,9.6246,1.0276,1.1238,0.3677,1.4282,1.4282,-0.2389,0.5881,1.2913,1.474,1.2065,1.086,0.9477,0.7223,1.0758,1.0683,0.2052,2.1574,1.4235,1.3355,0.8409,1.2674,0.9676,-0.001,1.144,1.5436,1.7541,0.7557,0.2501,1.778,1.4529,0.8236,1.5711,1.3701,1.2089,-31.8645,0.8738,0.9275,0.8824,0.9561,0.9438,0.763,0.9266,0.9275,1.1766,0.963,0.9124,0.4013,1.0169,0.8332,0.6739,-0.0256
book-value-per-share,22.153,21.6459,21.1555,23.8059,23.0631,22.4566,22.8745,22.9536,16.8926,16.199,15.533,15.1096,14.6341,13.9368,14.108,13.6663,13.0008,12.5692,12.0014,11.6536,11.3862,11.2722,10.8725,10.5074,10.4663,9.7769,9.3476,8.9638,8.7185,8.3181,8.0089,7.9927,7.8143,7.5212,7.2199,7.0786,7.0214,6.7838,6.5772,6.4932,6.2558,6.0771,5.8952,10.1122,9.9801,9.7911,9.5813,9.3867,9.2276,9.0794,8.9058,8.7375,8.5222,8.3484,8.1819,8.0935,7.8969,7.7821,7.6412
operating-cash-flow-per-share,2.0271,1.014,3.6353,2.6519,1.8236,1.055,3.9254,2.9074,2.0273,1.0114,2.7861,2.6453,1.8949,0.9701,3.3177,2.5647,1.7044,0.8218,2.9667,1.975,1.0849,0.5648,2.1315,1.5418,1.0647,0.4381,2.6751,1.9579,1.1786,0.2885,1.3292,0.9469,0.6605,0.3049,1.7218,1.2202,0.8539,0.4134,1.1865,1.0083,0.7967,0.3607,1.3353,1.0661,0.733,0.307,0.8991,0.7056,0.4294,0.168,1.4374,1.1053,0.8548,0.4299,1.077,0.7166,0.4911,0.1962,1.3405
free-cash-flow-per-share,1.9125,0.9764,3.434,2.5152,1.7263,1.0083,3.6913,2.7271,1.9379,0.9637,2.7319,2.6106,1.87,0.9532,3.257,2.5234,1.6792,0.8136,3.0407,2.0945,1.0586,0.5554,2.0788,1.4912,1.0204,0.4119,2.4757,1.785,1.0761,0.2653,1.3172,0.9398,0.6544,0.3034,1.709,1.2122,0.8489,0.4108,1.1731,1.0003,0.7921,0.3587,1.3257,1.0582,0.7308,0.3058,0.8893,0.6984,0.4256,0.1658,1.4266,1.0967,0.8485,0.4239,1.0667,0.7075,0.4852,0.1921,1.3311
