,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-11-30,2012-09-30,2012-08-31,2012-06-30,2012-05-31,2012-03-31,2012-02-29,2011-12-31,2011-11-30,2011-09-30,2011-08-31,2011-06-30,2011-05-31,2011-03-31
current-ratio,4.9958,5.045,4.5689,4.7378,5.0363,2.6949,5.0739,3.8031,3.8775,4.0145,4.2113,3.9916,3.9839,3.7488,4.4694,3.4712,2.9423,1.4197,2.2859,0.3472,0.9249,1.1128,0.0568,0.2051,0.5445,0.0363,2.171,0.0057,0.0568,,0.0574,,0.0578,,,0.0582,,,,,,
long-term-debt-capital,0.4514,0.4191,0.4087,0.38,0.3766,,0.1312,0.1333,0.1285,0.1314,0.129,0.1261,0.1258,0.123,0.121,0.1273,0.1307,0.2243,0.3332,7.1705,1.1394,0.9873,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.8227,0.7214,0.77,0.6836,0.6743,0.1576,0.1511,0.1538,0.1475,0.1513,0.1481,0.1443,0.1439,0.1403,0.1376,0.1459,0.1503,0.5619,0.4998,-2.2489,-8.1757,77.625,-0.8839,,,,,-0.2596,-0.3861,,-0.3901,,-0.3931,,,,,,,,,
gross-margin,96.5903,97.8102,97.4299,96.3378,97.2166,97.1503,95.803,97.2165,97.707,97.9459,97.8911,96.7771,95.366,96.9349,97.3904,97.5006,98.1682,97.3533,98.4227,97.6065,97.6285,99.3905,96.7742,,,,,,,,,,,,,,,,,,,
operating-margin,-77.608,-81.7075,-96.6085,-11.3888,-87.4146,-52.1567,-46.607,-35.9841,-26.2965,-35.0464,-42.8555,-48.8172,-60.0147,-34.1599,-28.4094,-49.936,-73.1869,-28.8516,-46.6498,-132.7549,-261.9116,-299.2337,-79074.09,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-83.4133,-86.4115,-102.5423,-17.0318,-132.9067,-53.613,-47.2237,-26.1707,-47.1418,-39.0567,-39.1255,-32.9172,-90.2813,-62.4268,21.1873,-42.6775,515.4044,-105.9997,-2.1068,-206.1028,-215.3551,161.6162,-271219.6,,,,,,,,,,,,,,,,,,,
net-profit-margin,-82.2347,-86.5659,-103.5557,-17.0318,-133.9262,-54.017,-47.8195,-41.7716,-44.1101,-34.0954,-32.9863,-23.0477,-109.3327,-40.236,38.6652,-8.1092,376.997,-106.062,228.2696,-206.1002,-215.3551,205.5904,-271454.0,,,,,,,,,,,,,,,,,,,
asset-turnover,0.0723,0.069,0.0593,0.0617,0.0568,0.0842,0.0767,0.0811,0.0775,0.0765,0.0659,0.0711,0.0638,0.0624,0.0572,0.0594,0.0547,0.0566,0.0418,0.104,0.0572,0.0369,0.0003,,,,,,,,,,,,,,,,,,,
inventory-turnover,0.2874,0.1939,0.1826,0.2853,0.2209,0.2186,0.3137,0.2194,0.2142,0.1824,0.1492,0.4257,0.4836,0.3763,0.2344,0.3001,0.1936,0.3177,0.1595,0.4208,0.2897,0.0705,0.0026,,,,,,,,,,,,,,,,,,,
