,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,4.359,6.0997,8.9405,8.4426,7.631,1.7515,,,,,
long-term-debt-capital,0.3313,0.3388,0.344,0.2996,0.2481,2.9371,,,,,
debt-equity-ratio,0.6433,0.5837,0.5323,0.4278,0.3955,-1.6541,,,,,
gross-margin,73.8,74.831,77.9463,76.2648,77.9137,75.5131,75.7979,,74.8737,75.7373,
operating-margin,-39.55,-39.8684,-55.4368,-36.2072,-31.5353,-39.511,-45.3605,,-26.7849,-25.0,
ebit-margin,,,,,,,,,,,
pre-tax-profit-margin,-42.9187,-42.8071,-59.1531,-39.2901,-36.1141,-56.565,-54.147,,-35.7735,-27.8231,
net-profit-margin,-42.9188,-42.8071,-59.1531,-39.29,-36.1141,-56.5651,-54.147,,-35.7735,-27.8231,
asset-turnover,0.1517,0.1514,0.1122,0.1336,0.1155,0.4675,,,,,
inventory-turnover,1.4337,1.6344,1.1647,1.5259,1.1607,1.3294,,,,,
receiveable-turnover,2.1186,2.1912,2.2464,2.782,2.6002,2.8053,,,,,
days-sales-in-receivables,42.48,41.0735,40.0644,32.3505,34.6124,32.0827,,,,,
roe,-12.6394,-11.8591,-11.5085,-8.647,-6.4979,3.6518,,,,,
return-on-tangible-equity,-12.6394,-11.8591,-11.5085,-8.647,-6.4979,41.3344,,,,,
roa,-6.5102,-6.4829,-6.6372,-5.2494,-4.1696,-26.4456,,,,,
roi,-8.4517,-7.8414,-7.5496,-6.056,-4.8855,-80.0684,,,,,
book-value-per-share,2.9207,3.2431,3.5892,4.0037,4.3431,-70.5642,,,,,
operating-cash-flow-per-share,-1.301,-0.8947,-0.5309,-2.3012,-1.0537,-54.6816,-36.7124,,-58.8247,-54.8035,
free-cash-flow-per-share,-1.3255,-0.9164,-0.5461,-2.4142,-1.0911,-56.7755,-38.0266,,-60.4691,-55.6821,
