,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
current-ratio,15.4754,14.2245,8.2998,16.5055,12.6759,2.2235,,,,,
long-term-debt-capital,0.1309,0.0998,0.192,0.1637,0.0977,0.6045,,,,,
debt-equity-ratio,,,,,,,,,,,
roe,-14.1578,-10.5598,-23.5958,-14.3138,-13.2825,19.1743,,,,,
return-on-tangible-equity,-14.1578,-10.5598,-23.5958,-14.3138,-13.2825,-166.2319,,,,,
roa,-11.6049,-8.8526,-16.7713,-11.2343,-11.0244,-39.2437,,,,,
roi,-12.3047,-9.5058,-19.0656,-11.971,-11.9851,-65.749,,,,,
book-value-per-share,6.2913,7.0388,3.7635,4.6153,5.2036,6.2172,,,,,
operating-cash-flow-per-share,-2.021,-1.1696,-0.5641,-4.2832,-1.502,-14.6307,-6.6269,,-10.9336,-7.5275,
free-cash-flow-per-share,-2.0436,-1.1906,-0.5686,-4.3218,-1.5192,-14.8635,-6.8437,,-11.167,-7.5419,
