,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.3335,2.5211,2.2703,2.1223,2.2589,2.2095,2.1842,2.3328,4.7158,3.7432,3.5558,2.7672,2.5727,2.7412,1.6082,1.5115,1.576,1.6657,1.6116,1.5739,1.5928,1.5958,1.9319,1.8903,4.1462,4.0143,4.0445,3.8984,5.1997,5.1494,4.804,4.7241,3.0899,3.154,2.7081,2.1894,2.2418,3.2224,3.0593,2.9781,2.9042,2.7221,2.1867,1.8203,1.91,1.6459,1.5628,1.5457,2.5856,2.7142,2.7059,2.5421,2.2981,2.314,2.0698,1.9837,2.6281,2.4806,2.3959
long-term-debt-capital,0.4185,0.4497,0.4582,0.4493,0.453,0.4685,0.4569,0.4709,0.4677,0.4446,0.4687,0.285,0.2815,0.2997,0.2411,0.2419,0.2497,0.2661,0.2734,0.2678,0.2608,0.2608,0.3235,0.3268,0.345,0.3502,0.3529,0.3514,0.3542,0.362,0.3573,0.325,0.3296,0.3275,0.3033,0.3128,0.345,0.4163,0.4182,0.4293,0.4456,0.4698,0.4812,0.5278,0.5177,0.5138,0.525,0.5369,0.2611,0.2675,0.2858,0.2907,0.294,0.2891,0.3014,0.3067,0.3594,0.3515,0.3664
debt-equity-ratio,0.7372,0.836,0.8795,0.8499,0.8588,0.9172,0.8716,0.9255,0.91,0.8479,0.9414,0.4843,0.4755,0.5099,0.522,0.5267,0.5475,0.5792,0.592,0.5583,0.537,0.5353,0.6628,0.6713,0.5291,0.5415,0.548,0.5445,0.551,0.5701,0.5587,0.4841,0.507,0.5023,0.4511,0.5131,0.6322,0.7395,0.745,0.7549,0.8075,0.8901,0.9317,1.2026,1.1382,1.1804,1.2398,1.2675,0.4158,0.3847,0.4181,0.4358,0.4673,0.4747,0.5092,0.5523,0.5811,0.5831,0.6291
gross-margin,57.9468,57.1525,56.185,57.0157,56.1897,56.5334,56.4123,55.5751,55.2133,54.9143,52.3816,53.1299,53.0238,54.1437,52.9891,53.7287,51.4325,51.596,51.8448,50.6325,51.6579,52.1439,50.4301,49.9275,49.2977,49.8716,48.6844,47.5306,49.0599,48.0951,48.3789,47.4622,48.4175,47.5777,46.4695,49.2708,48.2737,48.6294,48.1573,89.4313,44.5461,45.09,42.8238,46.9972,41.6306,41.8662,39.3719,50.4835,33.5782,36.1096,36.6644,34.9928,29.8283,30.2764,29.847,27.8257,28.2713,28.9553,27.8611
operating-margin,18.1424,16.4685,12.2629,18.5884,13.4671,5.4914,14.7886,15.2753,20.6384,20.8474,12.466,13.0422,18.9811,20.7877,15.8857,19.9684,17.2521,17.0306,15.2779,14.5281,17.9221,15.9691,13.4581,11.9999,15.96,15.1767,11.9949,13.9457,13.5418,16.7975,-71.0461,15.8889,17.0659,14.6607,14.0295,14.0444,15.4503,17.9032,18.1185,53.5636,15.4964,13.4606,13.9281,11.6033,14.2522,13.2719,10.5163,-13.4909,11.6492,12.9756,14.239,11.9562,10.6375,9.404,8.9429,9.3977,9.4692,10.2528,8.0341
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,15.2002,13.3596,8.6198,14.9898,9.0629,1.1517,10.4172,11.3252,16.7151,17.1123,7.7232,9.8877,16.1778,14.2333,12.6604,17.1698,14.0573,11.1668,11.3185,11.0416,14.1986,12.569,9.9882,8.8541,12.322,11.78,8.587,10.5155,8.6096,12.2578,-75.7057,11.0216,11.8669,10.3718,5.3748,2.6691,0.9596,12.4952,13.0038,38.3276,10.7678,8.7843,7.6143,1.984,8.5996,7.7455,4.9566,-33.3977,10.5403,10.8596,12.6241,9.8101,9.3018,7.692,7.6437,9.3903,8.7492,8.6448,6.2561
net-profit-margin,35.3112,12.7776,6.6653,14.1191,9.2712,-0.4093,9.5676,-7.1681,14.4033,14.7562,8.2336,11.8815,14.5555,12.523,11.9298,20.8718,13.7079,9.8581,8.9309,10.6381,11.9935,10.0943,7.9713,7.7303,11.2553,10.1036,6.5646,6.9974,5.9073,11.1165,-74.5559,42.5214,12.0337,8.9383,21.9805,24.8004,6.4329,16.7811,10.2556,37.1833,8.6926,1.473,48.9722,6.3897,8.396,6.2434,4.2322,29.2076,-12.438,20.7512,10.0545,8.4043,5.9396,5.6352,4.8519,5.8028,5.7202,4.4098,6.2101
asset-turnover,0.1036,0.1033,0.0979,0.1022,0.0983,0.0988,0.0932,0.0963,0.0941,0.0999,0.0932,0.1321,0.1139,0.1184,0.1077,0.1251,0.1135,0.1135,0.1094,0.1213,0.1127,0.1152,0.1034,0.107,0.1092,0.1128,0.1115,0.1122,0.1003,0.1063,0.1043,0.1006,0.0938,0.0983,0.0962,0.0897,0.0909,0.0957,0.0973,0.0299,0.1158,0.1162,0.1156,0.078,0.123,0.1342,0.1288,0.0535,0.1731,0.1747,0.1811,0.1901,0.2585,0.2703,0.2524,0.2691,0.2325,0.2617,0.2426
inventory-turnover,0.5769,0.6061,0.6034,0.6447,0.6498,0.6538,0.6341,0.668,0.6262,0.6467,0.6539,0.7619,0.6262,0.6416,0.5894,0.6788,0.623,0.6304,0.6105,0.7002,0.6257,0.6284,0.6216,0.6762,0.6062,0.604,0.635,0.68,0.6342,0.6992,0.6571,0.6939,0.6008,0.6801,0.5924,0.4898,0.4958,0.5458,0.5383,0.0336,0.6184,0.5865,0.6185,0.3823,0.6839,0.774,0.7987,0.2644,0.7238,0.6932,0.6935,0.7015,1.0062,1.0842,1.0095,1.1543,0.997,1.1326,1.0637
