,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-11-30,2007-08-31,2007-05-31,2007-02-28,2006-11-30,2006-08-31,2006-05-31,2006-02-28,2005-11-30,2005-08-31,2005-05-31,2005-02-28
current-ratio,0.9399,0.9442,0.855,0.9634,0.9809,0.7712,0.7041,0.6226,0.602,0.6072,0.504,0.439,0.4481,0.6416,0.7309,0.831,0.934,0.9101,1.0292,0.9552,0.924,0.9085,0.9897,0.9583,1.074,0.9307,0.9565,1.1057,1.087,1.1165,1.2059,1.0739,1.0823,0.9019,0.9934,1.0044,0.8519,0.9211,0.9711,0.7711,0.8729,0.9609,0.9554,,0.9863,,,,0.9291,,1.0799,1.1039,,1.2683,1.3699,2.5837,,2.3536,2.6416,2.7648,,2.8526,3.4459
long-term-debt-capital,0.6621,0.6731,0.6806,0.0766,0.1308,,,,0.0185,0.1441,0.2196,0.4646,0.5488,0.6544,0.4338,0.4261,0.4353,0.4298,0.4428,0.4314,0.4423,0.4402,0.4555,0.4397,0.4456,0.4768,0.4821,0.4997,0.5045,0.5148,0.5272,0.5004,0.381,0.3369,0.3551,0.361,0.3568,0.3883,0.417,0.4027,0.4186,0.4551,0.4756,,0.4539,,,,0.5133,,0.4075,0.4269,,0.4831,0.5079,0.0006,,0.0011,0.0014,0.0017,,0.0024,0.0949
debt-equity-ratio,1.9844,2.0864,2.2465,0.0831,0.1506,0.469,0.5018,0.5367,0.5673,0.7794,0.9688,1.1112,1.5404,2.342,0.8516,0.8254,0.8508,0.8318,0.866,0.8264,0.859,0.8485,0.8917,0.8323,0.8485,0.9574,0.9731,1.0413,1.0622,1.1081,1.1279,1.0155,0.6244,0.5176,0.5576,0.5741,0.5647,0.6429,0.7205,0.68,0.7271,0.8444,0.918,,0.8374,,,,1.065,,0.693,0.7506,,0.9412,1.0391,0.0013,,0.0018,0.0021,0.0025,,0.0032,0.1057
gross-margin,41.2169,42.7817,34.4503,22.0947,31.5508,31.2442,29.7032,28.5307,31.3457,28.6818,27.3611,29.7941,28.7056,28.8985,27.4855,99.019,30.4591,31.8431,14.963,-24.2345,19.771,18.9006,16.195,16.3571,21.3102,17.7494,14.4752,21.4757,23.8816,24.0339,15.1212,25.987,26.4565,25.7005,25.1956,36.9386,29.7976,30.502,28.0063,25.8607,27.0554,28.1574,27.3061,,30.396,32.9798,,33.6581,32.6083,29.155,29.9549,29.3671,,31.0917,31.982,33.7499,,31.1159,29.1559,29.5247,,35.0013,36.1111
operating-margin,13.6885,14.664,8.0563,21.2374,23.3708,22.279,21.3079,18.8641,25.0481,22.2656,20.349,20.149,18.1993,19.3099,18.5006,121.801,23.1618,19.2868,-0.1138,-63.1936,4.0785,2.0497,-5.9403,-1.771,3.6695,0.9293,-1.6487,2.8051,7.0792,7.7074,-0.5623,-96.2832,11.3311,7.9235,6.6184,15.0166,12.0883,12.2457,10.8056,8.956,10.6649,11.0641,10.3225,,14.1546,16.7396,,17.0676,15.1281,12.2986,14.6162,13.8364,,13.7778,15.2963,17.1748,,14.7585,12.4154,12.0993,,18.3774,19.1473
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,6.1182,7.7126,4.4756,20.7251,22.702,19.9862,19.0042,16.3912,21.9959,19.2925,17.6293,16.7841,14.3344,15.9692,15.243,109.2858,18.8337,15.6033,-2.4786,-60.3079,1.6148,-0.4507,-8.4196,-4.4855,0.665,-1.0168,-3.6594,0.9065,5.1285,5.13,-2.4913,-98.1633,9.5031,6.0544,4.5211,13.1515,10.043,10.8504,8.8939,6.8859,8.5245,8.735,-12.3523,,11.406,13.8769,,14.3351,12.3925,9.5977,11.8263,10.7986,,10.2114,11.3962,16.9228,,14.4926,12.1585,11.8178,,18.0086,18.5208
net-profit-margin,4.5598,5.3285,1.9683,18.6399,16.7409,15.5296,14.2306,6.0866,19.1753,9.7665,10.8257,5.5229,43.0183,-140.4734,-11.2759,-55.0852,-7.9499,0.3703,-1.5343,-1.8718,1.0627,-0.2862,-5.4283,-3.1258,1.0797,-0.6785,-2.3909,0.3448,3.0188,2.971,-1.613,-98.3755,5.371,3.4069,2.5373,7.9632,6.1729,6.7444,5.2592,4.2857,4.8458,4.9911,-8.1062,,6.7858,8.3346,,8.4566,7.2995,5.6389,6.9589,6.3605,,6.4276,6.8779,10.1098,,8.739,7.3315,7.1265,,10.8937,11.2043
asset-turnover,0.1515,0.1689,0.1034,0.3175,0.3139,0.2172,0.2165,0.2191,0.2097,0.211,0.2382,0.2293,0.2139,0.2475,0.1841,0.0495,0.1529,0.1498,0.2351,-0.1697,0.2388,0.2307,0.2246,0.2259,0.2162,0.2247,0.2265,0.2341,0.2256,0.2343,0.2285,0.2539,0.198,0.2006,0.1914,0.2267,0.1917,0.1981,0.1996,0.1986,0.2062,0.2007,0.1978,,0.2102,,,,0.215,,0.2035,0.2031,,0.2034,0.2004,0.2949,,0.305,0.3166,0.316,,0.3188,0.3143
inventory-turnover,7.5312,6.541,4.3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
