,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.4735,1.8767,1.1774,1.8885,1.9304,2.0628,1.6658,1.9489,2.0398,2.262,2.3085,2.6796,2.525,2.4276,2.8149,3.1673,2.9802,2.5648,2.6119,2.1507,2.5932,2.2743,2.8045,2.1431,2.7113,2.3847,3.2163,2.7793,2.9481,2.7544,3.765,2.7975,3.3476,3.0134,1.6312,2.7605,2.5287,2.7973,2.6395,2.2365,2.2824,2.8129,2.8125,2.6498,2.6502,3.288,3.5231,3.1503,3.3437,5.0854,3.6788,3.9238,4.2917,5.4157,4.5994,5.1795,5.1691,4.6728,5.2935
long-term-debt-capital,0.3249,0.3478,0.2784,0.1504,0.2041,0.2102,0.1703,0.2159,0.2307,0.2724,0.2458,0.2114,0.1564,0.1799,0.2143,0.2191,0.2039,0.1877,0.1924,0.172,0.2236,0.2167,0.2294,0.2121,0.0902,0.0988,0.1292,0.1154,0.1066,0.1327,0.1632,0.1636,0.1802,0.1234,0.042,0.0471,0.0009,0.0344,0.0998,0.0043,0.0385,0.1117,0.1342,0.1238,0.1085,0.1748,0.1288,0.1029,0.1645,0.0084,0.0112,0.0142,0.0051,0.0062,0.0076,0.009,0.0054,0.0063,
debt-equity-ratio,0.5923,0.6339,0.5116,0.1837,0.2789,0.2887,0.2307,0.2949,0.3136,0.3863,0.3322,0.2746,0.1899,0.2243,0.2787,0.285,0.2638,0.2355,0.2436,0.213,0.2932,0.2818,0.3028,0.2746,0.1031,0.1151,0.1531,0.1339,0.1238,0.1575,0.1988,0.1992,0.2242,0.1446,0.046,0.0516,0.0045,0.0418,0.1221,0.0153,0.0519,0.1397,0.1699,0.157,0.1363,0.2275,0.1585,0.1264,0.2098,0.0173,0.0206,0.0245,0.0097,0.0106,0.0121,0.0136,0.0085,0.0108,0.0014
gross-margin,23.3448,24.8669,22.987,21.4906,23.0512,23.5921,21.4266,22.1093,20.5684,23.5336,21.2648,20.6826,22.2596,25.4993,23.5824,24.7971,22.4536,25.3842,21.8045,23.8569,24.1212,27.9216,23.8594,23.5231,24.5002,26.3007,23.6599,23.5068,24.8655,26.5702,25.779,18.1574,23.1152,28.1897,26.7232,25.3343,27.2126,28.6509,24.7416,24.879,25.4423,27.7251,24.5905,22.3784,22.4594,25.3033,23.8647,23.4656,24.0408,26.3741,24.9682,25.6328,25.4913,28.9613,25.8813,32.2613,28.7155,29.0416,27.301
operating-margin,14.3419,15.7455,13.271,12.6154,13.6428,14.7926,12.0461,12.7853,12.5087,15.0387,12.5045,12.0554,13.6455,16.6239,13.222,14.5415,14.2167,16.2677,11.8914,13.5471,14.5118,18.1852,13.6368,13.6608,15.0453,16.5383,13.441,13.772,15.3538,16.57,15.7729,5.8193,14.4985,18.1633,15.3011,14.6286,16.3545,18.4648,13.2249,12.1251,14.0976,16.3883,13.4049,11.8125,12.5572,13.8429,12.6782,12.9932,12.8027,14.7099,12.383,13.5251,13.0053,16.0039,12.4049,17.8737,16.3446,16.6637,14.214
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.8728,19.8761,12.9767,13.897,13.1451,14.3382,11.5652,6.1436,9.4398,9.0886,8.0418,10.6346,10.0595,12.6872,9.349,7.1145,13.9419,15.9927,11.5586,5.2122,14.2094,17.7606,13.2756,13.4597,14.8463,16.3454,13.229,13.5982,15.1267,16.3449,15.5172,15.371,14.2556,17.9847,15.176,14.5574,16.2628,18.3188,14.2486,12.012,13.9193,16.1739,13.2284,11.5803,12.1718,14.1278,12.4042,22.0659,9.1555,10.7787,8.7031,9.9036,9.1562,11.8629,8.2023,10.1087,12.9603,13.331,10.535
net-profit-margin,7.7159,11.5689,7.264,8.8693,7.1622,8.0332,6.569,6.7297,4.9984,4.7395,4.9362,5.7746,5.4378,6.6482,5.1641,5.423,6.9222,7.1175,5.3935,4.2499,6.7116,8.0728,6.0602,5.6279,0.3448,7.3487,5.9293,6.627,7.3476,7.5814,7.1554,14.909,6.8689,8.1787,6.6019,7.7765,7.2568,8.2269,6.293,4.5422,6.076,6.994,5.7174,4.6702,5.3587,6.0246,5.2706,5.6303,5.6604,6.4948,5.2831,6.1997,1.6664,6.226,4.4295,5.6186,7.2214,8.2261,6.571
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.0363,1.9428,2.0875,2.2789,2.1141,2.1309,2.0546,2.1684,2.0381,1.9883,1.9674,2.1901,2.1656,2.1691,2.1426,2.2456,2.2688,2.3028,2.1425,2.3083,2.176,2.1597,2.025,2.1003,2.3055,2.285,2.0525,2.2044,2.1848,2.0967,1.9908,1.8431,1.9807,1.9917,1.8959,2.0223,2.1023,2.1922,1.9668,2.1335,2.0899,2.1222,1.828,1.7874,1.6986,1.6144,1.5821,1.6522,1.3845,1.5336,1.5404,1.5233,1.5686,1.649,1.5795,1.4145,1.6289,1.7049,1.6535
