,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,1.2936,1.7146,1.7261,1.6335,1.5902,1.5327,1.4548,1.3961,1.6169,1.5238,1.5887,1.621,1.5742,1.6369,1.6615,1.7382,2.0556,2.0384,2.0306,2.0756,2.1693,2.1691,2.3001,2.3305,1.8813,1.8048,1.809,1.7553,1.7849,1.7973,1.7464,1.6472,1.9718,1.7728,2.1168,1.8608,2.1352,2.1144,2.0237,1.9855,1.9717,1.9207,1.7555,1.7839,1.6343,1.6218,1.6742,1.4843,1.6158,1.7279,1.7945,1.7952,1.9639,2.0445,2.0177,1.8695,1.7906,1.8294
long-term-debt-capital,,,,,,,,,0.152,0.1766,0.1371,0.1413,0.1506,0.1558,0.1745,0.1635,0.1672,0.1776,0.1882,0.1934,0.1891,0.1972,0.2,0.208,,0.0038,0.0039,0.0041,0.0043,0.0043,0.0046,0.005,0.0043,0.0094,0.0108,0.0138,0.0128,0.0164,0.0169,0.0175,0.0187,0.0257,0.0301,0.0306,0.033,0.0425,0.0447,0.0469,0.0478,0.0642,0.0581,0.0583,0.0616,0.0715,0.0741,0.08,0.0777,0.0803
debt-equity-ratio,0.2282,,,,0.0121,0.1579,0.2444,0.23,0.2611,0.4228,0.3512,0.3818,0.4146,0.4689,0.4463,0.2873,0.2837,0.3054,0.3245,0.2707,0.2797,0.2792,0.2832,0.2954,0.1036,0.1463,0.1308,0.1068,0.1196,0.1127,0.1379,0.1588,0.0123,0.1084,0.0159,0.034,0.0169,0.0214,0.0271,0.0281,0.0264,0.0377,0.0627,0.0393,0.1127,0.1347,0.078,0.11,0.0613,0.0784,0.0717,0.0719,0.0763,0.0806,0.0838,0.0911,0.0883,0.0957
gross-margin,42.5527,40.8263,42.6586,42.253,44.2251,43.6361,44.6279,42.3663,41.9564,41.5561,44.389,43.8029,44.0971,41.9538,40.9061,32.2677,40.175,42.4724,44.3188,41.8767,43.2972,42.1718,43.5106,42.6657,42.7514,41.6001,42.9082,42.7517,43.6176,41.1921,42.9782,41.7711,43.0765,44.5665,46.0185,42.3684,44.0067,43.3727,44.558,44.3845,42.4107,43.4239,43.0451,44.2942,41.8461,40.8104,42.3536,43.3343,40.2433,41.8289,41.2909,42.0249,41.1099,41.3391,41.5174,42.9358,43.8251,42.794
operating-margin,6.527,14.0878,15.0742,15.0824,12.6921,14.9473,17.9219,14.4361,13.9855,13.5857,2.8928,18.1504,15.8812,16.7425,15.4141,-11.4741,18.3982,19.2303,17.5441,19.5982,19.0594,16.3832,19.9569,20.9064,21.3068,20.2645,20.2669,22.1871,21.7778,19.9645,20.6159,22.2189,21.6327,23.3165,23.6314,22.8192,22.6217,23.1494,22.0162,23.4735,20.1008,22.0793,19.4126,22.8752,18.1582,20.1768,19.3009,23.163,15.6063,19.5282,18.0587,21.443,18.3749,19.2153,17.8811,23.2497,21.7302,22.589
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.2657,14.4983,18.5425,17.7146,12.9742,13.0977,18.0545,14.5054,14.0171,13.6309,3.2086,18.3751,16.13,16.9051,15.6386,-10.5411,18.6033,19.3676,17.679,19.7295,19.2276,16.4606,20.0092,21.0102,21.4501,20.3529,20.3661,22.286,21.8315,20.0203,20.6672,22.2335,21.645,23.3165,23.6441,22.8523,22.4802,23.0847,21.9615,23.4327,20.0551,22.022,19.67,23.2537,18.4141,20.4785,19.6364,23.412,15.9979,19.985,18.6893,22.005,19.0254,19.8276,18.3795,23.5527,22.0404,22.7748
net-profit-margin,3.5602,11.3677,13.9271,14.521,10.2383,10.0288,-16.5512,10.8894,11.0145,8.4891,2.3109,19.7926,15.3679,15.7672,11.7554,47.1334,14.4776,13.9542,12.6467,13.0355,14.3229,11.9187,13.7681,15.2411,15.5369,14.6791,14.0453,15.8962,15.4333,14.9626,14.4296,14.0155,15.1831,15.8961,16.6403,16.1089,14.79,15.5599,14.5635,15.1202,16.7397,12.2497,13.5249,13.2381,14.6191,13.766,12.2955,15.6993,11.8894,13.7686,12.7627,18.1485,16.6118,13.4824,12.3148,15.7791,14.7685,15.4332
asset-turnover,0.2082,0.2299,0.2198,0.2464,0.2236,0.2207,0.2056,0.2191,0.2069,0.2126,0.1632,0.1516,0.171,0.1591,0.2032,0.0585,0.222,0.2195,0.2173,0.2419,0.2152,0.224,0.2098,0.222,0.2374,0.2509,0.2309,0.2627,0.2595,0.2705,0.2423,0.2877,0.2584,0.2626,0.2347,0.2806,0.2493,0.2492,0.2294,0.2781,0.2396,0.2682,0.2496,0.3,0.2614,0.2704,0.2558,0.2974,0.277,0.2872,0.2598,0.3004,0.2793,0.2999,0.2498,0.2931,0.278,0.2804
inventory-turnover,0.8963,0.9649,0.9048,1.0566,0.8429,0.9484,0.8709,0.9959,0.7981,0.8543,0.5056,0.7349,0.5266,0.5466,0.7298,0.2316,0.7328,0.6703,0.6512,0.8248,0.7234,0.8022,0.7154,0.8248,0.7746,0.8928,0.7752,0.9454,0.8562,0.9523,0.8019,1.0211,0.8431,0.8509,0.7772,1.0326,0.8295,0.8926,0.8548,1.1092,0.8199,0.9205,0.8853,1.1668,0.9697,1.1427,1.0021,1.3319,0.9171,0.962,1.0179,1.388,1.1853,1.3688,1.0868,1.3366,1.0451,1.1231
