,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-09-30
current-ratio,2.5783,2.7978,2.8139,3.0138,3.1557,3.2533,3.252,3.2628,3.3027,2.9115,4.9356,4.626,,,,,
long-term-debt-capital,0.4643,0.4212,0.4477,0.46,0.4712,0.4904,0.5222,0.5504,0.5714,0.3529,,,,,,,
debt-equity-ratio,0.9358,0.7953,0.8747,0.9101,0.9442,1.0109,1.1434,1.2768,1.3888,0.5889,,,,,,,
gross-margin,30.8592,32.8907,32.3102,28.9551,32.9498,34.841,34.9035,35.9592,34.9794,37.2093,37.3571,40.2092,41.6116,39.4526,38.8965,,
operating-margin,2.3386,7.4055,5.6004,3.125,3.818,8.5487,7.7185,12.0945,9.1123,15.1809,11.817,19.1168,18.7583,16.8224,15.3951,,
ebit-margin,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-0.305,3.9837,2.2079,0.1465,1.3598,7.8032,4.0295,8.4801,9.2887,14.4703,11.6264,18.4776,17.8996,16.6222,14.4414,,
net-profit-margin,-0.7117,2.9622,1.6155,0.0977,1.9874,6.0636,6.4132,6.9045,6.2316,9.6899,7.0521,12.8414,11.6248,9.8131,9.6049,,
asset-turnover,0.1885,0.2028,0.1855,0.2073,0.1957,0.2041,0.1727,0.2075,0.1625,0.2234,0.244,0.2765,,,,,
inventory-turnover,0.5163,0.5031,0.4897,0.6189,0.5254,0.5344,0.4676,0.5893,0.4315,0.4583,0.4833,0.5213,,,,,
receiveable-turnover,1.5004,1.5727,1.3921,1.3299,1.4518,1.5573,1.3554,1.3191,1.278,1.2825,1.4117,1.4083,,,,,
days-sales-in-receivables,59.9848,57.2268,64.6527,67.6758,61.9927,57.7932,66.4018,68.2298,70.4233,70.1744,63.7548,63.9047,,,,,
roe,-0.297,1.3557,0.699,0.1634,0.9216,2.9811,2.8679,3.9842,2.9797,4.3668,2.0228,4.2205,,,,,
return-on-tangible-equity,-2.2847,4.69,2.5974,0.6312,3.7108,14.0571,16.6423,32.9695,52.7094,5.9809,2.3382,5.1556,,,,,
roa,-0.1246,0.611,0.2997,0.0709,0.3993,1.2476,1.1175,1.4518,1.0225,2.1651,1.7362,3.5668,,,,,
roi,-0.1591,0.7847,0.3861,0.0883,0.4873,1.5191,1.3702,1.7914,1.2772,2.8259,2.0228,4.2205,,,,,
book-value-per-share,11.416,11.3781,11.2595,11.2631,11.1348,10.8926,10.529,10.071,9.5429,9.1507,14.81,,,,,,
operating-cash-flow-per-share,1.2794,0.8545,0.5222,2.2214,1.7396,1.1849,1.0497,1.9632,1.5737,0.873,0.5093,1.9682,1.443,0.7135,,,
free-cash-flow-per-share,0.9321,0.6571,0.4334,1.6901,1.3411,1.0052,0.9817,1.4316,1.3737,0.6958,0.3767,1.2016,0.8011,0.2069,,,
