,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,14.0181,17.106,19.264,16.1809,21.6827,20.5268,23.2028,17.0345,21.6216,10.3793,9.8093,9.0895,8.9544,9.2777,11.2449,7.6553,9.5077,10.5799,11.017,19.7025,17.6774,13.0592,23.7759,4.3742,7.4297,,,,,
long-term-debt-capital,0.0449,0.0447,0.0465,,,,,,,,,,,,,,,,,,,,,,0.1283,,,,,
debt-equity-ratio,0.0598,0.0583,0.0597,,,,,,,,,,,,,,,,,,,,,0.2918,0.2499,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,
operating-margin,-1162.619,-76.397,-1467.806,-964.5179,-922.7134,-811.5604,-855.198,-772.9014,-848.6396,-978.4429,-697.9218,-652.4335,-682.4625,-615.18,-21.7351,-476.0317,-351.6967,-229.0362,-340.7014,-389.2484,-324.715,-424.4973,-369.1564,-29.954,-161.2178,53.5475,20.89,,-175.621,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1078.969,-64.7221,-1368.094,-911.1898,-889.8404,-784.9932,-810.9219,-752.1185,-845.7864,-970.3304,-685.587,-571.0684,-691.8469,-689.0767,27.8062,-711.6691,-285.3911,-181.6162,-329.7285,-471.1687,-227.252,-405.8362,-275.7787,-157.1912,-433.5598,49.4873,10.9712,,-184.7631,
net-profit-margin,-1078.161,-64.563,-1368.813,-910.2464,-889.4721,-785.2917,-811.2314,-753.7654,-844.4261,-970.5267,-685.749,-572.374,-691.1814,-689.0767,27.8062,-711.6691,-285.3911,-181.6162,-329.7285,-471.1687,-227.252,-405.8362,-275.7787,-109.5131,-580.4449,2.8115,-15.6142,,-184.7631,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.6121,5.0791,1.0,0.5421,1.0,1.0044,1.0,1.0378,1.0469,1.0611,1.0378,1.0421,0.9954,0.9864,5.9539,1.0488,1.0519,1.0815,1.0916,1.1105,1.0867,1.093,1.256,3.1861,1.0407,,,,,
days-sales-in-receivables,147.0413,17.7196,90.0,166.0142,90.0,89.6092,90.0,86.7207,85.9688,84.8185,86.7207,86.368,90.4193,91.2394,15.1162,85.8134,85.5596,83.215,82.4457,81.0457,82.8164,82.3418,71.6571,28.2476,86.4801,,,,,
roe,-9.761,-3.5731,-7.4536,-11.894,-9.0811,-8.6872,-7.4111,-7.6467,-7.0985,-15.7369,-12.1961,-8.5502,-9.0483,-9.0283,1.9445,-24.7833,-8.9978,-7.4482,-9.9963,-11.2724,-4.756,-9.7452,-5.0538,-31.3257,-24.8283,,,,,
return-on-tangible-equity,-9.761,-3.5731,-7.4536,-11.894,-9.0811,-8.6872,-7.4111,-7.6467,-7.0985,-15.7369,-12.1961,-8.5502,-9.0483,-9.0283,1.9445,-24.7833,-8.9978,-7.4482,-9.9963,-11.2724,-4.756,-9.7452,-5.0538,-31.3257,-24.8283,,,,,
roa,-8.7304,-3.2425,-6.7912,-11.0333,-8.5707,-8.2318,-7.0856,-7.1759,-6.6752,-14.2323,-11.0885,-7.7889,-7.9008,-8.0283,1.7476,-18.5046,-7.4852,-6.1981,-8.3008,-9.4565,-3.9719,-7.7104,-4.089,-14.6365,-14.5474,,,,,
roi,-9.3227,-3.4133,-7.1067,-11.894,-9.0811,-8.6872,-7.4111,-7.6467,-7.0985,-15.7369,-12.1961,-8.5502,-9.0483,-9.0283,1.9445,-24.7833,-8.9978,-7.4482,-9.9963,-11.2724,-4.756,-9.7452,-5.0538,-31.3257,-21.6418,,,,,
book-value-per-share,8.7654,9.4762,9.7167,6.3128,6.9093,7.266,7.7375,8.0691,8.0725,4.8796,5.3975,5.8977,6.0886,6.5326,7.0022,3.2799,3.9698,4.2268,4.4498,4.8189,5.2279,5.3536,5.7582,2.0393,2.6564,,,,,
operating-cash-flow-per-share,-1.4665,-0.7688,-0.5146,-2.0634,-1.4262,-0.9955,-0.5148,-1.8937,-1.4162,-1.0076,-0.5667,-1.1901,-0.7432,-0.4006,0.0243,-1.3275,-0.9593,-0.6928,-0.4237,-1.6887,-1.2432,-0.7367,-0.4113,-2.0889,-4.1502,-2.4113,-0.0755,,-12.2646,
free-cash-flow-per-share,-1.5075,-0.793,-0.5261,-2.1198,-1.4675,-1.0255,-0.5259,-2.0025,-1.5086,-1.0834,-0.5843,-1.2804,-0.8029,-0.4425,0.0116,-1.3563,-0.9792,-0.7002,-0.4285,-1.705,-1.2588,-0.7487,-0.4163,-2.1215,-4.1927,-2.4393,-0.0837,,-12.3988,
