,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,742.33,436.94,476.406,526.106,254.116,301.096,340.014,373.477,401.972,443.745,489.753,547.897,603.49,423.897,462.352,218.989,242.847,273.393,299.899,324.618,341.065,358.854,372.82,188.36,198.675,206.761,102.985,108.548,23.685,21.775,26.387,31.949,36.763,41.015,46.548,37.849,34.992,38.318,42.267,48.473,56.804,68.214,48.287,62.382,75.535,93.107,110.17,131.253,144.951,156.893,72.365,85.783,97.804,112.661,61.121,60.125,67.9995,71.3982,43.6526
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,2.954,3.323,3.692,4.062,4.431,4.8,5.169,5.538,5.907,6.277,6.646,7.015,7.385,7.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,17.053,17.193,17.27,6.725,4.537,6.304,3.148,2.829,2.844,2.997,3.143,3.16,3.35,3.486,1.615,0.704,0.405,0.333,0.278,0.287,0.178,0.111,0.143,0.179,0.12,0.056,,,0.002,0.007,0.011,0.014,0.078,0.086,0.095,0.119,0.136,0.15,0.136,0.145,0.173,0.192,0.238,0.192,0.248,0.261,0.236,0.283,0.3,0.187,0.096,0.256,0.096,0.096,0.098,0.098,0.0218,,
total-long-term-assets,23.256,23.943,24.699,14.096,12.34,13.864,11.026,11.029,11.742,12.57,13.26,13.256,13.894,14.137,4.238,2.907,2.473,2.146,2.064,0.84,0.698,0.611,0.686,0.758,0.61,0.148,0.03,0.042,0.065,0.099,0.132,0.165,0.259,0.294,0.339,0.545,0.758,0.848,1.006,1.207,1.671,1.849,2.084,2.295,2.668,2.973,3.155,3.331,3.395,3.328,3.383,3.761,3.11,2.907,2.397,2.381,2.2711,2.2323,2.2717
total-assets,765.586,460.883,501.105,540.202,266.456,314.96,351.04,384.506,413.714,456.315,503.013,561.153,617.384,438.034,466.59,221.896,245.32,275.539,301.963,325.458,341.763,359.465,373.506,189.118,199.285,206.909,103.015,108.59,23.75,21.874,26.519,32.114,37.022,41.309,46.887,38.394,35.75,39.166,43.273,49.68,58.475,70.063,50.371,64.677,78.203,96.08,113.325,134.584,148.346,160.221,75.748,89.544,100.914,115.568,63.518,62.506,70.2706,73.6305,45.9243
total-current-liabilities,67.744,63.814,74.983,59.565,41.807,49.214,46.089,49.03,36.143,40.913,45.265,42.585,39.149,29.022,21.122,21.902,17.735,19.378,16.651,15.834,11.253,9.339,8.033,6.979,7.87,7.776,5.695,5.948,6.086,6.76,6.433,6.165,6.409,5.947,6.139,5.959,13.168,12.984,13.55,14.707,15.248,20.936,11.436,11.051,11.202,13.889,13.472,19.287,17.155,14.326,17.272,20.534,20.767,25.306,21.743,21.701,19.6891,11.0778,11.6925
long-term-debt,6.379,6.742,6.754,,,,,,,,,0.157,,0.197,0.217,,0.239,,0.218,,0.021,,,0.008,0.002,,,,,,,,,,,,0.041,0.051,0.065,0.098,23.909,0.228,0.324,0.43,0.56,0.73,0.939,1.156,1.255,1.439,1.503,1.379,1.144,0.833,0.733,0.892,0.9267,0.8189,0.854
