,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,93.788,81.464,76.979,81.82,96.146,80.503,120.937,107.335,92.407,91.972,104.837,107.537,87.628,76.519,79.803,66.895,75.335,70.325,77.596,41.57,37.626,48.192,28.18,28.969,32.516,19.988,21.164,16.332,15.305,12.882,11.897,10.121,9.634,,,,,
total-current-assets,536.913,471.494,452.514,450.417,490.733,489.222,503.893,471.55,463.824,459.512,424.013,427.927,392.947,392.367,393.265,294.736,378.271,325.905,325.378,274.143,229.84,449.596,157.037,145.126,142.88,127.089,212.292,140.981,87.031,184.132,62.222,112.605,36.357,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,2513.269,2524.638,2531.795,2485.402,2821.2,2830.869,2870.437,2838.522,2817.313,2795.315,2767.505,2764.498,2786.394,2917.197,2873.958,2187.79,2040.116,2004.542,1962.563,824.622,826.2679,686.547,686.151,682.117,666.193,649.587,581.833,573.39,347.156,271.511,270.802,195.047,165.968,0.0,0.0,,0.0,0.0
other-long-term-assets,543.153,626.806,624.72,125.451,87.379,76.061,55.172,62.569,91.545,103.39,120.984,124.826,483.2,82.466,49.618,38.515,69.408,106.582,69.033,25.349,42.049,32.796,32.066,27.307,24.178,25.349,22.521,32.1,14.383,15.994,16.922,16.366,9.501,,,,,
total-long-term-assets,6191.212,6318.924,6333.003,5722.087,6038.851,6013.925,6080.836,5952.952,5878.762,5768.51,5641.777,5596.799,6060.031,6292.132,6303.094,3984.472,3766.968,3600.48,3301.767,1932.812,1910.628,1142.956,1125.908,1079.533,1020.106,987.083,872.885,842.4319,516.727,402.321,391.03,300.391,233.252,,,,,
total-assets,6728.125,6790.418,6785.517,6172.504,6529.584,6503.147,6584.729,6424.502,6342.586,6228.022,6065.79,6024.726,6452.978,6684.499,6696.359,4279.208,4145.239,3926.385,3627.145,2206.955,2140.468,1592.552,1282.945,1224.659,1162.986,1114.172,1085.177,983.413,603.758,586.453,453.252,412.996,269.609,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,458.206,430.688,424.671,416.377,390.743,394.118,389.641,377.389,341.206,346.967,335.857,342.865,380.238,419.801,408.81,290.203,264.452,243.108,230.66,165.934,142.54,102.665,97.905,114.69,101.273,86.679,70.77,71.851,57.822,44.305,46.726,40.668,36.404,,,,,
long-term-debt,3612.529,3697.771,3726.462,3159.375,3181.962,3187.788,3208.088,3205.058,3234.146,3240.473,3246.577,3253.004,3583.879,3578.383,3497.569,2195.384,2092.317,1914.555,2018.681,1052.67,1016.002,555.812,653.626,601.941,571.955,556.276,560.098,465.638,284.632,288.573,299.514,270.709,131.375,,,,,
other-non-current-liabilities,141.181,124.31,122.188,154.267,165.663,160.809,183.793,166.434,179.329,171.678,165.995,164.859,147.15,151.628,124.492,78.602,87.008,82.218,81.382,43.506,30.579,20.959,19.865,19.347,18.246,18.11,13.628,12.376,6.574,7.231,6.332,5.254,24.844,,,,,
total-long-term-liabilities,3849.228,3937.384,3957.503,3422.82,3458.592,3455.728,3493.469,3474.242,3513.795,3504.195,3494.0,3514.137,3830.619,3828.418,3724.679,2305.977,2210.235,2016.973,2146.698,1160.056,1111.352,594.665,688.89,629.259,595.18,576.653,577.548,479.012,292.373,295.804,305.846,275.963,156.219,,,,,
total-liabilities,4307.434,4368.072,4382.174,3839.197,3849.335,3849.846,3883.11,3851.631,3855.001,3851.162,3829.857,3857.002,4210.857,4248.219,4133.489,2596.18,2474.687,2260.081,2377.358,1325.99,1253.892,697.33,786.795,743.949,696.453,663.332,648.318,550.863,350.195,340.109,352.572,316.631,192.623,0.0,0.0,,0.0,0.0
common-stock-net,0.877,0.876,0.876,0.874,0.874,0.873,0.873,0.871,0.87,0.87,0.869,0.867,0.866,0.865,0.865,0.707,0.707,0.706,0.654,0.592,0.592,0.592,0.502,0.501,0.5,0.5,0.5,0.499,0.418,0.417,0.321,0.321,0.176,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,373.0,330.434,282.294,252.823,584.46,538.228,479.392,428.573,358.944,313.326,263.696,220.139,178.321,296.129,239.684,213.996,179.43,149.88,116.036,101.442,79.313,53.911,31.46,18.402,6.122,-8.242,-20.439,-24.177,-28.542,-34.992,-40.901,-44.58,-28.671,,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,2420.691,2422.346,2403.343,2333.307,2680.249,2653.301,2701.619,2572.871,2487.585,2376.86,2235.933,2167.724,2242.121,2436.28,2562.87,1683.028,1670.552,1666.304,1249.787,880.965,886.576,895.222,496.15,480.71,466.533,450.84,436.859,432.55,253.563,246.344,100.68,96.365,76.986,0.0,0.0,,0.0,0.0
total-liabilities-share-holders-equity,6728.125,6790.418,6785.517,6172.504,6529.584,6503.147,6584.729,6424.502,6342.586,6228.022,6065.79,6024.726,6452.978,6684.499,6696.359,4279.208,4145.239,3926.385,3627.145,2206.955,2140.468,1592.552,1282.945,1224.659,1162.986,1114.172,1085.177,983.413,603.758,586.453,453.252,412.996,269.609,0.0,0.0,,0.0,0.0
