,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,490.144,533.705,557.095,613.78,695.542,753.782,802.993,445.261,528.307,604.681,506.866,559.892,600.943,484.159,329.469,337.329,371.66,390.152,364.141,359.546,247.56,245.163,172.417,169.747,198.818,102.533,,,,,
net-property-plant-equipment,24.06,23.016,23.974,24.32,24.613,24.134,23.732,24.431,24.019,24.771,24.139,25.337,26.261,25.134,22.95,23.22,21.127,19.328,14.297,6.386,3.677,3.21,3.452,3.758,3.551,3.818,,,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,95.833,98.5,57.828,0.238,0.416,0.595,1.104,0.891,1.07,1.249,2.888,1.615,1.339,1.382,0.838,0.611,0.678,0.66,0.64,0.59,0.454,1.026,1.038,0.575,0.582,2.195,,,,,
total-long-term-assets,208.472,250.165,265.036,244.677,233.537,244.453,237.133,169.136,158.893,155.919,50.45,59.202,71.099,73.442,66.648,82.736,77.426,84.231,110.195,132.358,22.048,26.867,9.495,31.458,20.251,8.719,,,,,
total-assets,698.616,783.87,822.131,858.457,929.079,998.235,1040.126,614.397,687.2,760.6,557.316,619.094,672.042,557.601,396.117,420.065,449.086,474.383,474.336,491.904,269.608,272.03,181.912,201.205,219.069,111.252,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,92.432,89.504,80.907,93.503,84.746,84.87,74.699,94.941,88.112,93.648,82.429,88.433,78.003,67.264,45.055,52.888,49.756,45.198,36.379,61.089,35.084,44.638,34.081,36.93,37.377,36.979,,,,,
long-term-debt,108.096,110.073,66.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,,,0.002,0.003,0.006,0.262,0.01,,,,,
total-long-term-liabilities,157.893,161.689,120.967,77.417,84.12,90.223,99.833,143.953,149.282,157.96,167.507,172.07,192.59,201.259,18.689,22.059,23.673,25.02,11.14,6.449,26.775,26.844,26.488,32.793,39.097,45.401,,,,,
total-liabilities,250.325,251.193,201.874,170.92,168.866,175.093,174.532,238.894,237.394,251.608,249.936,260.503,270.593,268.523,63.744,74.947,73.429,70.218,47.519,67.538,61.859,71.482,60.569,69.723,76.474,82.38,0.0,,0.0,0.0,0.0
common-stock-net,0.059,0.059,0.059,0.058,0.058,0.058,0.058,0.049,0.049,0.048,0.042,0.042,0.042,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.035,0.034,0.032,0.031,0.031,0.004,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-1413.755,-1307.582,-1197.711,-1104.633,-1012.839,-918.175,-849.43,-798.061,-709.776,-632.639,-549.557,-483.151,-426.665,-363.831,-307.878,-284.68,-244.057,-203.802,-171.905,-166.948,-140.284,-143.988,-125.692,-113.444,-101.062,-89.885,,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,448.291,532.677,620.257,687.537,760.213,823.142,865.594,375.503,449.806,508.992,307.38,358.591,401.449,289.078,332.373,345.118,375.657,404.165,426.817,424.366,207.749,200.548,121.343,131.482,142.595,28.872,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,698.616,783.87,822.131,858.457,929.079,998.235,1040.126,614.397,687.2,760.6,557.316,619.094,672.042,557.601,396.117,420.065,449.086,474.383,474.336,491.904,269.608,272.03,181.912,201.205,219.069,111.252,0.0,,0.0,0.0,0.0
