,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,115.987,122.137,115.206,114.245,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
total-current-assets,299.008,316.396,347.233,468.275,397.526,407.417,436.981,358.356,333.938,332.389,255.053,296.321,165.147,192.522,219.53,141.017,158.804,154.962,102.695,110.48,119.84,126.0512,133.7389,33.431,,,,2.24
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,355.365,364.466,373.566,383.206,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,128.048,131.763,160.482,137.036,2.492,2.638,2.018,2.274,1.287,1.499,1.299,1.283,1.283,1.281,1.281,1.281,0.305,0.305,0.305,0.305,0.125,0.1253,0.1253,0.125,,,,
total-long-term-assets,496.212,507.132,543.56,528.265,6.3,6.364,5.732,5.891,4.651,4.433,4.203,3.895,3.971,3.113,1.91,1.923,0.784,0.703,0.764,0.515,0.33,0.3064,0.2895,1.234,,,,
total-assets,795.22,823.528,890.793,996.54,403.826,413.781,442.713,364.247,338.589,336.822,259.256,300.216,169.118,195.635,221.44,142.94,159.588,155.665,103.459,110.995,120.17,126.3576,134.0284,34.665,0.0,0.0,0.0,2.24
total-current-liabilities,223.148,185.618,202.613,265.693,177.399,164.42,151.419,141.106,151.357,181.591,133.463,114.268,26.139,20.932,13.409,11.868,14.166,5.903,8.841,6.885,6.522,4.7697,6.1232,3.902,,,,4.92
long-term-debt,28.811,30.069,31.304,,,,,,,,,,,,,,,,,,,0.0064,0.0074,,,,,
other-non-current-liabilities,30.06,29.898,29.736,29.573,0.041,0.069,0.021,0.022,0.023,0.024,0.026,0.027,0.007,0.009,0.012,0.005,0.01,0.01,0.009,0.032,0.034,0.0295,0.0304,0.008,,,,
total-long-term-liabilities,104.51,118.554,121.801,94.919,83.886,83.437,94.197,100.567,87.357,98.233,95.176,117.828,42.269,41.415,40.269,0.074,0.01,0.01,0.009,0.032,0.034,0.0359,0.0378,0.008,,,,
total-liabilities,327.658,304.172,324.414,360.612,261.285,247.857,245.616,241.673,238.714,279.824,228.639,232.096,68.408,62.347,53.678,11.942,14.176,5.913,8.85,6.917,6.556,4.8056,6.161,3.91,0.0,0.0,0.0,4.92
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,,,,,0.0002,0.0002,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-699.571,-644.986,-586.816,-514.395,-454.341,-428.294,-394.225,-370.807,-386.33,-363.196,-341.679,-297.136,-259.274,-222.966,-187.187,-161.389,-141.532,-122.057,-111.368,-100.673,-90.303,-80.9545,-73.3362,-127.072,,,,-59.58
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,467.562,519.356,566.379,635.928,142.541,165.924,197.097,122.574,99.875,56.998,30.617,68.12,100.71,133.288,167.762,130.998,145.412,149.752,94.609,104.078,113.614,121.552,127.8674,30.755,0.0,0.0,0.0,-2.67
total-liabilities-share-holders-equity,795.22,823.528,890.793,996.54,403.826,413.781,442.713,364.247,338.589,336.822,259.256,300.216,169.118,195.635,221.44,142.94,159.588,155.665,103.459,110.995,120.17,126.3576,134.0284,34.665,0.0,0.0,0.0,2.24
