,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,
inventory,8.641,8.286,,0.085,,,,,,,,,,,,
other-current-assets,6.456,14.624,18.824,9.944,8.397,3.575,5.628,1.302,1.249,3.939,,,,,0.21,
total-current-assets,278.441,327.711,350.885,267.235,329.348,388.721,250.563,266.845,287.88,122.607,,,,,64.52,
net-property-plant-equipment,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,84.529,86.006,87.468,88.914,40.969,1.714,1.191,1.221,1.251,1.281,0.0,,0.0,0.0,1.46,0.0
other-long-term-assets,14.92,14.96,15.028,3.416,3.054,3.047,0.661,0.661,0.114,0.102,,,,,0.06,
total-long-term-assets,104.726,106.409,107.832,98.026,49.78,6.284,1.902,1.959,1.469,1.497,,,,,1.52,
total-assets,383.167,434.12,458.717,365.261,379.128,395.005,252.465,268.804,289.349,124.104,0.0,0.0,0.0,0.0,66.06,0.0
total-current-liabilities,43.121,50.569,53.11,80.661,90.6,97.211,98.296,88.466,73.457,69.047,,,,,10.76,
long-term-debt,,,,,,,,,,,,,,,,
total-long-term-liabilities,14.558,14.909,16.743,7.876,7.117,7.39,7.869,12.513,18.049,138.04,,,,,0.03,
total-liabilities,57.679,65.478,69.853,88.537,97.717,104.601,106.165,100.979,91.506,207.087,0.0,,0.0,0.0,10.8,0.0
common-stock-net,0.094,0.093,0.093,0.089,0.087,0.086,0.067,0.067,0.067,,0.0,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-563.676,-532.178,-494.855,-522.042,-451.485,-387.894,-325.848,-296.221,-261.052,-246.958,,,,,-91.44,
comprehensive-income,-0.063,-0.11,-0.027,-0.324,-0.289,-0.297,-0.468,-0.451,-0.222,-0.084,,,,,,
other-share-holders-equity,,,,,,,,,,,0.0,,0.0,0.0,-0.07,0.0
total-share-holder-equity,325.488,368.642,388.864,276.724,281.411,290.404,146.3,167.825,197.843,-82.983,0.0,,0.0,0.0,55.26,0.0
total-liabilities-share-holders-equity,383.167,434.12,458.717,365.261,379.128,395.005,252.465,268.804,289.349,124.104,0.0,,0.0,0.0,66.06,0.0
