,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
cash-on-hand,,,,,,,,
total-current-assets,509.757,511.542,476.627,467.982,247.353,,,
net-property-plant-equipment,45.943,35.817,20.426,8.595,4.693,,,
long-term-investments,100.702,147.769,214.588,261.966,154.045,,,
goodwill-intangible-assets-total,0.301,0.452,0.603,0.754,0.904,0.0,0.0,
other-long-term-assets,38.841,38.417,37.125,34.558,28.24,,,
total-long-term-assets,185.787,222.455,272.742,305.873,187.882,,,
total-assets,695.544,733.997,749.369,773.855,435.235,0.0,0.0,0.0
total-current-liabilities,33.354,38.0,27.265,29.459,159.477,,,
long-term-debt,37.689,34.867,34.811,34.456,25.661,,,
other-non-current-liabilities,4.785,5.495,6.065,6.776,7.488,,,
total-long-term-liabilities,42.474,40.362,40.876,41.232,33.149,,,
total-liabilities,75.828,78.362,68.141,70.691,192.626,0.0,0.0,
common-stock-net,0.122,0.122,0.121,0.121,0.031,0.0,0.0,
retained-earnings-accumulated-deficit,-335.092,-284.357,-243.114,-211.528,-181.019,,,
comprehensive-income,,,,,,0.0,0.0,
total-share-holder-equity,619.716,655.635,681.228,703.164,242.609,0.0,0.0,
total-liabilities-share-holders-equity,695.544,733.997,749.369,773.855,435.235,0.0,0.0,
