,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-10-31,2005-09-30,2005-07-31,2005-06-30,2005-04-30,2005-03-31,2005-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,576.7,494.6,482.2,472.5,432.7,463.2,456.5,460.4,441.0,410.0,396.0,374.7,363.058,329.847,293.962,290.0,236.542,234.347,174.498,176.441,140.044,144.859,126.154,102.602,105.196,112.627,101.856,94.521,90.049,94.108,92.906,81.386,78.302,75.222,74.398,62.165,60.412,57.747,55.552,40.885,40.999,45.495,49.36,49.821,49.724,48.048,33.085,32.907,32.212,14.944,3.113,2.314,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.823
total-current-assets,4341.2,4168.5,3650.6,3385.0,3248.4,2836.1,3152.0,2953.9,2882.0,2789.0,2733.0,2578.2,2594.534,2361.209,2127.509,2416.0,2480.219,2533.238,2852.987,2796.029,2559.878,2341.306,2245.88,2186.857,1915.502,1678.633,1550.041,1495.6,1410.391,1276.161,811.934,941.27,817.356,700.395,669.246,646.556,558.237,491.785,430.081,373.456,332.144,300.23,286.366,277.101,270.42,228.13,218.125,204.417,190.702,186.86,206.975,236.776,147.498,168.572,193.199,217.551,235.609,,201.162,,232.036,,375.534
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,8447.5,8525.0,8598.2,8678.7,8751.0,8831.2,8911.5,8991.8,9069.0,9149.0,9260.0,9340.5,9505.17,9585.206,9677.138,9756.0,9803.42,9831.662,841.108,841.119,851.333,853.859,857.094,863.792,900.211,897.325,899.038,900.323,902.145,931.201,941.318,171.243,172.844,174.052,174.413,44.1,45.193,46.253,47.368,48.543,49.201,50.202,51.054,52.279,29.946,30.194,30.443,20.891,19.954,19.954,19.954,19.954,19.954,19.954,19.954,19.954,19.954,,19.954,,19.954,,19.954
other-long-term-assets,878.3,750.7,655.1,396.7,400.8,400.5,387.4,312.2,338.0,318.0,304.0,299.0,262.698,257.631,248.503,228.0,250.643,247.431,280.343,172.566,101.58,77.902,55.24,62.544,45.497,55.825,59.856,38.054,13.516,19.25,17.896,12.518,11.23,5.847,5.401,4.572,12.27,8.59,7.42,5.403,3.428,4.156,5.242,4.889,1.527,1.478,4.207,4.769,17.485,13.327,26.216,37.672,14.919,14.236,14.406,14.575,14.688,,15.46,,12.057,,12.956
total-long-term-assets,10473.8,10399.2,10349.0,10546.9,10595.2,10654.3,10678.2,10629.4,10761.0,10700.0,10702.0,10675.1,10698.93,10668.14,10674.94,10681.0,10672.8,10634.48,1561.938,1405.933,1331.009,1212.504,1133.786,1130.839,1134.293,1136.605,1135.84,1117.96,1095.217,1181.449,1205.53,453.481,487.686,479.18,485.283,365.481,384.02,397.809,405.682,412.945,219.862,214.755,205.276,200.45,159.923,151.059,145.869,129.94,130.403,110.03,100.762,96.761,63.503,46.009,44.725,45.16,45.491,,46.96,,48.543,,49.878
total-assets,14815.0,14567.7,13999.6,13931.9,13843.6,13490.4,13830.2,13583.3,13643.0,13489.0,13435.0,13253.3,13293.46,13029.35,12802.45,13097.0,13153.01,13167.72,4414.925,4201.962,3890.887,3553.81,3379.666,3317.696,3049.795,2815.238,2685.881,2613.56,2505.608,2457.61,2017.464,1394.751,1305.042,1179.575,1154.529,1012.037,942.257,889.594,835.763,786.401,552.006,514.985,491.642,477.551,430.343,379.189,363.994,334.357,321.105,296.89,307.737,333.537,211.001,214.581,237.924,262.711,281.1,0.0,248.122,0.0,280.579,0.0,425.412
total-current-liabilities,1091.2,1031.5,943.8,1174.0,1027.4,1044.4,942.0,952.5,972.0,856.0,837.0,822.9,1034.341,658.462,603.613,709.0,766.86,769.169,580.439,606.74,502.537,417.701,396.822,582.429,395.456,302.978,295.747,360.089,361.942,375.162,353.677,227.785,211.244,187.78,217.182,138.515,117.663,89.229,81.435,85.262,107.945,112.198,70.084,84.418,61.387,54.636,58.435,37.709,33.286,23.941,22.534,27.822,21.503,25.171,19.457,25.39,23.955,,24.714,,26.356,,138.117
long-term-debt,2573.5,2603.8,2620.8,2862.7,2894.5,2926.3,3029.0,3063.6,3096.0,3081.0,3116.0,3121.5,3153.826,3367.531,3385.742,3405.0,3474.604,3498.31,114.912,116.599,108.53,93.015,83.917,97.23,89.251,95.854,101.0,101.0,113.0,180.0,247.0,,0.286,0.378,0.462,4.462,4.024,4.099,9.356,10.421,10.414,9.962,141.347,141.425,194.28,196.855,196.927,194.499,194.57,176.638,176.264,176.283,176.0,150.025,150.056,150.088,150.11,,150.149,,150.088,,150.0
other-non-current-liabilities,468.4,427.7,422.3,338.8,309.2,288.3,303.8,309.1,278.0,290.0,242.0,219.6,257.398,233.941,214.903,195.0,241.363,347.369,202.672,169.559,151.81,161.416,151.963,154.717,196.715,184.111,177.961,161.794,158.231,152.754,147.997,32.471,27.78,27.956,25.261,9.324,8.537,3.847,2.303,2.158,5.485,5.455,4.594,3.801,0.916,0.9,0.593,0.593,0.624,,,,,,,,,,,,,,
total-long-term-liabilities,3356.6,3372.7,3349.2,3592.6,3646.5,3678.6,3775.5,3737.7,3727.0,3758.0,3742.0,3736.6,3755.018,4171.546,4136.555,4129.0,4133.286,3845.679,317.584,293.204,265.311,254.527,281.866,353.188,299.573,300.72,300.081,282.621,271.231,332.754,450.507,32.474,38.07,38.293,35.982,13.786,12.778,8.151,11.853,12.783,16.823,16.34,146.847,146.132,195.196,197.755,197.52,195.092,195.194,176.638,176.264,181.038,180.902,155.074,155.252,155.431,155.551,,155.737,,155.823,,156.992
total-liabilities,4447.8,4404.2,4293.0,4766.6,4673.9,4723.0,4717.5,4690.2,4699.0,4614.0,4579.0,4559.5,4789.359,4830.008,4740.168,4838.0,4900.146,4614.848,898.023,899.944,767.848,672.228,678.688,935.617,695.029,603.698,595.828,642.71,633.173,707.916,804.184,260.259,249.314,226.073,253.164,152.301,130.441,97.38,93.288,98.045,124.768,128.538,216.931,230.55,256.583,252.391,255.955,232.801,228.48,200.579,198.798,208.86,202.405,180.245,174.709,180.821,179.506,,180.451,,182.179,,295.109
common-stock-net,,,,,,,0.0,,0.0,,,,0.023,0.023,0.023,,0.023,0.023,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.018,0.006,0.018,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,,0.003,,0.003,,0.003
retained-earnings-accumulated-deficit,3750.8,3283.2,2823.4,2325.8,2370.9,2040.0,2497.4,2242.1,2212.0,2134.0,1969.0,1817.6,1724.809,1387.504,1272.561,1181.0,1113.791,1297.548,1127.333,1036.01,882.678,704.947,538.452,379.098,398.09,304.305,208.42,126.203,45.23,-46.948,-83.206,-128.619,-176.789,-242.359,-277.104,-303.934,-330.384,-358.257,-380.031,-400.964,-638.092,-664.823,-681.625,-696.13,-711.466,-731.154,-733.528,-729.279,-716.947,-696.866,-669.683,-637.581,-598.331,-566.459,-533.294,-506.067,-483.185,,-448.111,,-415.469,,-383.019
comprehensive-income,-48.2,-57.9,-20.5,-9.7,6.9,-2.9,-45.7,-34.4,-37.0,-14.0,36.0,60.5,-16.617,0.694,3.815,62.0,54.428,62.516,119.489,56.785,48.5,-32.45,-26.435,-22.857,-12.223,19.526,30.962,6.635,2.345,16.542,7.556,4.179,-3.104,-19.627,-14.275,-7.14,-4.599,21.383,10.628,-1.942,-10.637,-5.408,3.436,2.947,4.967,-1.6,-1.711,-1.443,-0.941,-0.827,-0.205,-0.177,-0.145,-0.37,-0.334,-0.315,-0.459,,-0.566,,-0.611,,-0.569
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.125,0.032,,,,,,-0.005,,
total-share-holder-equity,10367.2,10163.5,9706.6,9165.3,9169.7,8767.4,9112.7,8893.1,8944.0,8875.0,8856.0,8693.8,8504.103,8199.339,8062.277,8259.0,8252.869,8552.871,3516.902,3302.018,3123.039,2881.582,2700.978,2382.079,2354.766,2211.54,2090.053,1970.85,1872.435,1749.694,1213.28,1134.492,1055.728,953.502,901.365,859.736,811.816,792.214,742.475,688.356,427.238,386.447,274.711,247.001,173.76,126.798,108.039,101.556,92.625,96.311,108.939,124.677,8.596,34.336,63.215,81.89,101.594,,67.671,,98.4,,130.303
total-liabilities-share-holders-equity,14815.0,14567.7,13999.6,13931.9,13843.6,13490.4,13830.2,13583.3,13643.0,13489.0,13435.0,13253.3,13293.46,13029.35,12802.45,13097.0,13153.01,13167.72,4414.925,4201.962,3890.887,3553.81,3379.666,3317.696,3049.795,2815.238,2685.881,2613.56,2505.608,2457.61,2017.464,1394.751,1305.042,1179.575,1154.529,1012.037,942.257,889.594,835.763,786.401,552.006,514.985,491.642,477.551,430.343,379.189,363.994,334.357,321.105,296.89,307.737,333.537,211.001,214.581,237.924,262.711,281.1,,248.122,,280.579,,425.412
