,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,191.544,261.044,266.51,394.171,427.534,351.171,370.557,299.448,394.1,399.214,558.395,579.086,614.071,546.469,480.205,466.331,442.873,398.408,361.139,144.186,386.242,386.473,385.473,213.789,213.541,212.413,217.069,227.043,210.843,207.249,200.452,212.177,229.337,239.193,238.232,260.265,273.947,289.13,233.791,79.704,101.363,125.211,136.306,159.096,180.72,202.22,209.564,286.807,288.438,285.799,136.89,156.059,42.073,47.9385,50.557,20.1079,23.7273,26.8163,13.2838
notes-loans-receivable,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,28.644,25.179,29.664,26.691,27.953,30.674,31.598,34.443,36.543,37.476,36.927,37.258,38.157,39.564,42.002,40.645,37.217,34.363,35.939,40.61,19.58,21.969,20.804,17.217,14.694,13.474,11.292,12.451,12.227,13.58,14.255,15.206,15.577,15.126,16.398,16.344,16.826,15.431,12.041,9.415,5.532,0.062,0.058,0.096,0.312,0.303,0.354,0.384,0.346,0.332,0.319,0.344,0.37,0.3446,0.3771,0.3812,0.3678,0.3977,0.3761
other-current-assets,,,,,,77.161,,45.508,,,,,,,,,30.755,,,,,,,2.883,2.394,2.394,1.931,2.0,2.3,,,,,,,,,,0.788,0.788,0.779,0.458,,,,,,,,,,,,,,,,,
total-current-assets,340.839,393.955,420.075,525.17,553.76,574.824,518.445,481.868,539.835,537.29,688.871,718.558,736.781,665.556,622.233,606.674,655.423,555.479,519.531,274.036,426.984,424.074,421.004,244.405,245.557,242.797,245.138,254.38,241.137,245.942,227.095,240.031,257.961,265.57,268.731,290.784,306.678,324.75,326.524,122.729,128.163,128.797,139.915,164.31,186.706,206.815,213.624,290.214,290.634,288.407,138.967,157.851,43.123,49.2253,51.8614,21.3864,24.5393,27.648,14.3446
net-property-plant-equipment,7.912,8.224,8.995,7.521,7.047,7.34,25.921,7.904,24.833,22.283,22.708,24.46,25.255,27.173,27.937,28.725,30.357,1.917,1.439,1.519,1.582,1.706,1.837,1.846,1.741,1.913,2.67,3.297,3.411,7.831,8.702,9.206,9.684,10.13,10.669,11.235,11.736,11.886,12.064,12.417,11.231,11.192,10.974,11.223,10.713,5.79,4.696,4.542,4.701,4.633,4.568,4.457,4.232,4.2801,4.0573,3.7111,3.7526,3.7703,3.7726
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.409,17.527,21.631,25.079,33.362,33.597,34.053,38.876,48.432,49.013,49.701,50.097,57.639,54.335,60.386,62.106,66.364,,3.33,8.76,8.763,,,,,,,,
goodwill-intangible-assets-total,610.09,614.302,635.603,639.546,653.26,684.205,1287.69,797.992,1408.644,1755.531,1706.813,1731.662,1762.019,1784.342,1819.608,1835.959,1848.947,1067.434,1082.25,1093.732,16.597,16.74,16.815,16.844,16.866,17.192,,,,,,,,,,,,,,,,,0.643,1.566,,,,,,,,,,,,,,,
other-long-term-assets,7.137,7.089,7.548,1.962,0.564,559.898,2.894,565.472,3.454,3.55,3.518,3.746,3.598,3.739,3.883,4.852,19.686,14.453,17.222,19.646,6.229,6.326,6.807,2.364,0.4,0.4,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.521,0.521,0.521,0.095,0.095,0.095,0.034,0.034,0.034,0.016,0.0156,0.0156,,,,
total-long-term-assets,625.769,630.245,652.776,650.289,662.056,1252.594,1316.505,1418.488,1436.931,1781.364,1733.039,1759.868,1790.872,1815.254,1851.428,1869.536,1898.99,1083.804,1100.911,1114.897,24.408,24.772,25.459,21.054,19.007,19.505,3.13,3.757,3.871,8.291,26.571,27.193,31.775,35.669,44.491,45.292,46.249,51.222,60.956,61.89,61.392,61.749,69.716,67.645,71.62,68.417,71.155,4.637,8.126,13.427,13.365,4.491,4.248,4.2957,4.0729,3.7111,3.7526,3.7703,3.7726
total-assets,966.608,1024.2,1072.851,1175.459,1215.816,1827.418,1834.95,1900.356,1976.766,2318.654,2421.91,2478.426,2527.653,2480.81,2473.661,2476.21,2554.413,1639.283,1620.442,1388.933,451.392,448.846,446.463,265.459,264.564,262.302,248.268,258.137,245.008,254.233,253.666,267.224,289.736,301.239,313.222,336.076,352.927,375.972,387.48,184.619,189.555,190.546,209.631,231.955,258.326,275.232,284.779,294.851,298.76,301.834,152.332,162.342,47.371,53.521,55.9343,25.0975,28.292,31.4183,18.1172
total-current-liabilities,204.074,246.302,182.981,165.444,193.291,278.872,329.419,277.718,339.697,355.142,307.939,312.877,328.908,297.064,248.594,245.921,266.844,323.97,166.582,166.488,38.839,37.193,36.094,33.121,31.06,29.968,26.717,32.957,27.544,33.454,37.73,38.994,43.475,38.362,33.592,36.711,35.981,43.77,38.919,37.561,29.281,13.661,12.593,14.392,17.404,11.68,6.935,8.018,6.53,5.302,5.971,8.377,9.501,6.9845,4.3832,3.1243,3.3279,3.0362,3.1013
long-term-debt,276.468,272.809,269.904,261.933,258.376,721.808,718.103,734.683,755.417,769.756,964.899,965.355,925.015,939.496,972.98,974.418,987.661,350.523,450.994,461.346,165.778,164.133,162.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,0.267,0.411,0.959,1.427,1.903,99.834,2.538,97.711,3.233,53.816,53.789,53.889,130.656,129.248,132.822,129.369,130.443,129.506,225.66,223.527,13.112,16.174,16.145,15.396,14.825,14.85,1.922,2.033,2.136,2.239,2.341,2.438,2.527,2.615,2.704,2.787,2.862,2.936,3.011,3.081,3.141,,,3.149,,,,,,,,,,,,,,,
total-long-term-liabilities,281.906,278.391,275.151,263.36,260.279,821.642,765.5361,832.394,836.762,1016.064,1189.883,1231.16,1260.792,1267.579,1302.095,1298.025,1367.608,602.332,782.684,762.492,215.572,218.667,219.273,59.93,59.253,61.252,50.298,52.383,42.76,44.387,46.013,47.634,49.247,50.859,52.472,54.079,55.678,56.436,58.011,4.081,4.141,4.201,4.262,4.149,1.716,1.524,0.552,0.879,1.054,1.239,1.422,1.688,1.795,1.9886,2.1888,2.3874,2.5849,2.787,2.9881
total-liabilities,485.98,524.693,458.132,428.804,453.57,1100.514,1094.955,1110.112,1176.459,1371.206,1497.822,1544.037,1589.7,1564.643,1550.689,1543.946,1634.452,926.302,949.266,928.98,254.411,255.86,255.367,93.051,90.313,91.22,77.015,85.34,70.304,77.841,83.743,86.628,92.722,89.221,86.064,90.79,91.659,100.206,96.93,41.642,33.422,17.862,16.855,18.541,19.12,13.204,7.487,8.897,7.584,6.541,7.393,10.065,11.296,8.9731,6.572,5.5117,5.9128,5.8233,6.0894
common-stock-net,0.339,0.339,0.337,0.346,0.345,0.344,0.343,0.341,0.354,0.353,0.344,0.343,0.342,0.342,0.346,0.347,0.347,0.309,0.305,0.256,0.22,0.22,0.219,0.218,0.217,0.217,0.215,0.215,0.214,0.214,0.213,0.213,0.212,0.212,0.212,0.211,0.211,0.21,0.21,0.174,0.171,0.171,0.17,0.17,0.17,0.17,0.17,0.169,0.169,0.168,0.142,0.141,0.119,0.1188,0.116,0.0991,0.0988,0.0986,0.0805
retained-earnings-accumulated-deficit,-808.97,-785.353,-664.526,-542.442,-520.165,-551.003,-530.921,-477.817,-481.277,-329.215,-315.15,-300.147,-289.59,-305.787,-305.191,-297.664,-304.865,-284.281,-317.539,-330.443,-473.451,-474.909,-473.362,-466.26,-462.606,-462.461,-460.553,-456.658,-452.972,-449.005,-452.324,-439.908,-421.327,-404.696,-385.134,-362.839,-343.059,-326.063,-304.739,-281.686,-263.274,-241.212,-214.758,-188.335,-166.573,-142.996,-125.989,-116.688,-106.965,-99.933,-92.998,-82.794,-75.354,-66.007,-59.3381,-54.2037,-49.989,-46.4124,-43.1593
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,480.628,499.507,614.719,746.655,762.246,726.904,739.995,790.244,800.307,947.448,924.088,934.389,937.953,916.167,922.972,932.264,919.961,712.981,671.176,459.953,196.981,192.986,191.096,172.408,174.251,171.082,171.253,172.797,174.704,176.392,169.923,180.596,197.014,212.018,227.158,245.286,261.268,275.766,290.55,142.977,156.133,172.684,192.776,213.414,239.206,262.028,277.292,285.954,291.176,295.293,144.939,152.277,36.075,44.5479,49.3623,19.5858,22.3792,25.595,12.0278
total-liabilities-share-holders-equity,966.608,1024.2,1072.851,1175.459,1215.816,1827.418,1834.95,1900.356,1976.766,2318.654,2421.91,2478.426,2527.653,2480.81,2473.661,2476.21,2554.413,1639.283,1620.442,1388.933,451.392,448.846,446.463,265.459,264.564,262.302,248.268,258.137,245.008,254.233,253.666,267.224,289.736,301.239,313.222,336.076,352.927,375.972,387.48,184.619,189.555,190.546,209.631,231.955,258.326,275.232,284.779,294.851,298.76,301.834,152.332,162.342,47.371,53.521,55.9343,25.0975,28.292,31.4183,18.1172
