,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,3243.0,3176.0,3016.0,2940.0,3017.0,3063.0,2952.0,2834.0,2927.0,2961.0,2871.0,2745.0,2681.0,2671.0,2572.0,2435.0,2531.0,2567.0,2686.0,2647.0,2885.0,2954.0,2966.0,3019.0,2838.0,2773.0,2737.0,2744.0,2769.0,2592.0,2499.0,2484.0,2357.0,2230.0,2098.0,2022.0,2044.0,2112.0,2202.0,2220.0,2155.0,2061.0,2080.0,2075.0,2004.0,2134.0,2091.0,2091.0,2076.0,2206.0,2115.0,1903.0,1711.0,1520.0,1273.0,1258.0,1059.0,984.0,932.0
other-current-assets,3349.0,2011.0,2063.0,1794.0,1941.0,2008.0,1932.0,1727.0,2070.0,2694.0,1939.0,2015.0,1997.0,2164.0,1816.0,1703.0,2292.0,2397.0,2712.0,2494.0,2733.0,2489.0,3020.0,2250.0,2049.0,2208.0,2159.0,1886.0,1766.0,1787.0,1994.0,1572.0,1672.0,1366.0,1716.0,1350.0,1394.0,1321.0,1219.0,1161.0,1475.0,1488.0,1609.0,1521.0,1745.0,1579.0,1565.0,1698.0,1526.0,1521.0,1418.0,1408.0,1040.0,995.0,943.0,953.0,919.0,894.0,873.0
total-current-assets,31051.0,30746.0,35151.0,37618.0,38320.0,37970.0,40689.0,49476.0,49752.0,48442.0,46456.0,46010.0,45844.0,42947.0,42206.0,38515.0,38844.0,37736.0,35064.0,34713.0,36048.0,34328.0,28302.0,27367.0,30675.0,29673.0,28695.0,31209.0,32605.0,29562.0,26855.0,27593.0,24430.0,25481.0,21689.0,23129.0,22930.0,20164.0,19809.0,18932.0,19974.0,17696.0,16076.0,15221.0,15620.0,14527.0,14527.0,13041.0,11706.0,11196.0,10527.0,11712.0,10656.0,9503.0,11157.0,9235.0,9193.0,8025.0,7424.0
net-property-plant-equipment,4901.0,4882.0,4892.0,4958.0,4899.0,4922.0,4943.0,4989.0,4914.0,4980.0,4960.0,4961.0,4912.0,4884.0,4885.0,4907.0,4988.0,5050.0,5123.0,5223.0,5267.0,5371.0,5365.0,5349.0,5283.0,5293.0,5296.0,5326.0,5381.0,5437.0,5392.0,5420.0,5391.0,5516.0,5455.0,5522.0,5643.0,5630.0,5619.0,5738.0,5743.0,5800.0,5804.0,5879.0,5972.0,5968.0,5949.0,5941.0,5922.0,5970.0,6027.0,5921.0,5673.0,5438.0,5122.0,5038.0,4894.0,4863.0,4790.0
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,3414.0,3412.0,3411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,21407.0,21502.0,21816.0,22142.0,22466.0,23167.0,23550.0,23370.0,23649.0,24327.0,24679.0,25030.0,25492.0,25867.0,26252.0,26428.0,26287.0,26711.0,26986.0,27481.0,27915.0,28343.0,28398.0,28230.0,16254.0,16354.0,16501.0,16630.0,16269.0,15898.0,15566.0,14334.0,14451.0,14576.0,14312.0,13564.0,13649.0,13755.0,13797.0,13902.0,14009.0,14119.0,14218.0,14327.0,14435.0,14514.0,14618.0,14572.0,14759.0,14804.0,14912.0,15049.0,15025.0,15175.0,14138.0,14237.0,14275.0,14391.0,14484.0
other-long-term-assets,2176.0,2243.0,2138.0,1698.0,1648.0,1625.0,1982.0,2119.0,2016.0,1838.0,1767.0,1625.0,1902.0,1773.0,1773.0,1599.0,1750.0,1712.0,1779.0,1592.0,1545.0,1492.0,1525.0,1767.0,1450.0,1290.0,1148.0,1133.0,1193.0,1329.0,1437.0,1524.0,1493.0,1363.0,1258.0,1271.0,1312.0,1251.0,1141.0,1057.0,1214.0,1225.0,1282.0,1000.0,971.0,1052.0,1034.0,1085.0,1065.0,1001.0,1104.0,1106.0,1232.0,1172.0,898.0,787.0,770.0,759.0,722.0
total-long-term-assets,28484.0,28627.0,28846.0,28798.0,29013.0,29714.0,30475.0,30478.0,30579.0,31145.0,31406.0,31616.0,32306.0,32524.0,32910.0,32934.0,33025.0,33473.0,33888.0,34296.0,34727.0,35206.0,38702.0,38758.0,26398.0,22937.0,22945.0,23089.0,22843.0,22664.0,22395.0,21278.0,21335.0,21455.0,21025.0,20357.0,20604.0,20636.0,20557.0,20697.0,20966.0,21144.0,21304.0,21206.0,21378.0,21534.0,21601.0,21598.0,21746.0,21775.0,22043.0,22076.0,21930.0,21785.0,20158.0,20062.0,19939.0,20013.0,19996.0
total-assets,59535.0,59373.0,63997.0,66416.0,67333.0,67684.0,71164.0,79954.0,80331.0,79587.0,77862.0,77626.0,78150.0,75471.0,75116.0,71449.0,71869.0,71209.0,68952.0,69009.0,70775.0,69534.0,67004.0,66125.0,57073.0,52610.0,51640.0,54298.0,55448.0,52226.0,49250.0,48871.0,45765.0,46936.0,42714.0,43486.0,43534.0,40800.0,40366.0,39629.0,40940.0,38840.0,37380.0,36427.0,36998.0,36061.0,36128.0,34639.0,33452.0,32971.0,32570.0,33788.0,32586.0,31288.0,31315.0,29297.0,29132.0,28038.0,27420.0
total-current-liabilities,10737.0,10622.0,12706.0,13488.0,12432.0,11205.0,10479.0,9020.0,8193.0,7815.0,10523.0,11204.0,10542.0,10830.0,8523.0,8664.0,7165.0,6891.0,6336.0,7008.0,8551.0,7866.0,8203.0,7947.0,4843.0,4784.0,5142.0,8191.0,8367.0,8032.0,8298.0,5754.0,5315.0,4582.0,4249.0,6570.0,6260.0,5992.0,6562.0,3873.0,4903.0,4548.0,4673.0,4886.0,4951.0,5429.0,5954.0,6179.0,4228.0,4229.0,4607.0,6942.0,6288.0,5913.0,5383.0,3595.0,5106.0,4927.0,4778.0
long-term-debt,27742.0,27798.0,29319.0,29510.0,29350.0,30209.0,33358.0,34190.0,33777.0,33603.0,30293.0,30193.0,30526.0,27928.0,32060.0,29182.0,30511.0,30702.0,29841.0,30215.0,30480.0,30828.0,29519.0,29623.0,27178.0,23908.0,23885.0,24034.0,24020.0,21962.0,19028.0,21344.0,13881.0,2279.0,2246.0,10874.0,2263.0,2232.0,2201.0,4512.0,4447.0,4383.0,4320.0,4257.0,10176.0,5081.0,5080.0,5080.0,5080.0,5080.0,5080.0,5080.0,5000.0,5000.0,5000.0,1759.0,,,
other-non-current-liabilities,9464.0,9396.0,10329.0,10054.0,10224.0,10206.0,10492.0,10337.0,4001.0,4148.0,4039.0,3918.0,3897.0,3982.0,3649.0,3281.0,3117.0,2905.0,2939.0,2547.0,6419.0,6458.0,6541.0,2961.0,3324.0,3324.0,3122.0,3013.0,3159.0,2993.0,3050.0,2744.0,3016.0,14461.0,11235.0,2098.0,10940.0,9406.0,9264.0,8577.0,8732.0,8549.0,8420.0,6399.0,1693.0,6637.0,5626.0,5511.0,6945.0,6780.0,2702.0,2435.0,2498.0,2472.0,2381.0,2329.0,2316.0,2321.0,2322.0
total-long-term-liabilities,37871.0,37957.0,40459.0,40428.0,40552.0,41570.0,45065.0,45693.0,39909.0,40050.0,36702.0,36547.0,36835.0,34508.0,37911.0,34702.0,36737.0,36834.0,36110.0,36223.0,36899.0,37286.0,36060.0,36082.0,30502.0,27232.0,27007.0,27047.0,27179.0,24955.0,22078.0,24088.0,16897.0,16740.0,13481.0,12972.0,13203.0,11638.0,11465.0,13089.0,13179.0,12932.0,12740.0,10656.0,12215.0,12099.0,11087.0,10591.0,12319.0,12273.0,8248.0,7882.0,8577.0,8536.0,8541.0,5251.0,3496.0,3530.0,3602.0
