,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,1205.831,1185.847,1267.968,1286.644,1431.301,1347.894,577.661,771.933,633.198,628.477,593.877,631.141,700.586,776.718,782.374,822.073,797.799,703.017,598.119,675.626,751.009,719.548,649.443,659.742,707.268,695.743,698.927,545.543,583.392,641.934,649.696,599.935,560.883,554.528,537.506,520.694,539.032,554.775,557.576,374.011,236.996,233.284,230.041,236.372,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1855.472,1973.347,2012.798,2081.195,2143.636,2175.008,456.323,71.043,717.396,747.984,765.203,827.795,1099.607,790.173,805.134,812.186,838.52,897.72,902.075,54.285,55.881,50.344,51.938,57.244,47.22,62.157,68.383,75.524,81.746,89.21,74.571,29.824,27.574,27.574,27.574,27.574,27.574,27.574,27.574,27.574,27.574,27.574,27.574,27.574,,,
other-long-term-assets,151.928,202.978,206.465,67.592,73.642,78.653,63.626,11.257,58.278,56.342,58.798,60.844,55.209,58.973,79.107,73.757,153.299,216.809,66.351,64.455,52.509,56.321,55.205,57.82,51.199,47.976,43.128,42.751,43.388,55.129,44.909,45.914,36.209,35.689,26.934,30.547,25.587,22.704,16.993,12.358,14.521,13.502,11.892,9.017,,,
total-long-term-assets,2498.112,3076.292,3116.618,3066.092,3150.747,3196.694,643.237,569.9561,1015.956,1072.631,1102.083,1191.877,1419.07,1073.218,1103.925,1100.414,1198.077,1329.292,1184.144,403.571,341.161,339.013,332.762,337.181,307.552,314.041,309.846,318.427,317.813,316.457,253.602,193.924,191.475,189.046,180.169,172.624,165.854,293.347,287.453,286.745,292.897,282.721,282.09,277.915,,,
total-assets,3703.943,4262.139,4384.586,4352.736,4582.048,4544.588,1220.898,1341.889,1649.154,1701.108,1695.96,1823.018,2119.656,1849.936,1886.299,1922.487,1995.876,2032.309,1782.263,1079.197,1092.17,1058.561,982.205,996.923,1014.82,1009.784,1008.773,863.97,901.205,958.391,903.298,793.859,752.358,743.574,717.675,693.318,704.886,848.122,845.029,660.756,529.893,516.005,512.131,514.287,0.0,0.0,0.0
total-current-liabilities,534.91,546.159,599.53,553.85,749.271,669.736,351.796,296.883,349.038,359.248,341.392,321.324,334.533,265.948,302.545,326.761,235.492,226.575,244.637,158.699,170.148,156.349,123.215,153.89,165.081,167.393,178.204,145.295,183.229,272.839,241.011,156.861,137.876,142.763,135.358,126.416,168.854,204.637,251.329,203.868,108.969,98.536,101.315,109.588,,,
long-term-debt,2734.777,2744.476,2754.053,2669.681,2675.108,2680.525,771.216,1395.261,767.935,766.46,765.101,813.545,812.375,435.265,429.878,424.595,419.413,414.391,398.609,,,,,,,,,,,,,,,,,,,,,,,5.065,5.531,5.99,,,
