,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,0.55,0.75,0.24
total-current-assets,424.597,430.988,421.942,434.216,503.022,271.819,251.945,252.696,120.327,115.848,110.155,58.208,,,,53.46,24.4,3.05
net-property-plant-equipment,1.695,1.481,1.584,1.445,1.344,1.086,0.659,0.665,0.513,0.543,0.569,0.471,,,,4.13,3.93,3.86
long-term-investments,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,1.795,1.973,2.149,0.208,0.139,0.382,0.349,0.106,0.106,0.106,0.06,0.06,,,,0.06,0.08,0.11
total-long-term-assets,26.908,49.161,72.284,74.781,20.099,34.198,62.892,76.668,1.618,14.561,20.956,3.972,,,,6.39,4.01,3.97
total-assets,451.505,480.149,494.226,508.997,523.121,306.017,314.837,329.364,121.945,130.409,131.111,62.18,0.0,0.0,0.0,56.28,25.06,3.91
total-current-liabilities,29.73,30.623,24.754,21.836,20.873,16.79,14.343,14.09,11.174,10.079,8.126,5.708,,,,7.37,11.68,3.16
long-term-debt,,,,,2.409,4.12,5.834,7.553,9.269,10.987,12.709,13.809,,,,4.9,4.79,
other-non-current-liabilities,0.883,1.105,1.317,0.796,,,,,,,,,,,,,,
total-long-term-liabilities,0.883,1.105,1.317,0.796,2.571,4.248,5.967,7.693,9.416,11.155,12.87,17.204,,,,6.55,7.37,0.6
total-liabilities,30.613,31.728,26.071,22.632,23.444,21.038,20.31,21.783,20.59,21.234,20.996,22.912,0.0,0.0,0.0,13.94,19.07,3.76
common-stock-net,0.027,0.027,0.027,0.027,0.027,0.024,0.024,0.024,0.02,0.02,0.02,0.003,0.0,0.0,0.0,0.003,0.01,0.01
retained-earnings-accumulated-deficit,-223.763,-192.73,-168.768,-146.69,-129.696,-113.738,-100.12,-85.034,-78.173,-69.083,-66.399,-54.923,,,,-50.66,-45.25,-48.79
comprehensive-income,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,420.892,448.421,468.155,486.365,499.677,284.979,294.527,307.581,101.355,109.175,110.115,39.268,0.0,0.0,0.0,42.33,5.99,0.14
total-liabilities-share-holders-equity,451.505,480.149,494.226,508.997,523.121,306.017,314.837,329.364,121.945,130.409,131.111,62.18,0.0,0.0,0.0,56.28,25.06,3.91
