,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,
other-current-assets,2.4575,5.3069,1.7712,1.8377,1.4458,2.0047,2.0343,1.3122,5.8971,,,,,2.04
total-current-assets,451.1949,308.4127,310.5279,202.4392,238.9328,266.7015,163.0869,182.0153,19.0329,,,,,38.04
net-property-plant-equipment,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,13.5693,6.8522,6.7842,0.1164,0.213,0.1162,0.1162,0.1162,0.1084,,,,,0.13
total-long-term-assets,15.1621,8.2913,7.8252,1.0943,0.213,0.1162,0.1162,0.1162,0.1084,,,,,0.13
total-assets,466.357,316.704,318.3531,203.5336,239.1458,266.8177,163.203,182.1315,19.1413,0.0,0.0,0.0,0.0,38.17
total-current-liabilities,44.5724,35.5911,20.3865,17.0246,16.0344,10.2542,7.2949,6.554,6.9379,,,,,3.2
long-term-debt,151.8698,11.9369,12.2408,25.3775,26.9065,26.7614,26.616,26.3904,,,,,,
other-non-current-liabilities,130.353,110.09,60.9709,0.1588,0.25,0.25,0.25,0.2443,,,,,,
total-long-term-liabilities,282.2228,122.0269,73.2117,25.5363,27.1565,27.0114,26.866,26.6346,,,,,,
total-liabilities,326.7951,157.618,93.5982,42.5609,43.1909,37.2656,34.1609,33.1886,6.9379,0.0,0.0,,0.0,3.2
common-stock-net,0.0064,0.0064,0.0063,0.0056,0.0056,0.0056,0.005,0.005,0.0008,0.0,0.0,,0.0,0.0008
retained-earnings-accumulated-deficit,-468.255,-398.4304,-327.3402,-276.7658,-240.3064,-204.3343,-171.0,-149.2637,-131.0078,,,,,-71.13
comprehensive-income,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,139.5618,159.086,224.7549,160.9727,195.9548,229.5521,129.0421,148.9429,12.2033,0.0,0.0,,0.0,34.97
total-liabilities-share-holders-equity,466.357,316.704,318.3531,203.5336,239.1458,266.8177,163.203,182.1315,19.1413,0.0,0.0,,0.0,38.17
