,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,6.848,7.058,7.055,,10.166,9.472,9.054,9.502,10.243,11.001,11.386,10.831,11.861,12.594,11.947,12.759,10.039,7.245,7.179,6.058,2.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,17.14,,,,26.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,806.381,1028.754,1125.918,460.725,572.477,601.28,649.861,281.28,303.701,143.598,92.337,119.889,134.867,139.772,160.115,174.838,200.216,235.97,268.624,181.896,209.077,243.734,276.368,248.81,206.562,190.42,148.669,171.159,173.693,167.252,91.975,60.26,82.384,101.903,125.45,156.806,181.782,124.618,114.064,121.273,149.146,45.928,75.95,116.983,219.256,283.269,344.972,409.248,352.606,381.697,368.011,399.686,262.114,278.133,300.852,134.508,153.7526,167.7565,170.7173
net-property-plant-equipment,23.698,23.493,23.445,23.114,27.836,28.756,29.507,30.131,39.425,40.997,42.512,35.109,64.98,68.19,71.003,71.828,74.752,81.412,82.096,82.919,75.489,77.908,78.046,77.388,74.484,73.898,73.869,75.417,76.03,77.642,80.864,82.066,85.245,89.749,89.619,91.533,93.081,92.09,94.451,95.445,96.7,97.082,99.028,102.74,98.931,98.312,92.704,65.94,58.523,56.766,56.607,56.5,55.538,54.24,49.018,49.639,50.4577,51.5017,52.3268
long-term-investments,389.98,215.762,165.354,82.412,,,,24.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,,,,,,,,,1.551,1.88,2.103,,7.518,7.624,7.945,7.775,8.121,8.66,8.5,8.482,8.977,9.859,10.071,10.182,10.212,9.939,10.068,10.611,10.515,10.507,11.312,11.032,11.679,12.797,11.852,12.031,12.126,11.505,12.273,13.123,14.97,14.953,14.885,16.262,16.238,18.039,19.029,4.875,5.259,5.644,6.028,6.412,6.796,7.181,7.565,7.949,8.3335,8.7177,9.102
other-long-term-assets,21.989,16.526,15.336,10.319,9.721,7.524,6.1,3.622,3.144,2.89,2.808,14.012,2.883,2.261,2.301,2.351,3.038,3.081,3.069,3.088,3.129,3.171,3.211,3.427,3.445,3.697,4.051,4.019,3.922,3.602,3.648,3.771,5.691,5.749,5.81,5.992,6.051,6.637,6.481,6.437,6.529,5.562,5.648,5.346,5.674,7.614,7.828,7.443,8.937,7.944,6.12,5.867,6.782,7.237,7.161,6.033,5.889,2.2332,2.3506
total-long-term-assets,435.667,255.781,204.135,226.178,37.557,36.28,35.607,57.995,44.12,45.767,47.423,49.121,75.381,78.075,81.249,81.954,85.911,93.153,93.665,94.489,87.595,90.938,91.328,90.997,88.141,87.534,87.988,90.047,90.467,91.751,95.824,96.869,102.615,108.295,107.281,109.556,111.258,110.232,113.205,115.005,118.199,117.597,119.561,124.348,120.843,123.965,119.561,78.258,72.719,70.354,68.755,68.779,69.116,68.658,63.744,63.621,64.6802,62.4525,63.7793
total-assets,1242.048,1284.535,1330.053,686.903,610.034,637.56,685.468,339.275,347.821,189.365,139.76,169.01,210.248,217.847,241.364,256.792,286.127,329.123,362.289,276.385,296.672,334.672,367.696,339.807,294.703,277.954,236.657,261.206,264.16,259.003,187.799,157.129,184.999,210.198,232.731,266.362,293.04,234.85,227.269,236.278,267.345,163.525,195.511,241.331,340.099,407.234,464.533,487.506,425.325,452.051,436.766,468.465,331.23,346.791,364.596,198.129,218.4328,230.209,234.4967
