,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,
total-current-assets,213.541,249.687,150.68,170.819,187.702,119.553,140.09,83.758,93.013,102.321,,,,,
net-property-plant-equipment,19.272,16.306,12.249,11.447,11.174,10.404,10.368,9.651,8.824,8.321,,,,,
long-term-investments,,,,,0.399,0.447,0.411,,,,,,,,
goodwill-intangible-assets-total,46.265,47.297,47.95,48.343,44.755,45.401,46.222,46.367,46.596,46.842,0.0,,0.0,0.0,0.0
other-long-term-assets,8.517,8.983,9.428,,,1.067,,0.516,0.325,0.33,,,,,
total-long-term-assets,74.054,72.586,69.627,60.276,56.765,57.735,57.443,56.655,55.745,55.493,,,,,
total-assets,287.595,322.273,220.307,231.095,244.467,177.288,197.533,140.413,148.758,157.814,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,89.968,95.315,67.747,51.676,42.096,47.751,36.632,45.143,29.837,27.097,,,,,
long-term-debt,60.26,57.122,54.374,45.803,45.549,0.449,0.428,0.475,0.179,5.233,,,,,
other-non-current-liabilities,2.541,2.629,2.605,2.825,2.678,2.598,2.459,2.313,2.199,3.684,,,,,
total-long-term-liabilities,62.801,59.751,56.979,50.65,50.314,5.129,4.816,4.548,4.021,10.343,,,,,
total-liabilities,152.769,155.066,124.726,102.326,92.41,52.88,41.448,49.691,33.858,37.44,0.0,,0.0,0.0,0.0
common-stock-net,0.079,0.079,0.069,0.069,0.068,0.065,0.065,0.06,0.06,0.059,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-545.738,-510.98,-478.949,-443.716,-416.603,-370.433,-333.574,-326.276,-297.993,-274.719,,,,,
comprehensive-income,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,134.826,167.207,95.581,128.769,152.057,124.408,156.085,90.722,114.9,120.374,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,287.595,322.273,220.307,231.095,244.467,177.288,197.533,140.413,148.758,157.814,0.0,,0.0,0.0,0.0
