,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
total-current-assets,293.418,201.139,250.83,321.489,372.976,425.07,413.614,172.19,206.217,222.492,235.318,260.553,282.23,298.883,311.741,324.597,340.235,160.634,169.691,106.026,52.022,57.085,62.291,51.808,,,,4.24
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,15.67,15.915,15.777,1.774,1.685,1.562,1.3,1.46,1.3,1.376,2.02,0.102,0.102,0.101,0.089,0.108,0.098,0.426,0.079,0.048,2.084,1.407,0.567,0.012,,,,0.03
total-long-term-assets,71.367,73.005,73.896,70.35,69.964,67.637,59.494,45.589,23.476,21.663,6.42,3.361,2.187,1.931,1.237,0.378,0.144,0.468,0.126,0.096,2.098,1.418,0.575,0.02,,,,0.03
total-assets,364.785,274.144,324.726,391.839,442.94,492.707,473.108,217.779,229.693,244.155,241.738,263.914,284.417,300.814,312.978,324.975,340.379,161.102,169.817,106.122,54.12,58.503,62.866,51.828,0.0,0.0,0.0,4.29
total-current-liabilities,30.706,25.803,25.175,39.979,27.0,27.234,21.049,27.646,16.516,11.481,7.805,9.675,13.688,10.006,8.86,9.709,6.45,11.644,3.514,2.724,2.412,2.101,2.788,1.524,,,,1.3
long-term-debt,14.532,14.919,14.437,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.105,1.143,1.18,13.003,12.886,12.974,12.875,12.269,7.221,11.53,0.799,0.503,0.527,0.563,0.284,0.166,0.181,0.203,0.209,0.216,0.165,0.183,0.21,0.23,,,,0.004
total-long-term-liabilities,15.637,16.062,15.617,13.003,12.886,12.974,12.875,12.269,7.221,11.53,0.799,0.503,0.527,0.563,0.284,0.166,0.181,0.203,0.209,0.216,0.165,0.183,0.21,0.23,,,,0.004
total-liabilities,46.343,41.865,40.792,52.982,39.886,40.208,33.924,39.915,23.737,23.011,8.604,10.178,14.215,10.569,9.144,9.875,6.631,11.847,3.723,2.94,2.577,2.284,2.998,1.754,0.0,0.0,0.0,1.3
common-stock-net,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,,,,0.001,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-739.465,-667.57,-593.242,-527.349,-447.337,-388.976,-338.093,-296.65,-261.337,-230.241,-202.813,-177.159,-158.924,-133.551,-114.671,-98.11,-76.862,-64.994,-50.049,-40.889,-30.362,-24.443,-19.932,-12.883,,,,-4.11
comprehensive-income,0.233,0.173,0.038,-0.34,-0.449,-0.505,-0.524,-0.151,-0.088,-0.114,-0.152,-0.183,0.035,0.193,0.051,-0.518,0.051,-0.066,-0.018,-0.1,-0.011,,-0.011,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,-0.299,-0.335,0.0,0.0,0.0,0.0
total-share-holder-equity,318.442,232.279,283.934,338.857,403.054,452.499,439.184,177.864,205.956,221.144,233.134,253.736,270.202,290.245,303.834,315.1,333.748,149.255,166.094,103.182,51.543,56.219,59.868,50.074,0.0,0.0,0.0,2.98
total-liabilities-share-holders-equity,364.785,274.144,324.726,391.839,442.94,492.707,473.108,217.779,229.693,244.155,241.738,263.914,284.417,300.814,312.978,324.975,340.379,161.102,169.817,106.122,54.12,58.503,62.866,51.828,0.0,0.0,0.0,4.29
