,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,99.936,89.101,79.49,71.308,56.999,55.86,53.037,55.536,58.3935,62.8758,41.6464,45.264,49.4059,59.1756,60.5855,66.0613,62.6486,64.8349,41.3648,53.6377,60.938,69.5156,72.3555,72.6595,76.5426,75.9985,72.3006,77.6592,34.896,35.8479,34.8098,36.2654,29.9056,36.3461,15.9184,12.4755,12.0435,13.2245,14.5574,16.5492,18.5004,8.5123,11.4941,14.9078,17.4027,21.6076,24.3982,27.3132,26.9128,13.6003,13.7759,8.8776,8.7401,10.1603,11.3725,3.3128,3.8889,5.4673,7.7577
net-property-plant-equipment,15.409,14.994,15.1,14.895,15.325,15.569,15.892,16.158,17.2967,17.5509,17.6079,17.867,17.9934,17.3566,17.1426,14.7931,13.8317,13.5586,13.1051,10.8287,9.6684,8.6132,7.632,6.9523,6.0137,5.2915,4.2997,3.5831,3.2622,1.4825,0.7707,0.5917,0.4941,0.4633,0.4067,0.3275,0.3129,0.3108,0.3083,0.3173,0.5003,1.7121,1.7381,1.7882,1.7635,1.7458,1.1067,0.4677,0.4284,0.4399,0.3534,0.3821,0.4049,0.4386,0.4476,0.4776,0.4963,0.548,0.5896
long-term-investments,,,,,,,,,,,,,,,,,3.0065,9.0168,,,,,3.0051,6.0082,,6.0092,12.0134,12.0159,3.019,3.0198,3.0061,3.027,6.0477,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1.603,1.651,1.783,1.926,2.093,2.228,2.362,2.496,2.7261,2.8622,3.02,3.14,3.2446,3.3202,3.4267,3.5299,3.6464,3.7961,3.8739,3.9804,4.0562,3.7255,3.2201,2.4405,2.3131,2.2298,2.208,2.219,2.2684,2.1389,2.0719,2.0477,2.0169,2.0388,1.9341,1.8988,1.8716,1.8179,1.826,1.8378,1.8051,1.777,1.7254,1.7402,1.6933,1.7143,1.7306,1.6675,1.9439,1.8999,1.899,1.9089,2.0118,2.0639,2.034,2.0323,1.9148,1.948,1.998
other-long-term-assets,5.981,3.466,2.412,0.148,0.148,0.148,0.148,0.148,0.0538,0.0538,0.0537,0.054,0.1538,0.1538,0.1538,0.1779,0.326,0.3262,0.3261,0.326,0.8712,0.8714,0.8715,0.8714,0.0612,0.0611,0.0611,0.0494,0.0586,0.0585,0.068,0.0312,0.0314,0.0318,0.0313,0.0312,0.0311,0.0307,0.0308,0.0308,0.1777,0.1717,0.1684,0.1831,1.4158,1.3383,1.0206,0.2165,0.6341,0.5739,0.4823,0.3659,0.3701,0.3591,0.3403,0.3437,0.3613,0.3576,0.3707
total-long-term-assets,22.993,20.111,19.295,16.969,17.566,17.945,18.402,18.802,20.0766,20.4669,20.6816,21.061,21.3918,20.8306,20.7231,18.5009,20.8106,26.6977,17.305,15.1351,14.5958,13.2101,14.7287,16.2724,8.388,13.5916,18.5821,17.8674,8.6083,6.6996,5.9167,5.6976,8.5901,2.5339,2.3722,2.6658,2.6238,2.5676,2.5733,2.5942,2.8913,4.9168,4.8875,5.0036,4.8726,4.7983,3.8579,2.9035,3.0064,2.9137,2.7346,2.6569,2.7868,2.8616,2.822,2.8536,2.7724,2.8537,2.9583
total-assets,122.929,109.212,98.785,88.277,74.565,73.805,71.439,74.338,78.4702,83.3427,62.328,66.325,70.7977,80.0062,81.3086,84.5622,83.4592,91.5326,58.6697,68.7728,75.5338,82.7256,87.0842,88.9319,84.9306,89.5901,90.8826,95.5266,43.5042,42.5475,40.7265,41.963,38.4957,38.8801,18.2906,15.1413,14.6673,15.7922,17.1307,19.1434,21.3917,13.429,16.3816,19.9114,22.2753,26.4059,28.2561,30.2167,29.9192,16.514,16.5105,11.5345,11.5268,13.0219,14.1945,6.1664,6.6614,8.321,10.716
total-current-liabilities,33.883,25.778,34.802,27.193,24.932,23.967,18.067,15.733,17.4823,18.1334,19.7244,19.907,20.5547,24.2784,20.7449,16.8196,10.1191,13.4501,21.0472,24.2276,20.9031,22.1873,17.291,16.363,10.1876,9.2517,6.3964,7.9382,7.3808,7.7074,7.8408,10.0087,6.7611,6.6766,6.4873,6.6721,5.7752,5.8027,7.1295,8.2423,8.3194,6.9174,7.1049,7.3707,6.6382,7.7086,6.6171,5.4223,5.0363,3.6593,3.7605,2.8984,2.1823,2.3769,1.7937,2.3476,1.8058,1.4767,1.4526
