,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,
total-current-assets,1.8072,3.9924,2.9234,3.6254,5.3121,4.9602,2.2832,3.235,0.6224,0.671,6.2511,3.7062,,0.0001,0.0002,0.1096,0.0101,0.0075,0.0002,,
net-property-plant-equipment,0.6246,0.3749,0.3987,0.2496,0.2715,0.1432,0.1584,0.048,0.0464,0.0272,0.0003,0.0003,,,,,,,,,
long-term-investments,8.2121,8.1736,8.2332,8.265,7.9209,7.7253,7.592,7.6491,7.6803,7.7058,0.0239,,,,,,,,,,
goodwill-intangible-assets-total,,1.0919,1.1738,1.2557,1.3376,1.4195,1.5014,1.5833,,,,,,,,,,,,,0.0
other-long-term-assets,0.0252,,,,,0.067,0.0477,0.1537,,,,,,,,,,,,,
total-long-term-assets,8.8619,9.6404,9.8057,9.7703,9.53,9.355,9.2994,9.4341,7.7267,7.7331,0.0242,0.0003,,,,,,,,,
total-assets,10.669,13.6327,12.7291,13.3957,14.8421,14.3152,11.5827,12.669,8.3491,8.4041,6.2753,3.7065,0.0,0.0001,0.0002,0.1096,0.0101,0.0075,0.0002,0.0,0.0
total-current-liabilities,4.3322,1.0348,2.6638,1.1417,1.1583,3.9222,5.7681,5.3602,5.9172,5.6034,3.1799,0.1603,,0.031,0.0243,0.123,0.0107,0.0222,0.0056,,
long-term-debt,0.59,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
other-non-current-liabilities,,3.0557,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,0.59,4.0557,1.0,1.0,1.0,,,,,,,,,,,,,,,,
total-liabilities,4.9222,5.0905,3.6638,2.1417,2.1583,3.9222,5.7681,5.3602,5.9172,5.6034,3.1799,0.1603,,0.031,0.0243,0.123,0.0107,0.0222,0.0056,,0.0
common-stock-net,0.0076,0.0076,0.0074,0.0074,0.0074,0.0074,0.007,0.007,0.0065,0.0065,0.0065,0.0062,0.0002,0.0007,0.0007,0.005,0.0264,0.0006,0.0007,,0.0
retained-earnings-accumulated-deficit,-23.913,-20.0548,-15.6976,-11.2918,-8.6383,-6.2936,-4.9992,-3.5177,-1.7439,-1.0332,-0.6027,-0.0534,-0.0611,-0.0599,-0.0532,-0.1024,-0.0276,-0.0153,-0.0345,,
comprehensive-income,-0.302,-0.2282,-0.1922,-0.2369,-0.2293,-0.1354,-0.0393,-0.092,-0.1205,-0.1267,-0.1343,-0.0946,,,,,,,,,
other-share-holders-equity,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,,,,,,,,,0.0
total-share-holder-equity,5.7468,8.5422,9.0653,11.254,12.6838,10.393,5.8146,7.3088,2.4319,2.8007,3.0954,3.5462,0.0,-0.0308,-0.0241,-0.0134,-0.0006,-0.0147,-0.0054,,0.0
total-liabilities-share-holders-equity,10.669,13.6327,12.7291,13.3957,14.8421,14.3152,11.5827,12.669,8.3491,8.4041,6.2753,3.7065,0.0,0.0001,0.0002,0.1096,0.0101,0.0075,0.0002,,0.0
