,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,2579.0,2629.0,2627.0,2522.0,2451.0,2562.0,2543.0,2967.0,1818.0,1829.0,1747.0,1692.0,1719.0,1835.0,1846.0,1985.0,1959.0,2020.0,2278.0,1512.0,1495.0,1553.0,1512.0,1467.0,1402.0,1409.108,1391.825,1359.822,1241.0,1239.118,1320.58,1261.73,1244.972,1331.103,1276.931,1195.477,1145.337,1121.643,1166.044,1163.999,1156.762,1207.007,1180.74,1170.1,1080.426,1144.412,1146.901,1079.995,1051.959,1023.348,975.582,926.598,875.738,876.386,842.712,811.404,775.949,797.368,807.228
other-current-assets,,,,,137.0,,,,,,,50.0,642.0,625.0,618.0,,,,,,,,,,,,,,136.0,131.591,,,,,,,,80.706,,,,30.856,,,,,,,,,,,,,,,,56.891,60.362
total-current-assets,6664.0,6781.0,6844.0,6941.0,7411.0,7525.0,7512.0,7542.0,18633.0,18212.0,4891.0,5187.0,6367.0,6534.0,6612.0,5641.0,5659.0,6303.0,6996.0,12111.0,6131.0,6045.0,5946.0,5743.0,5873.0,5434.511,5499.998,5477.472,5322.0,5284.715,5300.585,5694.144,4668.331,5073.133,4856.63,4950.841,4505.25,4123.061,3939.493,4056.893,4646.954,4491.537,3407.797,3465.138,3614.675,3648.472,3422.601,3345.067,3130.566,2961.234,2850.6,2825.122,3185.253,2824.253,2806.611,3146.465,2975.314,2945.885,2893.173
net-property-plant-equipment,5659.0,5550.0,5473.0,5362.0,5375.0,5321.0,5411.0,5262.0,4638.0,4410.0,3941.0,3827.0,3901.0,3813.0,3779.0,3957.0,4060.0,4047.0,3992.0,3565.0,3605.0,3551.0,3512.0,3495.0,3476.0,3351.662,3314.964,3316.778,3304.0,3149.975,3274.122,3212.312,3211.197,3217.123,3165.683,3081.855,3100.492,2887.393,2967.677,2999.426,2966.629,2782.501,2663.073,2694.811,2744.474,2741.225,2670.435,2543.999,2497.338,2334.848,2266.227,2206.13,2133.548,2015.427,1955.592,1927.472,1933.718,1872.831,1894.277
long-term-investments,,,,,,,,,,43.0,817.0,816.0,796.0,785.0,826.0,1132.0,1118.0,1082.0,1044.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,38354.0,38839.0,39220.0,39567.0,40041.0,40147.0,40491.0,41375.0,13456.0,13501.0,13446.0,13492.0,13700.0,13831.0,13979.0,14239.0,14561.0,14588.0,15220.0,1960.0,1850.0,1911.0,1945.0,1914.0,1943.0,1933.485,1964.022,1970.573,1889.0,1784.376,1836.505,1779.754,1789.656,1541.452,1551.392,1293.505,1302.601,1293.325,1327.424,1337.939,1028.521,1015.489,1008.505,1017.036,1063.974,1116.338,1089.399,1079.749,1092.131,1069.796,1066.201,1077.391,901.458,908.417,900.605,731.92,736.988,746.532,761.882
other-long-term-assets,1088.0,1063.0,1061.0,1062.0,1078.0,984.0,1159.0,1184.0,1007.0,938.0,948.0,927.0,824.0,712.0,694.0,727.0,717.0,674.0,696.0,506.0,488.0,502.0,483.0,502.0,487.0,505.745,492.672,513.087,500.0,463.103,451.35,407.032,444.61,491.692,491.484,480.655,487.59,486.671,480.508,485.726,465.296,383.469,337.791,337.681,356.334,490.334,480.249,466.851,466.592,601.15,602.501,522.059,414.911,266.826,256.226,208.835,256.98,198.621,191.27
total-long-term-assets,45101.0,45452.0,45754.0,45991.0,46494.0,46452.0,47061.0,47821.0,19101.0,18953.0,19229.0,19130.0,19221.0,19481.0,19624.0,20405.0,20818.0,20776.0,21298.0,6392.0,6317.0,6329.0,6304.0,6291.0,6277.0,6152.536,6129.925,6151.965,6039.0,5740.149,5894.807,5719.219,5762.097,5547.686,5487.593,5120.429,5145.444,4908.612,5003.899,5037.383,4657.67,4357.45,4168.033,4195.555,4298.268,4480.734,4378.655,4221.467,4198.799,4161.611,4101.222,3985.419,3639.272,3386.94,3316.167,3084.291,3157.479,3064.293,3110.291
total-assets,51765.0,52233.0,52598.0,52932.0,53904.0,53977.0,54573.0,55363.0,37734.0,37166.0,24121.0,24318.0,25586.0,26016.0,26236.0,26046.0,26478.0,27079.0,28293.0,18503.0,12447.0,12374.0,12250.0,12035.0,12149.0,11587.05,11629.92,11629.44,11361.0,11024.86,11195.39,11413.36,10430.43,10620.82,10344.22,10071.27,9650.694,9031.673,8943.392,9094.276,9304.624,8848.987,7575.83,7660.693,7912.943,8129.206,7801.256,7566.534,7329.365,7122.845,6951.822,6810.541,6824.525,6211.193,6122.778,6230.756,6132.793,6010.178,6003.464
