,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,150.143,130.007,121.404,146.66,133.992,105.186,98.395,90.108,78.383,65.872,64.038,59.56,68.344,59.001,51.738,47.045,45.224,43.451,42.317,49.2,41.92,41.765,40.768,44.255,45.967,45.645,43.597,43.422,45.155,64.161,63.984,72.596,75.117,78.785,77.714,78.05,84.547,88.574,88.112,92.855,93.625,98.524,100.16,98.661,94.945,85.723,89.0815,41.375,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,437.694,441.511,444.343,368.467,368.673,372.151,361.313,364.812,367.588,72.588,73.623,74.54,68.857,69.437,49.346,49.812,50.444,51.17,51.961,52.316,45.833,46.466,40.787,23.781,24.355,24.904,25.499,26.11,26.968,8.654,8.407,5.908,52.212,52.516,52.821,53.126,46.628,46.692,46.757,46.938,47.153,47.369,47.584,47.822,48.068,48.314,48.5603,43.97,,,
other-long-term-assets,19.891,22.238,24.236,3.322,1.941,2.446,2.491,2.767,2.562,1.872,3.2,2.425,1.697,1.47,1.58,1.732,1.714,1.567,1.472,1.153,1.281,1.094,0.841,0.731,0.646,0.667,0.666,0.627,1.677,1.83,1.466,1.43,3.391,3.384,4.089,3.516,0.48,0.48,0.48,0.286,0.371,0.343,0.566,0.524,5.124,3.394,1.9859,2.601,,,
total-long-term-assets,526.0211,534.154,538.585,440.141,440.214,443.189,429.63,434.454,442.328,138.08,140.537,139.424,96.867,97.189,77.193,77.098,77.154,76.531,74.846,75.172,76.163,76.644,66.601,43.291,42.713,44.296,45.466,46.588,49.154,27.167,27.094,22.379,71.538,73.463,76.198,78.642,69.801,72.005,73.942,75.467,75.393,72.937,70.228,67.112,69.494,67.12,65.6848,61.665,,,
total-assets,676.164,664.161,659.989,586.801,574.206,548.375,528.025,524.562,520.711,203.952,204.575,198.984,165.211,156.19,128.931,124.143,122.378,119.982,117.163,124.372,118.083,118.409,107.369,87.546,88.68,89.941,89.063,90.01,94.309,91.328,91.078,94.975,146.655,152.248,153.912,156.692,154.348,160.579,162.054,168.322,169.018,171.461,170.388,165.773,164.439,152.843,154.7663,103.04,0.0,0.0,0.0
total-current-liabilities,61.077,59.251,61.029,49.623,50.085,45.937,50.197,50.955,48.86,32.396,33.85,31.507,42.687,28.56,24.264,23.888,25.899,27.505,27.544,35.321,34.385,35.824,30.421,19.04,21.148,20.984,18.817,18.49,18.798,14.612,13.96,15.419,15.548,15.055,14.851,17.416,14.235,14.416,15.244,17.472,13.377,12.498,15.848,14.658,22.035,14.692,17.1233,12.0,,,
long-term-debt,183.173,186.777,190.493,193.541,194.609,195.678,197.062,198.792,200.295,22.863,23.451,24.037,24.385,36.171,21.737,22.045,22.433,22.762,23.111,23.323,17.525,17.775,10.104,0.469,0.511,,,,,,,,,,,,,,,,,,,,,0.025,1.382,1.655,,,
