,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,0.42
total-current-assets,423.17,474.352,227.373,272.339,182.98,227.602,114.673,136.665,179.503,208.616,53.169,24.035,,,,1.88
net-property-plant-equipment,7.46,7.433,7.157,6.248,4.891,3.792,2.936,2.344,0.267,0.092,0.043,0.026,,,,0.008
long-term-investments,,,,,,,,,,,,,0.0,0.0,,0.0
other-long-term-assets,1.351,0.024,0.036,0.011,0.064,0.043,0.032,0.032,,,0.06,0.203,,,,
total-long-term-assets,15.917,16.556,17.707,17.673,12.111,11.688,11.462,10.223,5.167,5.639,7.022,2.982,,,,0.008
total-assets,439.087,490.908,245.08,290.012,195.091,239.29,126.135,146.888,184.67,214.255,60.191,27.017,0.0,0.0,0.0,1.89
total-current-liabilities,47.206,44.669,23.693,19.534,15.264,12.755,16.865,9.429,22.113,17.521,15.442,7.942,,,,0.32
long-term-debt,,,,,,,,,,,0.602,0.595,,,,
other-non-current-liabilities,173.637,164.608,124.376,119.558,114.014,107.705,1.454,5.488,6.364,3.882,23.789,20.243,,,,0.47
total-long-term-liabilities,272.905,259.498,124.376,119.558,114.014,107.705,1.454,5.488,6.364,3.882,24.391,20.838,,,,0.47
total-liabilities,320.111,304.167,148.069,139.092,129.278,120.46,18.319,14.917,28.477,21.403,39.833,28.78,0.0,0.0,,0.8
common-stock-net,874.589,844.966,556.345,554.384,418.273,413.225,367.73,311.061,310.635,310.635,20.296,19.944,0.0,0.0,,8.66
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,0.0,0.0,,-0.05
total-share-holder-equity,118.976,186.741,97.011,150.92,65.813,118.83,107.816,131.971,156.193,192.852,20.358,-1.763,0.0,0.0,,1.08
total-liabilities-share-holders-equity,439.087,490.908,245.08,290.012,195.091,239.29,126.135,146.888,184.67,214.255,60.191,27.017,0.0,0.0,,1.89
