,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,587.987,589.897,590.438,583.815,601.053,591.433,612.217,594.804,601.571,580.581,559.819,524.961,556.358,541.514,533.312,490.224,512.736,500.975,478.375,470.997,516.047,520.642,513.852,516.245,523.503,484.667,467.321,455.12,458.428,449.457,463.369,433.51,445.581,449.337,429.975,398.1,402.883,370.272,380.707,351.206,383.896,377.594,369.041,375.616,383.266,382.684,365.059,321.015,273.575,265.185,259.965,253.045,246.207,244.339,225.844,212.342,223.146,211.526,208.92
other-current-assets,9.228,10.303,20.998,9.615,185.488,173.003,166.045,10.325,8.927,10.038,120.674,12.201,115.757,102.088,107.982,11.041,154.054,159.146,170.56,61.747,,,,79.017,74.392,,,69.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,2047.632,2087.94,2031.643,2023.478,2034.197,1992.334,1977.116,1976.649,1892.451,1826.528,1732.571,1844.524,1850.103,1805.688,1775.264,1777.596,1794.416,1741.928,1701.844,1716.367,1764.445,1767.494,1766.81,1757.479,1674.543,1903.036,1865.18,1936.682,1845.441,1811.072,1817.448,1798.155,1877.703,1889.656,1797.31,1975.346,1651.709,1555.827,1543.287,1562.674,1503.401,1397.835,1049.922,1093.941,1083.446,1119.782,1049.031,1028.974,1219.562,1167.739,1129.692,1129.777,1092.713,1058.173,991.649,1008.211,952.643,917.358,921.055
net-property-plant-equipment,495.876,499.18,502.952,508.69,484.323,490.249,499.708,493.496,500.687,503.329,505.104,488.614,474.667,457.685,449.226,437.69,433.822,439.644,428.3,428.836,420.897,440.326,430.876,414.401,425.076,418.53,422.699,416.938,397.949,380.656,369.199,349.501,338.942,348.439,337.625,333.617,321.507,305.936,313.549,302.417,305.921,302.836,294.611,300.732,293.128,290.737,287.573,271.561,201.608,191.605,188.763,189.627,182.728,183.783,180.774,180.258,182.045,189.802,197.303
long-term-investments,3931.715,4417.24,3671.912,2655.709,3474.321,3170.82,2981.768,1027.736,1032.801,1040.959,955.62,830.79,903.658,810.463,711.437,719.84,663.533,541.732,400.262,389.309,364.129,382.913,420.241,377.87,354.733,,,293.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,411.049,362.877,369.923,352.893,652.565,658.057,678.571,680.182,701.839,715.106,706.805,638.724,727.477,736.02,751.846,709.974,728.608,751.784,746.392,754.669,786.981,827.77,776.969,783.958,789.759,778.801,788.8669,756.357,758.221,707.498,738.372,728.4301,551.455,594.55,567.765,567.862,558.476,529.308,548.427,532.405,544.199,532.197,519.161,550.41,525.41,569.12,585.285,538.743,164.027,165.764,163.712,164.097,138.202,139.514,140.545,141.725,163.985,166.536,169.771
other-long-term-assets,290.844,279.708,286.484,70.298,73.256,74.763,77.749,94.949,57.95,57.537,52.669,47.852,63.821,64.779,65.64,64.618,46.017,50.255,49.398,52.097,49.572,49.248,46.482,55.082,36.297,382.454,380.057,39.913,301.405,269.669,262.855,209.528,201.695,211.6,206.073,172.963,150.512,136.053,141.609,125.085,124.685,111.589,91.614,79.82,112.961,119.281,131.399,111.887,127.287,129.635,124.876,103.567,109.992,112.566,101.817,82.385,127.318,118.879,110.785
total-long-term-assets,5129.484,5559.005,4831.271,3587.59,4684.465,4393.889,4237.796,2296.363,2293.277,2316.931,2220.198,2005.98,2169.623,2068.947,1978.149,1932.122,1871.98,1783.415,1624.352,1624.911,1621.579,1700.257,1674.568,1631.311,1605.865,1579.785,1591.623,1506.821,1457.575,1357.823,1370.426,1298.648,1092.092,1154.589,1111.463,1087.418,1030.495,971.297,1003.585,973.179,974.805,946.622,905.386,943.3231,931.499,979.138,1004.257,942.62,492.922,487.004,477.351,466.391,430.922,435.863,423.136,418.371,473.348,475.217,477.859
total-assets,7177.116,7646.945,6862.914,5611.068,6718.662,6386.223,6214.912,4273.012,4185.728,4143.459,3952.769,3850.504,4019.726,3874.635,3753.413,3709.718,3666.396,3525.343,3326.196,3341.278,3386.024,3467.751,3441.378,3388.79,3280.408,3482.821,3456.803,3443.503,3303.016,3168.895,3187.874,3096.803,2969.795,3044.245,2908.773,3062.764,2682.204,2527.124,2546.872,2535.853,2478.206,2344.457,1955.308,2037.264,2014.945,2098.92,2053.288,1971.594,1712.484,1654.743,1607.043,1596.168,1523.635,1494.036,1414.785,1426.582,1425.991,1392.575,1398.914
