,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,60.404,46.307,58.323,93.117,241.854,141.104,88.505,106.435,106.435,91.013,106.344,97.843,173.481,354.565,65.906,110.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,628.5,655.929,750.624,774.016,636.714,551.146,892.071,901.872,935.852,560.924,473.717,619.504,553.894,701.586,467.499,497.943,478.121,497.684,553.524,530.59,698.687,288.693,287.382,294.862,293.878,283.025,283.362,309.038,301.355,292.582,297.541,280.875,273.291,253.819,254.253,328.109,328.935,321.857,347.005,275.034,406.202,343.115,292.901,280.785,264.689,257.309,312.354,291.835,294.911,299.784,267.866,270.232,274.328,119.677,181.479,145.877,,,
net-property-plant-equipment,5185.681,5214.125,5236.194,5275.427,5407.13,5715.931,5775.496,5852.145,6180.376,6423.841,6512.179,7379.305,7621.903,7691.478,8004.357,8031.376,8277.675,8341.286,8434.413,8389.505,8573.558,3911.338,3886.391,3895.475,3845.741,3855.653,3853.423,3879.977,3789.971,3792.169,3793.384,3694.064,3681.28,3689.03,3716.65,3736.842,3753.707,3794.212,3816.127,3857.774,3620.469,3652.076,3663.099,3697.834,3716.676,3762.471,3744.647,3760.453,3749.843,3751.666,3660.78,3672.333,3567.3,2108.759,1610.551,1408.732,,,
long-term-investments,23.211,26.036,27.747,27.528,29.984,32.018,77.839,129.794,185.88,196.854,203.297,167.826,366.8,372.961,373.238,371.639,345.011,352.472,318.232,312.925,312.192,41.965,44.064,44.103,46.05,37.606,36.287,31.386,65.344,65.122,65.735,64.519,62.964,52.121,46.505,20.196,19.516,20.93,21.239,20.512,22.18,23.133,24.127,28.42,33.214,37.885,40.823,41.52,,,57.863,60.653,,,,14.086,,,
goodwill-intangible-assets-total,196.907,196.669,200.061,205.603,213.784,213.948,214.79,573.76,570.66,790.292,792.897,788.483,810.747,812.262,844.731,854.882,879.075,871.134,889.666,891.578,900.3199,266.556,267.756,268.31,269.507,269.502,268.357,269.495,267.557,268.335,266.437,263.689,264.618,267.462,273.167,281.034,288.055,292.459,299.08,307.878,316.405,324.083,332.772,341.556,564.199,568.865,577.834,585.987,601.701,614.28,613.608,617.198,640.347,85.651,85.369,90.917,,,
other-long-term-assets,1339.904,1366.723,1416.147,184.686,207.025,216.604,227.232,217.878,219.398,220.881,255.998,262.569,278.939,294.045,298.847,292.724,295.078,290.704,295.13,292.863,312.957,242.224,234.015,235.007,189.055,185.056,179.479,216.872,163.194,160.113,153.012,162.914,156.288,143.332,140.693,164.289,147.85,168.586,154.606,188.681,136.426,145.642,155.532,100.663,108.148,114.998,138.078,131.827,199.298,188.754,141.938,135.584,173.681,67.099,47.672,38.199,,,
total-long-term-assets,6745.703,6803.553,6880.149,5693.244,5857.923,6178.501,6295.357,6773.577,7156.314,7631.868,7764.371,8598.184,9078.389,9170.746,9521.173,9550.62,9796.839,9855.596,9937.441,9886.871,10099.03,4462.083,4432.226,4442.895,4350.353,4347.817,4337.546,4397.73,4286.066,4285.739,4278.568,4185.186,4165.15,4151.945,4177.015,4202.361,4209.128,4276.187,4291.052,4374.845,4095.48,4144.934,4175.53,4168.473,4422.237,4484.219,4501.382,4519.787,4550.842,4554.7,4474.189,4485.768,4381.328,2261.509,1743.592,1551.934,,,
total-assets,7374.203,7459.482,7630.773,6467.26,6494.637,6729.647,7187.428,7675.449,8092.166,8192.792,8238.088,9217.687,9632.283,9872.332,9988.672,10048.56,10274.96,10353.28,10490.96,10417.46,10797.71,4750.776,4719.608,4737.757,4644.231,4630.842,4620.908,4706.768,4587.421,4578.321,4576.109,4466.061,4438.441,4405.764,4431.268,4530.47,4538.063,4598.044,4638.057,4649.879,4501.682,4488.049,4468.431,4449.258,4686.926,4741.528,4813.736,4811.622,4845.753,4854.484,4742.055,4756.0,4655.656,2381.186,1925.071,1697.811,0.0,0.0,0.0
total-current-liabilities,1058.06,969.598,1101.724,773.331,962.8,736.17,1064.305,1095.776,1128.396,1077.548,706.328,731.142,800.166,898.098,855.915,840.148,716.13,783.105,828.251,873.896,1065.119,717.938,710.117,870.844,717.37,696.204,911.345,1130.898,1150.307,990.094,687.513,620.95,607.187,575.362,726.733,606.358,707.181,800.117,672.203,695.965,653.792,642.17,570.078,648.445,864.223,830.501,582.969,549.767,532.836,508.733,495.361,508.905,527.44,409.428,280.339,171.443,,,
